date,annualDepreciationAndAmortization,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyCurrentDebt,trailingChangeInInventory,annualPurchaseOfBusiness,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualChangeInInventory,annualStockholdersEquity,trailingPurchaseOfBusiness,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,trailingSaleOfInvestment,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyNetIncome,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyOperatingExpense,annualCapitalStock,quarterlyPretaxIncome,trailingCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualSaleOfInvestment,annualInventory,quarterlyNetPPE,annualOtherIntangibleAssets,quarterlyTaxProvision,annualGrossProfit,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualCurrentLiabilities,annualEbitda,annualNetPPE,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualBasicEPS,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualGoodwill,trailingPretaxIncome,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualRepaymentOfDebt,trailingGrossProfit,trailingOperatingIncome,trailingCapitalExpenditure,trailingInvestingCashFlow,annualAccountsPayable,trailingDeferredIncomeTax,trailingTotalRevenue,quarterlySaleOfInvestment,trailingOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,quarterlyOtherIntangibleAssets,trailingInterestExpense,annualEndCashPosition,annualPretaxIncome,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,trailingEndCashPosition,trailingRepaymentOfDebt,quarterlyAccountsPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingPurchaseOfInvestment,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyEndCashPosition,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyGrossProfit,annualCurrentAccruedExpenses,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualTotalRevenue,trailingResearchAndDevelopment,annualChangeInAccountPayable,annualDeferredIncomeTax,quarterlyGrossPPE,annualInterestExpense,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,trailingCostOfRevenue,trailingBeginningCashPosition,trailingFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,trailingChangesInAccountReceivables,annualDilutedEPS,quarterlyDeferredIncomeTax,annualBasicAverageShares,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDilutedEPS,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyStockBasedCompensation,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,trailingNetIncome,quarterlyCostOfRevenue,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyChangeInInventory,quarterlyLongTermDebt,annualRetainedEarnings,annualCostOfRevenue,annualOtherCurrentAssets,annualBeginningCashPosition,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,quarterlyBasicAverageShares,annualFreeCashFlow,annualCurrentDebt,quarterlyRepaymentOfDebt,annualSellingGeneralAndAdministration,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,trailingBasicAverageShares,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingBasicEPS
1998-03-31,,822.561691,,,-527451000000.0,,,3412897000000.0,,,-159988000000.0,,,,36982605000000.0,,,,305522913800.0,450908000000.0,,,,,,,,,5590629000000.0,,,,,-939382000000.0,,,,,,,,,,,,,,,,,371428571.0,,,,,,,,2728281000000.0,,-1008759000000.0,,,,,7046994000000.0,4600209000000.0,-3031296000000.0,-1533139000000.0,,1560760000000.0,65122129000000.0,,-1364625000000.0,,,,778770000000.0,,,,,,2746292000000.0,-5502795000000.0,,-4548574000000.0,,-36230155000000.0,,,,,-396290000000.0,,,,3135840183718.0,,-123622000000.0,,3135840183718.0,,,,,305522913800.0,,,,,,1767001000000.0,,,,,,-377669000000.0,,,,,107743000000.0,,,,,,,58075137000000.0,3237376000000.0,2559333000000.0,,,,,,580271000000.0,,,,,,,,,3135840183718.0,822.561691,2446785000000.0,1167521000000.0,,,449529000000.0,,,,931586000001.0,,,,,,,938256000000.0,,,,,,,,,,,,,305522913800.0,,371428571.0,,,,,1560760000000.0,,,,,,,,,,,,
1998-06-30,,822.561691,,3681668620103.0,,,160987073810.0,,,,,,,,,46650998761.0,,1814453581533.0,305522913800.0,,-9782256155811.0,,,2099294944245.0,,,,,,,390246767973.0,,407168037045.0,,,,,,9247003512596.0,,101645123245.0,,,,916333723774.0,,,,,,371428571.0,,,,,,11589541699751.0,,,18102937695528.0,,,,,,,,,,,,,,,,,243243242910.0,,,,,,,,,961809634405.0,,,,,,1308813159194.0,,,,1308813159194.0,,3135840183718.0,,,,526204464614.0,,,,,305522913800.0,,,916451232587.0,,,,,10988484121256.0,,,,,,,,,,,,19029259668407.0,,5559811978282.0,,,,,,,,6513395995777.0,,,,,,,,2997649819630.0,,,753231491330.0,822.561691,,,,,,,,,,6979318439322.0,,,,,,,2219388951131.0,,,,,3671092826933.0,,,,,163219741257.0,,305522913800.0,,371428571.0,,,,,,5428672142974.0,951116332422.0,,1757579316041.0,,,,,,,,
1998-09-30,,411.280846,,,,,,,,,,,,,,,,,158871915176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496357222002.0,,,,3496357222002.0,,,,,158871915176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496357222002.0,411.280846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158871915176.0,,386285714.0,,,,,,,,,,,,,,,,,
1998-12-31,1149118682327.0,,,2842538186470.0,,,,,168977673094.0,8005522903251.0,,,,-247121033739.0,,,,1534195062528.0,158754406363.0,,-11580846047589.0,,,2133842535267.0,,,3845710923051.0,,,,,,,,1903290244161.0,,,1534195062528.0,10867567552679.0,234665099561.0,,3757344295675.0,,,1109165685907.0,5057226785081.0,2996122205061.0,10867567552679.0,,,,2099764979497.0,-264982373315.0,2481.423028,1109165685907.0,,13236075187507.0,,,20072620419034.0,,,556639247181.0,-458401879513.0,,,,,,1105522912704.0,,,,,-2973443004152.0,1847003522734.0,234665099561.0,,0.0,1241128082906.0,,,,,,1105522912704.0,,,,64159811898.0,,1903290244161.0,22448413600268.0,,,1903290244161.0,1903290244161.0,3496239713189.0,,,25616921234.0,-7921034066704.0,,,,,158754406363.0,312573442580.0,,,,,,-2265804932266.0,11952056387856.0,374202476.0,928554640326.0,1910340772941.0,,,6894829602775.0,,13264277302627.0,,,,22448413600268.0,659694476182.0,5057226785081.0,,,,,216803759985.0,,,6836545231527.0,,,2481.423028,,374202476.0,,-11580846047589.0,3581198584988.0,-17508813137.0,,-7921034066704.0,,,,6836545231527.0,,,1263924792628.0,2133842535267.0,,,8005522903251.0,928554640326.0,,,,,,,20072620419034.0,11952056387856.0,928554640326.0,,4795064623278.0,3581198584988.0,9506933006952.0,1040775556741.0,1346650996980.0,,4795064623278.0,158754406363.0,-89776733132.0,,1579905990785.0,2842538186470.0,,761222090614.0,,6894829602775.0,1040775556741.0,13236075187507.0,2099764979497.0,-21034077527.0,,,,,,,
1999-03-31,,935.738448,,,,,,,,,,,,,,,,,353779031727.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378074699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2947261566534.12,,,,2947261566534.12,,,,,353779031727.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2947261566534.12,935.738448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353779031727.44,,378074699.0,,,,,,,,,,,,,,,,,
1999-06-30,,960.64815,,2141546301093.36,,,59148148280.64,,,,,,,,,121001157678.45,,1668180559292.28,363196760072.82,,-12367402805480.76,,,1784208337329.96,,,,,,,530909723411.46,,504810186315.96,,,,,,10986180580164.6,,141613426243.14,,4070601860.97,,969450233653.05,,,,,,378740124.0,,,,,,13126210677550.86,,,19849118100017.58,,,,,,,,,,,,,,,,,355821760056.3,,,,,,,,,1005112270769.97,,-105861111348.24,,,,2860148154554.88,,,482364584413.83,936268520615.76,,3025718756777.61,,,,441846065804.55,,,,,363196760072.82,,,972755789216.01,,,,,11079347247039.96,,,,,,,,,,,,23353583385645.36,,4116108805516.38,,,,,,,,6722907422466.72,,,,,,,,4467898158156.24,,,808070603661.93,960.64815,,,,,,,,1923879633939.12,,8645476871217.72,,,,,,,2052962967561.6,,,,,4702932880904.94,,,,,160614583693.11,,363196760072.82,,378740124.0,,,,,,6963238441523.58,205965278239.14,,2260305560618.64,,,,,,,,
1999-09-30,,2141.119218,,,,,,,,,,,,,,,,,443718977312.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378740124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564642329421.36,,,,3564642329421.36,,,,,443718977312.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564642329421.36,2141.119218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443718977312.37,,378740124.0,,,,,,,,,,,,,,,,,
1999-12-31,1373612682507.0,,,2458550393647.0,,,,,-59909399707.0,9059456388585.0,,,,-2259569646416.0,,,,1671121175948.0,342376130520.59,,-12927180053601.0,,,2494426950798.57,,,3007361265065.0,,,,,480860701618.0,,,1723103055845.0,,7738618337956.0,1671121175948.0,10777916182827.0,401496035794.43,,4056398636494.0,,,1180860700841.0,4510305770758.0,3382106451512.0,10777916182827.0,,,,2218573043970.0,523103057177.0,4049.944786,1180860700841.0,,13673839169420.0,,,19637712322483.0,,85730464231.0,373499433334.0,-7542468847800.0,,,,,,870894676270.0,,,,,-374292185315.0,2008493769005.0,401496035794.43,,516421290480.0,2245866362173.0,,,,,,870894676270.0,,85730464231.0,,491619478503.0,,1723103055845.0,23705096236428.0,,480860701618.0,516421290480.0,516421290480.0,2736670536219.22,,,-163533408652.0,-7916783585590.78,,,,,342376130520.59,696262739884.0,,,,,,-1168629670277.0,10457304631654.0,382623395.0,1549603622289.0,2047904867489.0,,,5946998860896.0,,12661947890815.0,,,,23705096236428.0,438165344927.0,4510305770758.0,,,,,,1206681765365.0,,5963873153063.0,,,4049.944786,,382623395.0,,-12927180053601.0,5177123437062.0,-377010192107.0,,-7916783585590.78,,,,5963873153063.0,,,233861834395.0,2494426950798.57,1206681765365.0,,9059456388585.0,1549603622289.0,,,,,,,19637712322483.0,10457304631654.0,1549603622289.0,,3728425816926.0,5177123437062.0,8605549254321.0,571574178301.0,142921857146.0,,3728425816926.0,342376130520.59,-118346545735.0,,1838731594788.0,2458550393647.0,,674292184982.0,,5946998860896.0,571574178301.0,13673839169420.0,2218573043970.0,282672706368.0,,,,,,,
2000-03-31,,1044.026548,,,,,,,,,,,,,,,,,356581858321.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341544819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006940264765.06,,,,3006940264765.06,,,,,356581858321.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006940264765.06,1044.026548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356581858321.5,,341544819.0,,,,,,,,,,,,,,,,,
2000-06-30,,1052.173911,,,,,,,,,,,,,,,,,359364547920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341544819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030405792252.8,,,,3030405792252.8,,,,,359364547920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030405792252.8,1052.173911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359364547920.0,,341544819.0,,,,,,,,,,,,,,,,,
