date,trailingPretaxIncome,annualNetIncome,annualNonCurrentDeferredRevenue,annualBasicAverageShares,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualCashDividendsPaid,quarterlyAccountsReceivable,annualGoodwill,annualTotalAssets,annualPretaxIncome,quarterlyTotalAssets,quarterlyCostOfRevenue,trailingNetIncome,quarterlyCurrentAccruedExpenses,annualBasicEPS,quarterlyOtherNonCurrentLiabilities,annualChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,quarterlyCashDividendsPaid,annualDilutedEPS,annualSaleOfInvestment,annualCommonStockIssuance,annualDepreciationAndAmortization,annualTotalRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualInvestingCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualAccountsReceivable,quarterlyLongTermDebt,annualRetainedEarnings,annualDilutedAverageShares,annualCurrentDebt,annualTaxProvision,annualInventory,trailingTaxProvision,quarterlyTaxProvision,trailingCostOfRevenue,annualChangeInInventory,quarterlyNetPPE,annualNetOtherFinancingCharges,quarterlyRepaymentOfDebt,quarterlyEbitda,trailingNetIncomeContinuousOperations,annualOtherNonCashItems,annualGrossProfit,annualOtherCurrentAssets,quarterlyCommonStockIssuance,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualOperatingExpense,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,trailingSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,trailingInterestExpense,quarterlyChangeInInventory,annualBeginningCashPosition,quarterlyNetOtherInvestingChanges,annualChangesInAccountReceivables,quarterlyChangesInAccountReceivables,annualInterestExpense,annualGrossPPE,trailingOperatingExpense,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,annualEbitda,annualCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,annualAccumulatedDepreciation,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,annualOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyOperatingExpense,annualOtherCurrentLiabilities,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyCurrentDeferredRevenue,trailingGrossProfit,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,trailingTotalRevenue,quarterlyInventory,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIncomeExpense,annualOperatingIncome,quarterlyInterestExpense,annualCurrentLiabilities,annualNetPPE,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,annualNetOtherInvestingChanges,trailingOtherIncomeExpense,annualCashAndCashEquivalents,quarterlyDilutedAverageShares,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingOperatingCashFlow,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,annualStockBasedCompensation,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingEndCashPosition,annualPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualOtherShortTermInvestments,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,annualRepurchaseOfCapitalStock,trailingBasicEPS
1970-01-01 00:00:01.577750400,926000000.0,38500000.0,,70434224.0,,,0.0,,2500000.0,134700000.0,38800000.0,,,923000000.0,,0.546609,,-600000.0,,,,,0.0,,0.546609,,0.0,5800000.0,76000000.0,,,-10500000.0,,,100000.0,,,70434224.0,,300000.0,,3000000.0,,525000000.0,0.0,,-33200000.0,,,923000000.0,-2000000.0,45700000.0,300000.0,,134300000.0,,,4300000.0,,,,,,,,,,33200000.0,,,,,30300000.0,,,6900000.0,,38500000.0,,,67000000.0,,108000000.0,,0.0,,0.0,,0.0,193700000.0,106000000.0,,38500000.0,,44600000.0,400000.0,5600000.0,0.0,,,,,-66400000.0,,,,,,,100000.0,,,200000.0,,0.0,-10500000.0,,601000000.0,746000000.0,,-33200000.0,,1126000000.0,,,495000000.0,0.0,,,2600000.0,1300000.0,700000.0,0.0,38800000.0,,3600000.0,127300000.0,,,,43700000.0,,,,0.0,,,0.0,539000000.0,0.0,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8200000.0,,,,,,0.0,,,,,-6200000.0,,,,,,8100000.0,8100000.0,,,1400000.0,,,,,,,,,100000.0,,,,,,9700000.0,,,,,,,,0.115001,,,-1000000.0,,,8200000.0,,8200000.0,,,,,,8600000.0,18200000.0,,,-6200000.0,,,,,-2400000.0,,,,,,0.0,,-100000.0,,,,,,,,,,,0.0,,,10000000.0,,0.0,70434224.0,,,0.115001,1800000.0,,,,,,,,,,,,,0.0,,,8100000.0,,,0.0,-2400000.0,,,,,,,,,,,,,,-6200000.0,1500000.0,,,,,,,70434224.0,,6200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6800000.0,,,,,,0.0,,,,,-6200000.0,,,,,,9500000.0,9500000.0,,,1700000.0,,,,,,,,,100000.0,,,,,,11300000.0,,,,,,,,0.134878,,,-400000.0,,,9600000.0,,9600000.0,,,,,,10800000.0,18500000.0,,,-6200000.0,,,,,-4600000.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,11700000.0,,0.0,70434224.0,,,0.134878,2100000.0,,,,,,,,,,,,,0.0,,,9500000.0,,,0.0,-4600000.0,,,,,,,,,,,,,,-6200000.0,1700000.0,,,,,,,70434224.0,,6200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6700000.0,,,,,,0.0,,,,,,,,,,,11900000.0,11900000.0,,,2300000.0,,,,,,,,,100000.0,,,,,,13800000.0,,,,,,,-600000.0,0.168952,,,-1500000.0,,,12000000.0,,12000000.0,,,,,,12200000.0,21300000.0,,,-6800000.0,,,,,-5400000.0,,,,0.0,,0.0,,-100000.0,,,,,,,,,,,-1000000.0,,,14600000.0,,0.0,70434224.0,,,0.168952,2600000.0,,,,,,,,,,,,,0.0,,,11900000.0,,,0.0,-5400000.0,,,,,,0.0,,,,,,,,-6800000.0,1800000.0,,,,,,,70434224.0,,6800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,70434224.0,144400000.0,,0.0,200000.0,2500000.0,144900000.0,59400000.0,144900000.0,46000000.0,,200000.0,0.0,300000.0,3300000.0,0.0,200000.0,500000.0,,0.0,,0.0,,0.0,13600000.0,145300000.0,29600000.0,-29500000.0,-33500000.0,2500000.0,8300000.0,200000.0,,,70434224.0,,300000.0,300000.0,,0.0,,0.0,135800000.0,-41600000.0,,38200000.0,,-900000.0,77600000.0,300000.0,0.0,144400000.0,,,2900000.0,,6200000.0,,,29600000.0,500000.0,29700000.0,208200000.0,2400000.0,40900000.0,0.0,,43500000.0,87300000.0,67700000.0,0.0,-22400000.0,18100000.0,,59100000.0,-72400000.0,-21800000.0,,300000.0,,0.0,0.0,0.0,200000.0,400000.0,0.0,208200000.0,,0.0,0.0,,73000000.0,500000.0,13700000.0,0.0,900000.0,1400000.0,,41300000.0,-72400000.0,0.0,,,,,11600000.0,200000.0,,0.0,200000.0,0.0,0.0,-34200000.0,,,,0.0,-41600000.0,0.0,,300000.0,-29500000.0,,0.0,0.0,-21100000.0,1400000.0,-100000.0,500000.0,-100000.0,59500000.0,0.0,2400000.0,135800000.0,,0.0,0.0,75100000.0,2900000.0,-22400000.0,8600000.0,0.0,,,700000.0,,0.0,,300000.0,21700000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,144100000.0,,,100000.0,,,,144600000.0,7800000.0,,200000.0,,300000.0,,0.0,100000.0,500000.0,,,-11200000.0,,,,,,10700000.0,13600000.0,,2500000.0,1900000.0,,,,,,,,,100000.0,,,135100000.0,,,12400000.0,,,,,,,,0.19,,,-400000.0,,,10800000.0,500000.0,10800000.0,209000000.0,2600000.0,,,,11900000.0,21000000.0,,,-11200000.0,,,,-73900000.0,-700000.0,,400000.0,,,,0.0,,0.0,,,,,,,,,,,400000.0,1900000.0,,13200000.0,,0.0,70434224.0,,,0.19,2400000.0,,,,,0.0,,,,,,,,0.0,,,13600000.0,,,0.0,-700000.0,,,,,,,,,,0.0,0.0,,3100000.0,-11200000.0,1600000.0,,,,,,,70434224.0,,11200000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,144000000.0,,,200000.0,,,,145000000.0,7500000.0,,100000.0,,300000.0,,0.0,100000.0,500000.0,,,-16300000.0,,,,,,15700000.0,15700000.0,,2500000.0,2500000.0,,,,,,,,,100000.0,,,135000000.0,,,17300000.0,,,,,,,,0.445806,,,800000.0,,,15800000.0,1000000.0,15800000.0,210500000.0,3600000.0,,,,18000000.0,26200000.0,,,-16300000.0,,,,-75500000.0,-1700000.0,,400000.0,,,,0.0,,0.0,,,,,,,,,,,1000000.0,2700000.0,,18700000.0,,0.0,35217112.0,,,0.445806,2900000.0,,,,,0.0,,,,,,,,0.0,,400000.0,15700000.0,,,0.0,-1700000.0,,,,,,,,,,0.0,0.0,,4100000.0,-16300000.0,1500000.0,,,,,,,35217112.0,,16300000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,144000000.0,,,9400000.0,,,,578600000.0,9100000.0,,0.0,,300000.0,,421600000.0,200000.0,400000.0,,,,,,,,,17300000.0,11900000.0,,2500000.0,2500000.0,,,,,,,,,200000.0,,,135000000.0,,,19200000.0,,,,,434400000.0,,-5300000.0,0.17,,,-5300000.0,,,17500000.0,434600000.0,17500000.0,212100000.0,10100000.0,,,,13600000.0,29500000.0,,,409800000.0,,,,-77100000.0,-1800000.0,,3000000.0,,-200000.0,,0.0,,-9200000.0,,,,,,,,,,,6000000.0,8800000.0,,20400000.0,,0.0,70434000.0,,,0.17,2900000.0,,,100000.0,,0.0,,,,,,,,100000.0,,600000.0,11700000.0,,,421600000.0,-1800000.0,,,,,,100000.0,,,,421600000.0,421600000.0,,10500000.0,-24600000.0,1600000.0,,,,,,,70434000.0,,11800000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28900000.0,,70434000.0,144800000.0,,-11100000.0,11400000.0,2500000.0,584200000.0,61200000.0,584200000.0,9200000.0,,1000000.0,0.4,400000.0,-6600000.0,3500000.0,400000.0,500000.0,,0.0,-11100000.0,0.4,,434400000.0,6200000.0,106600000.0,17000000.0,17000000.0,-6400000.0,2500000.0,3100000.0,11400000.0,,,70434000.0,,500000.0,600000.0,,100000.0,,-300000.0,135900000.0,-52100000.0,,18800000.0,,-6600000.0,73000000.0,2300000.0,0.0,144800000.0,-1700000.0,0.24,10100000.0,,-1700000.0,,,17100000.0,439400000.0,17200000.0,214500000.0,9600000.0,53700000.0,100000.0,,16800000.0,29900000.0,33600000.0,,-11100000.0,11700000.0,,60700000.0,-78600000.0,-2400000.0,,2300000.0,,0.0,0.0,200000.0,-11100000.0,-1900000.0,300000.0,214500000.0,,,28300000.0,,67700000.0,439400000.0,10000000.0,0.0,-800000.0,8200000.0,,20700000.0,-78600000.0,421600000.0,70434000.0,,,0.24,3500000.0,400000.0,,100000.0,1000000.0,0.0,425100000.0,-6600000.0,,,,,371200000.0,100000.0,,600000.0,16600000.0,,425100000.0,425100000.0,-2200000.0,8200000.0,6600000.0,500000.0,200000.0,61300000.0,200000.0,9600000.0,135900000.0,,425100000.0,425100000.0,60300000.0,10100000.0,0.0,1500000.0,425100000.0,,,200000.0,,425100000.0,70434000.0,400000.0,14400000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,283600000.0,,,24700000.0,,,,332400000.0,15200000.0,,400000.0,,2400000.0,,-404000000.0,300000.0,162400000.0,,,-278200000.0,,,,,,28000000.0,18300000.0,,2500000.0,6700000.0,,160000000.0,,,,,,,300000.0,,,273900000.0,,,28800000.0,,,,,,,100000.0,0.25,,,-6300000.0,,,28300000.0,48800000.0,28700000.0,506900000.0,15200000.0,,,-138000000.0,25400000.0,51800000.0,,,-284600000.0,,,,-233000000.0,-6100000.0,,1000000.0,,100000.0,,-700000.0,,-9600000.0,,,,,,,,,,,-1200000.0,9300000.0,,36600000.0,,425100000.0,71650000.0,,,0.25,7900000.0,,,0.0,,0.0,,,2300000.0,,,,,100000.0,,2000000.0,17500000.0,,,21100000.0,-144800000.0,,,,,,500000.0,,,,21100000.0,21100000.0,,177600000.0,-6400000.0,3600000.0,,,,,,,71650000.0,,19300000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
