date,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualNetIncome,quarterlyLongTermDebt,annualRetainedEarnings,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualAccountsPayable,annualBasicAverageShares,annualOperatingIncome,annualInvestingCashFlow,trailingTotalRevenue,quarterlyNetIncomeContinuousOperations,annualLongTermDebt,quarterlyNetIncome,annualCashDividendsPaid,trailingCommonStockIssuance,annualEndCashPosition,annualFreeCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,trailingEndCashPosition,trailingTaxProvision,annualOtherNonCashItems,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyInterestExpense,annualStockholdersEquity,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualTaxProvision,quarterlyOtherIncomeExpense,annualCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,annualSaleOfInvestment,quarterlyBasicEPS,annualRepurchaseOfCapitalStock,quarterlyBasicAverageShares,annualNetPPE,trailingNetIncomeCommonStockholders,annualGrossPPE,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,trailingCapitalExpenditure,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,trailingInterestExpense,trailingRepaymentOfDebt,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,annualPurchaseOfBusiness,annualNetOtherFinancingCharges,quarterlyDilutedEPS,annualCurrentDebt,annualBasicEPS,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,annualCapitalExpenditure,quarterlyDilutedAverageShares,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCapitalStock,annualChangesInAccountReceivables,quarterlyGrossPPE,quarterlyPretaxIncome,annualInterestExpense,trailingFreeCashFlow,trailingBeginningCashPosition,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,trailingSellingGeneralAndAdministration,annualInventory,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,trailingOperatingIncome,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualGrossProfit,quarterlyDepreciationAndAmortization,annualOtherNonCurrentAssets,trailingPurchaseOfBusiness,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyOperatingCashFlow,annualCurrentAssets,trailingCostOfRevenue,trailingBasicEPS,annualOtherCurrentLiabilities,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,quarterlyCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyEbitda,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,annualOperatingExpense,annualChangeInInventory,annualEbitda,trailingChangeInInventory,quarterlySellingGeneralAndAdministration,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,quarterlyOtherCurrentAssets,annualCurrentLiabilities,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCapitalExpenditure,quarterlyOperatingExpense,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyOperatingIncome,trailingGrossProfit,annualCostOfRevenue,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyInventory,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1970-01-01 00:00:00.410140800,,,,,3194000000.0,,14217700000.0,2932000000.0,,13953700000.0,,14441000000.0,,,,,,,-686000000.0,,,,,49517000000.0,,204600000.0,,,21000000.0,,,85400000.0,,9582000000.0,297000000.0,,,475500000.0,,,263500000.0,,9773900000.0,,,,,700000000.0,,,,,28700000.0,,475500000.0,,,,,,,3461900000.0,3194000000.0,,,,,,,-246000000.0,1977000000.0,,447000000.0,-934000000.0,,,,,-1124000000.0,,,,,669000000.0,,,,,,-13059000000.0,,,,,,,,,,,454000000.0,8450000000.0,-1274000000.0,,,,,,,2635000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.441676800,,,,,,,16713800000.0,,,16233300000.0,,,,,,,,,,,,,,,,291600000.0,,,,,,101100000.0,,,,,,574300000.0,,,475800000.0,,12081400000.0,,,,,,,,,,,,574300000.0,,,,,,,3525700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.473299200,,,,,,,18967000000.0,,,18423200000.0,,,,,,,,,,,,,,,,419000000.0,,,,,,78000000.0,,,,,,732400000.0,,,539700000.0,,14043600000.0,,,,,,,,,,,,732400000.0,,,,,,,3500600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.504835200,,,,,,,20002000000.0,,,19443200000.0,,,,,,,,,,,,,,,,488000000.0,,,,,,110100000.0,,,,,,899000000.0,,,554900000.0,,15107000000.0,,,,,,,,,,,,899000000.0,,,,,,,3262000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.536371200,,,,,,,25788000000.0,,,25200900000.0,,,,,,,,,,,,,,,,810000000.0,,,,,,250900000.0,,,,,,1255200000.0,,,581300000.0,,20093000000.0,,,,,,,,,,,,1255200000.0,,,,,,,3514400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.567907200,,,,,,,26475000000.0,,,25968200000.0,,,,,,,,,,,,,,,,964000000.0,,,,,,260000000.0,,,,,,1453000000.0,,,506000000.0,,19948000000.0,,,,,,,,,,,,1453000000.0,,,,,,,4100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.599529600,,,,,,,30837600000.0,,0.0,30227000000.0,,,,,,,,,,,968009411.0,,,,,826800000.0,,,,,,352600000.0,,,,,,1401500000.0,,,608300000.0,,22868300000.0,,,,,,,,,,,968009411.0,1401500000.0,,,,,,,5155600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.631065600,,,,,,,39106900000.0,,0.2865,38292000000.0,,,385500000.0,,,,,,,,968009411.0,,,,,826000000.0,,,,,,385500000.0,,,,,,1915200000.0,,,813600000.0,,29522900000.0,,,,,,,,,,,968009411.0,1915200000.0,,,,,,,6022600000.0,,,385500000.0,,,,,,,,,,,,,,,,,,,,,,,,0.2865,,,,,385500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.662601600,,,,,,,36547100000.0,,-0.092295,36039900000.0,,,243800000.0,,,,,,,,965249920.0,,,,,795900000.0,,,,,,243800000.0,,,,,,2090200000.0,,,503000000.0,,27280300000.0,,,,,,,,,,,965249920.0,2090200000.0,,,,,,,5169800000.0,,,243800000.0,,,,,,,,,,,,,,,,,,,,,,,,-0.092295,,,,,243800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.694137600,,,,,,,42829000000.0,,0.090372,42361000000.0,,,87000000.0,,,,,-1763000000.0,,,969930550.0,,-357000000.0,,,800000000.0,,,,320000000.0,353000000.0,182000000.0,,,,,,2369000000.0,32000000.0,,463000000.0,,34134000000.0,94000000.0,,,,,,,353000000.0,,,969930550.0,2369000000.0,9000000.0,,1406000000.0,,,,4398000000.0,,,87000000.0,,,-41000000.0,361000000.0,,,,,,,,,,,,,,,,,,,,0.090372,,,,,88000000.0,,,,,,,,,,,,,,,,,,144000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
