date,annualTaxProvision,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingTaxProvision,quarterlyDilutedEPS,annualCurrentAccruedExpenses,trailingResearchAndDevelopment,trailingChangeInAccountPayable,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualTotalRevenue,quarterlyOtherNonCashItems,annualCostOfRevenue,annualAccountsPayable,trailingOperatingIncome,quarterlyStockBasedCompensation,quarterlyEbitda,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,annualNetOtherFinancingCharges,annualFreeCashFlow,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingEndCashPosition,annualCommonStockIssuance,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,trailingOperatingExpense,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,annualDilutedAverageShares,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualNetOtherInvestingChanges,trailingCostOfRevenue,quarterlyBasicAverageShares,quarterlyOperatingIncome,trailingFreeCashFlow,trailingNetIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,annualNetIncome,quarterlyChangeInInventory,annualBeginningCashPosition,annualLongTermDebt,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,annualCurrentAssets,quarterlyLongTermDebt,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualSellingGeneralAndAdministration,quarterlyGrossProfit,annualBasicAverageShares,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,annualStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingSaleOfInvestment,quarterlyGoodwill,trailingCommonStockIssuance,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyNetPPE,annualInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyDilutedAverageShares,annualCapitalStock,trailingDepreciationAndAmortization,quarterlyCurrentDebt,annualBasicEPS,annualCurrentLiabilities,quarterlyOperatingExpense,trailingChangeInInventory,quarterlyInterestExpense,annualOtherIntangibleAssets,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,trailingPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,annualGrossProfit,annualEbitda,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,annualNetPPE,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,annualChangeInInventory,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingChangesInAccountReceivables,quarterlyTotalAssets,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,annualPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualGrossPPE,trailingInvestingCashFlow,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,annualInterestExpense,annualDilutedEPS,annualPretaxIncome,annualGoodwill,quarterlyChangesInAccountReceivables,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyAccountsPayable,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingDeferredIncomeTax,annualCapitalExpenditure,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualOperatingIncome,annualInvestingCashFlow,trailingTotalRevenue,trailingStockBasedCompensation,trailingInterestExpense,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingCashDividendsPaid,quarterlyInvestmentsAndAdvances,annualCashDividendsPaid,trailingDilutedEPS,trailingBasicEPS,quarterlyCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares
1970-01-01 00:00:00.820368000,2100000.0,5300000.0,1200000.0,,-52845000.0,,,164127000.0,-13621000.0,1100000.0,,6600000.0,4400000.0,37000000.0,,7700000.0,2900000.0,254361000.0,,,,,0.0,2200000.0,,,703102000.0,,,14000000.0,,,,-6100000.0,,100000.0,-25438000.0,-900000.0,736090000.0,,,115555560.0,2400000.0,7023000.0,,24600000.0,538381000.0,2000000.0,5300000.0,,0.0,525674000.0,,,59612000.0,-25438000.0,,,,,,2400000.0,,3600000.0,6500000.0,2500000.0,,,17300000.0,,2400000.0,,,,,,-112554000.0,,18400000.0,,115555560.0,8900000.0,100000.0,1800000.0,-25438000.0,,,,,12200000.0,,556378000.0,,1866000.0,26200000.0,-1200000.0,,-108305000.0,,,6200000.0,,,331923000.0,,,,,,-280277000.0,3900000.0,,200000.0,228466000.0,,0.020769,7400000.0,,-29275000.0,,,,,,,-67908000.0,,29300000.0,6500000.0,,37875000.0,,,8800000.0,,,,,,-1800000.0,,5300000.0,-78283000.0,-48732000.0,,599842000.0,,1700000.0,,-343540000.0,,101018000.0,-272311000.0,14900000.0,-120358000.0,,300000.0,,100000.0,,,700000.0,0.020769,4500000.0,,,,,-433725000.0,-81377000.0,,,,990451000.0,500000.0,,,-41918000.0,-1700000.0,3300000.0,-33900000.0,4700000.0,-1600000.0,1516125000.0,67501000.0,76047000.0,,,,,,,,,,,
1970-01-01 00:00:00.828230400,,,,1000000.0,,0.010385,,,,,,,,,-200000.0,,,,,2500000.0,,,,,3700000.0,-1100000.0,,,,,,-3000000.0,,,3400000.0,,,,,,-2700000.0,,,,14300000.0,,,,,12500000.0,,,96296300.0,1900000.0,,,,15200000.0,8100000.0,18100000.0,1600000.0,,-700000.0,,,,100000.0,,,6100000.0,,2800000.0,,,,,,6200000.0,,9700000.0,,,,,,1000000.0,1000000.0,5900000.0,13100000.0,,0.0,,,,,,,,1000000.0,9100000.0,,,6700000.0,,200000.0,-6100000.0,3700000.0,3700000.0,,,,96296300.0,,,2300000.0,,,7800000.0,,200000.0,,,,,200000.0,,0.0,,,900000.0,,,1300000.0,,,0.010385,-1100000.0,-1600000.0,2000000.0,,,,,,27400000.0,,,,3200000.0,,,,,,,,,-1600000.0,,9300000.0,,,,,,,,600000.0,,,2600000.0,,200000.0,,,5300000.0,200000.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.836092800,,,,1100000.0,,0.010385,,,,,,,,,,,,,,12600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,,,105925930.0,12600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,105925930.0,,,,,,,,,,,,,,,,,,,,,,,,0.010385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.844041600,,,,1500000.0,,0.010385,,,,,,,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14200000.0,,,96296300.0,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,96296300.0,,,,,,,,,,,,,,,,,,,,,,,,0.010385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.851990400,3300000.0,2000000.0,3200000.0,1800000.0,,,,,,1600000.0,,5800000.0,6500000.0,54200000.0,,12200000.0,5600000.0,,,-33200000.0,,,0.0,-5600000.0,,,,31100000.0,28100000.0,18500000.0,,,,-7500000.0,7800000.0,600000.0,,-4200000.0,,28100000.0,,102074078.0,5300000.0,,18500000.0,36000000.0,,-1000000.0,2000000.0,15000000.0,-500000.0,,,-33200000.0,,,,23600000.0,12700000.0,48600000.0,1600000.0,5300000.0,,5300000.0,5700000.0,7800000.0,100000.0,,48600000.0,5700000.0,5300000.0,,,,,,,5800000.0,27000000.0,,102074078.0,17600000.0,,2500000.0,,1800000.0,1800000.0,,47700000.0,47700000.0,,,,,66200000.0,31900000.0,,,,16100000.0,9900000.0,,9900000.0,,,-7500000.0,30100000.0,2000000.0,,,4100000.0,,300000.0,,3200000.0,0.051923,12700000.0,,,,900000.0,,900000.0,,600000.0,,,42000000.0,8500000.0,,,,,16100000.0,,,,,,-4200000.0,,30100000.0,,,66200000.0,,,-3300000.0,3900000.0,,-28100000.0,,,23600000.0,,,400000.0,,100000.0,17600000.0,,600000.0,0.051923,8600000.0,,,,,,,5600000.0,,-1000000.0,,2200000.0,,300000.0,,-9700000.0,3900000.0,,6000000.0,-38300000.0,,,,,,,,,,,,,,
1970-01-01 00:00:00.859766400,,,,2000000.0,,0.020769,,,,,,,,,,,,,,2000000.0,,,,,0.0,0.0,,,,,,,,,9700000.0,,,,,26400000.0,0.0,,,,22300000.0,,,,,17100000.0,,,96296300.0,2000000.0,,,,23800000.0,16900000.0,51800000.0,3000000.0,,,,,,0.0,,,5400000.0,,4900000.0,,,,,,5400000.0,,12200000.0,,,,,,2000000.0,2000000.0,8300000.0,47600000.0,,,,,,,,,,1400000.0,16300000.0,,,10600000.0,,1100000.0,-7500000.0,28600000.0,2200000.0,,,,96296300.0,,,5100000.0,,,10200000.0,,300000.0,,,900000.0,,900000.0,,,,,,,,1900000.0,,,0.020769,,0.0,3400000.0,,,,,,69900000.0,,,,7100000.0,,,,,,,,,,,18100000.0,,,,,,,,,,,4700000.0,,-3100000.0,,,0.0,300000.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.867628800,,,,1900000.0,,0.020769,,,,,,,,,,,,,,2000000.0,,,,,0.0,0.0,,,,,,,,,11700000.0,,,,,25400000.0,0.0,,,,21800000.0,,,,,17900000.0,,,91481485.0,2000000.0,,,,24400000.0,16600000.0,51700000.0,1800000.0,,,,,,100000.0,,,5100000.0,,4600000.0,,,,,,5200000.0,,13300000.0,,,,,,1900000.0,1900000.0,9200000.0,48600000.0,,,,,,,,,,1300000.0,16900000.0,,,11400000.0,,1000000.0,-7500000.0,29000000.0,3600000.0,,,,91481485.0,,,5800000.0,,,11300000.0,,,,,900000.0,,900000.0,,,,,,,,2100000.0,,,0.020769,,0.0,3200000.0,,,,,,70400000.0,,,,6300000.0,,,,,,,,,,,18700000.0,,,,,,,,,,,4500000.0,,-4400000.0,,,0.0,300000.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.875577600,,,,2000000.0,,0.020769,,,,,,,,,,,,,,2200000.0,,,,,0.0,0.0,,,,,,,,,13700000.0,,,,,26200000.0,0.0,,,,23500000.0,,,,,19000000.0,,,96296300.0,2200000.0,,,,25200000.0,18300000.0,55300000.0,3300000.0,,,,,,200000.0,,,5000000.0,,5100000.0,,,,,,5200000.0,,13900000.0,,,,,,2000000.0,2000000.0,9700000.0,51000000.0,,,,,,,,,,1400000.0,17700000.0,,,12400000.0,,1000000.0,-7500000.0,29300000.0,3100000.0,,,,96296300.0,,,4700000.0,,,11700000.0,,100000.0,,,900000.0,,600000.0,,,,,,,,2000000.0,,,0.020769,,0.0,3400000.0,,,,,,74500000.0,,,,8800000.0,,,,,,,,,,,19200000.0,,,,,,,,,,,4800000.0,,-4200000.0,,,0.0,300000.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.883526400,4800000.0,4300000.0,5300000.0,2900000.0,,,,,,3400000.0,,5100000.0,8300000.0,74300000.0,,15100000.0,6700000.0,,,2000000.0,,,0.0,1700000.0,4300000.0,-5900000.0,,700000.0,25800000.0,24900000.0,,,,-11100000.0,16600000.0,800000.0,,-4700000.0,,25800000.0,1700000.0,121058206.0,8800000.0,,24900000.0,50900000.0,,-4500000.0,4300000.0,20300000.0,-1000000.0,,,2000000.0,,,,28900000.0,19800000.0,58500000.0,3400000.0,8800000.0,,2000000.0,5000000.0,16600000.0,100000.0,,58500000.0,5000000.0,8800000.0,600000.0,,,2200000.0,,,5100000.0,37700000.0,19700000.0,121058206.0,20400000.0,,4900000.0,,2900000.0,2900000.0,10500000.0,54000000.0,54000000.0,,,,,78900000.0,3200000.0,,,600000.0,17800000.0,14600000.0,,14600000.0,,1200000.0,-11100000.0,30100000.0,4300000.0,,,8500000.0,,300000.0,,5300000.0,0.072692,19800000.0,17700000.0,,200000.0,1800000.0,,1800000.0,,800000.0,,,59200000.0,13200000.0,,,,2300000.0,17800000.0,,,,8500000.0,3500000.0,-6000000.0,,30100000.0,,,78900000.0,,,2300000.0,7800000.0,,-300000.0,,,28900000.0,,,-900000.0,,100000.0,20400000.0,,700000.0,0.072692,13600000.0,,,,,,,6700000.0,,-4500000.0,,4300000.0,0.0,300000.0,,-6800000.0,7800000.0,,8300000.0,-5900000.0,,,,,,,,,,,,,,
1970-01-01 00:00:00.891302400,,,,2900000.0,,0.020769,,,,,,,,,,,,,,3700000.0,,,,,0.0,0.0,,,,,,,,,19400000.0,,,,,25400000.0,0.0,,,,26800000.0,,,,,24000000.0,,,139629635.0,3700000.0,,,,28300000.0,22000000.0,64100000.0,2800000.0,,,,,,100000.0,,,4700000.0,,6800000.0,,,,,,4800000.0,,17200000.0,,,,,,2900000.0,2900000.0,10900000.0,57100000.0,,,,,,,,,,1800000.0,17200000.0,,,14900000.0,,700000.0,-11100000.0,32800000.0,7400000.0,,,,139629635.0,,,6500000.0,,,13500000.0,,200000.0,,,1800000.0,,800000.0,,,,,,,,2600000.0,,,0.020769,,0.0,4700000.0,,,,,,83900000.0,,,,10300000.0,,,,,,,,,,,19800000.0,,,,,,,,,,,5200000.0,,-4900000.0,,,0.0,300000.0,,,,,,,,,,,,,,,,,,,,
