date,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyNetPPE,annualInventory,quarterlyBasicEPS,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyOperatingExpense,annualCapitalStock,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyInterestExpense,trailingChangeInInventory,trailingDepreciationAndAmortization,annualOtherIntangibleAssets,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualEbitda,annualGrossProfit,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualNetPPE,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,trailingPretaxIncome,quarterlyTotalAssets,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyDilutedAverageShares,trailingInvestingCashFlow,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,annualInterestExpense,annualGoodwill,annualPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,trailingGrossProfit,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingDeferredIncomeTax,annualInvestingCashFlow,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualOperatingIncome,annualOtherCurrentLiabilities,trailingTotalRevenue,trailingStockBasedCompensation,trailingInterestExpense,annualTaxProvision,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,trailingTaxProvision,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualTotalRevenue,annualAccountsPayable,trailingOperatingIncome,annualCostOfRevenue,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,annualChangeInAccountPayable,annualDilutedAverageShares,annualFreeCashFlow,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,trailingEndCashPosition,annualNetOtherFinancingCharges,annualDilutedEPS,quarterlyDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,annualAccumulatedDepreciation,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualOperatingExpense,trailingOperatingExpense,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyCurrentAssets,trailingCostOfRevenue,quarterlyOperatingIncome,trailingNetIncome,quarterlyDilutedEPS,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,annualCashDividendsPaid,annualRetainedEarnings,annualBeginningCashPosition,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualAccountsReceivable,quarterlyLongTermDebt,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyBasicAverageShares,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,trailingSaleOfInvestment,annualTotalAssets,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
1979-05-31,,,,-269182000.0,,,,,,,444815000.0,,,,-20813000.0,0.0,,,,15600000.0,,-8938000.0,146289000.0,,,,,,,-76638000.0,101000000.0,101000000.0,,-7087000.0,,,,,,,,,-184253000.0,,0.14,425916000.0,,226914000.0,,,,-20843000.0,-18741000.0,,-150375000.0,,-189102000.0,,,,-63300000.0,,,,,,,,,,-568413000.0,-54799000.0,,,,2322975000.0,,,1408000.0,0.0,-2356000.0,,101000000.0,,5616087000.0,31292000.0,109517000.0,,,,0.0,93770000.0,,17338000.0,101000000.0,,550317000.0,,,,,-48200000.0,,,36428571.0,0.0,,,,,213445000.0,,0.14,,-32600000.0,,,,,,332146000.0,,,1772658000.0,5100000.0,11337000.0,,,1772658000.0,,,36428571.0,,,,,3293112000.0,,330788000.0,,294440000.0,,,5100000.0,,,,,0.0,44300000.0,,15100000.0,,,5100000.0,,,,,,-233677000.0,,,,,-44300000.0,,,329274000.0,,,,,,32600000.0,,,47417000.0,0.0,,,,,,,,,,,,,,,,,,
1980-05-31,,,,,,,24500000.0,,,,,,,,,0.0,,,,18200000.0,,,,6700000.0,,,200000.0,,,,13500000.0,48100000.0,,,,14000000.0,,,,,,,,1200000.0,0.14,,,,,,,,,,,,,22200000.0,,,2000000.0,,,,1900000.0,,10400000.0,,,,,,,,500000.0,,,,,0.0,,,11900000.0,13300000.0,,,,4700000.0,4900000.0,,0.0,,2200000.0,,114400000.0,,,66300000.0,,,,14600000.0,,,40714286.0,0.0,,,,,,,0.14,,32800000.0,,,,-8200000.0,,,1200000.0,36200000.0,,5700000.0,,,,,,,40714286.0,,1200000.0,,,,,,,,,,5700000.0,,,,25300000.0,0.0,47800000.0,,12400000.0,,,5700000.0,,,,,,,,,34600000.0,,21900000.0,,,,,,,,,36900000.0,,,,69700000.0,,,,,,,,,,,,,,,,,,
1981-05-31,,,,,,,24500000.0,,,,,,,,,0.0,,,,18300000.0,,,,6400000.0,,,200000.0,,,,13400000.0,49500000.0,,,,17400000.0,,,,,,,,1200000.0,0.14,,,,,,,,,,,,,27200000.0,,,1700000.0,,,,1900000.0,,10500000.0,,,,,,,,1100000.0,,,,,0.0,,,11500000.0,14200000.0,,,,4700000.0,4100000.0,,0.0,,3100000.0,,118700000.0,,,69200000.0,,,,15800000.0,,,41428571.0,0.0,,,,,,,0.14,,34100000.0,,,,-9800000.0,,,1300000.0,38000000.0,,5800000.0,,,,,,,41428571.0,,1200000.0,,,,,,,,,,5800000.0,,,,29000000.0,0.0,50400000.0,,13900000.0,,,5800000.0,,,,,,,,,36100000.0,,25100000.0,,,,,,,,,41400000.0,,,,75500000.0,,,,,,,,,,,,,,,,,,
1982-05-31,,,,,,,28800000.0,,,,,,,,,0.0,,,,21900000.0,,,,5900000.0,,,400000.0,,,,15500000.0,52900000.0,,,,20400000.0,,,,,,,,1200000.0,0.17,,,,,,,,,,,,,31500000.0,,,1700000.0,,,,1900000.0,,11900000.0,,,,,,,,500000.0,,,,,0.0,,,13300000.0,16000000.0,,,,5200000.0,5900000.0,,0.0,,5800000.0,,124600000.0,,,71700000.0,,,,18500000.0,,,39411765.0,0.0,,,,,,,0.17,,40400000.0,,,,-11100000.0,,,1700000.0,39600000.0,,6700000.0,,,,,,,39411765.0,,1200000.0,,,,,,,,,,6700000.0,,,,33700000.0,0.0,57000000.0,,16400000.0,,,6700000.0,,,,,,,,,37400000.0,,28000000.0,,,,,,,,,44600000.0,,,,85000000.0,,,,,,,,,,,,,,,,,,
1983-05-31,,,,,,,31300000.0,,,,,,,,,0.0,,,,23500000.0,,,,5700000.0,,,1300000.0,,,,16700000.0,56700000.0,,,,24300000.0,,,,,,,,2500000.0,0.18,,,,,,,,,,,,,37300000.0,,,1500000.0,,,,2300000.0,,12800000.0,,,,,,,,1000000.0,,,,,0.0,,,14300000.0,16100000.0,,,,5200000.0,7400000.0,,0.0,,1800000.0,,136700000.0,,,80000000.0,,,,21200000.0,,,42222222.0,0.0,,,,,,,0.18,,44700000.0,,,,-13000000.0,,,1900000.0,42400000.0,,7600000.0,,,,,,,42222222.0,,2500000.0,,,,,,,,,,7600000.0,,,,38300000.0,0.0,62600000.0,,18400000.0,,,7600000.0,,,,,,,,,40000000.0,,31900000.0,,,,,,,,,49800000.0,,,,94500000.0,,,,,,,,,,,,,,,,,,
1984-02-29,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42211000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300000.0,,,,,31300000.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,42211000.0,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-31,,,-15100000.0,,,32900000.0,36800000.0,,36800000.0,2400000.0,,2500000.0,,2500000.0,,0.0,,,4400000.0,22200000.0,,,,7800000.0,,7800000.0,2400000.0,5000000.0,,,18500000.0,62400000.0,,,,32900000.0,,,,,,,,2500000.0,0.2,,119900000.0,,,,17800000.0,,,,,,,48000000.0,,,1200000.0,,,45700000.0,3100000.0,,13700000.0,,,,,,,,1400000.0,,,,,0.0,,,15400000.0,17800000.0,,,,5300000.0,4400000.0,,0.0,,1900000.0,,154200000.0,,,91800000.0,,,-93500000.0,43200000.0,,,42000000.0,0.0,,,,,,,0.2,,65400000.0,,,42800000.0,-15100000.0,,,5000000.0,47000000.0,,8400000.0,,,,,,65400000.0,42000000.0,45300000.0,2500000.0,,74200000.0,,-93500000.0,,,,48000000.0,22200000.0,8400000.0,1900000.0,,,42800000.0,0.0,74200000.0,1200000.0,39600000.0,,39600000.0,8400000.0,,,,,,,,,43900000.0,43200000.0,45700000.0,,,,2000000.0,,54500000.0,,,54500000.0,,,,119900000.0,,,,,,,,,,,,,,,,,,
1984-08-31,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50900000.0,,,,,50900000.0,,0.08,,,,,,,,,,,,,,,,,,,,,,,42225000.0,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-30,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42281000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800000.0,,,,,52800000.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,42281000.0,,,,,,,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42314000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39800000.0,,,,,39800000.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,42314000.0,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31,,,-18500000.0,,,39000000.0,39900000.0,,39900000.0,3200000.0,,2500000.0,,2500000.0,,0.0,,,8400000.0,30700000.0,,,,11100000.0,,11100000.0,3200000.0,5600000.0,,,25300000.0,81400000.0,,,,39000000.0,,,,,,,,2500000.0,0.24,,141300000.0,,,,22300000.0,,,,,,,57500000.0,,,1200000.0,,,55700000.0,4800000.0,,18100000.0,,,,,,,,2000000.0,,,,,0.0,,,21000000.0,22300000.0,,,,7400000.0,8400000.0,,0.0,,3100000.0,,203200000.0,,,121800000.0,,,-122500000.0,46200000.0,,,46521739.0,0.0,,,,,,,0.23,,76900000.0,,,50800000.0,-18500000.0,,,5600000.0,60400000.0,,10700000.0,,,,,,76900000.0,44583333.0,59700000.0,2500000.0,,85600000.0,,-122500000.0,,,,57500000.0,30700000.0,10700000.0,3100000.0,,,50800000.0,0.0,85600000.0,1200000.0,41800000.0,,41800000.0,10700000.0,,,,,,,,,56100000.0,46200000.0,55700000.0,,,,2300000.0,,64400000.0,,,64400000.0,,,,141300000.0,,,,,,,,,,,,,,,,,,
1985-08-31,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45664000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54800000.0,,,,,54800000.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,45664000.0,,,,,,,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-30,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70500000.0,,,,,70500000.0,,0.08,,,,,,,,,,,,,,,,,,,,,,,54875000.0,,,,,,,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-02-28,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500000.0,,,,,55500000.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,56330000.0,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-05-31,,,-22300000.0,,,62100000.0,47900000.0,,47900000.0,4800000.0,,2200000.0,,2200000.0,,0.0,,,5800000.0,41900000.0,,,,42800000.0,,42800000.0,4800000.0,7700000.0,,,31000000.0,100000000.0,,,,62100000.0,,,,,,,,2200000.0,0.24,,218800000.0,,,,36100000.0,,,,,,,84400000.0,,,700000.0,,,112600000.0,6600000.0,,19300000.0,,,,,,,,1500000.0,,,,,0.0,,,24400000.0,36100000.0,,,,6700000.0,5800000.0,,0.0,,3700000.0,,250700000.0,,,150700000.0,,,-156400000.0,67300000.0,,,52500000.0,0.0,,,,,,,0.24,,109200000.0,,,56300000.0,-22300000.0,,,7700000.0,75600000.0,,12600000.0,,,,,,109200000.0,52500000.0,69900000.0,2200000.0,,106200000.0,,-156400000.0,,,,84400000.0,41900000.0,12600000.0,3700000.0,,,56300000.0,0.0,106200000.0,700000.0,61800000.0,,61800000.0,12600000.0,,,,,,,,,69000000.0,67300000.0,112600000.0,,,,3200000.0,,109600000.0,,,109600000.0,,,,218800000.0,,,,,,,,,,,,,,,,,,
1986-08-31,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71800000.0,,,,,71800000.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,5900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-11-30,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75200000.0,,,,,75200000.0,,0.08,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,4800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-28,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600000.0,,,,,66600000.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-05-31,,,-25000000.0,,,61700000.0,47800000.0,,47800000.0,3800000.0,,3000000.0,,3000000.0,,0.0,,,4500000.0,43100000.0,,,,55600000.0,,55600000.0,3800000.0,14700000.0,,,43600000.0,122000000.0,,,,61700000.0,,,,,,,,3000000.0,0.26,,242300000.0,,,,38600000.0,,,,,,,86700000.0,,,1100000.0,,,132000000.0,6300000.0,,29300000.0,,,,,,,,500000.0,,,,,0.0,,,35300000.0,38600000.0,,,,13400000.0,4500000.0,,0.0,,4900000.0,,290500000.0,,,168500000.0,,,-178200000.0,81000000.0,,,61153846.0,0.0,,,,,,,0.26,,124100000.0,,,62800000.0,-25000000.0,,,14700000.0,86700000.0,,15900000.0,,,,,,124100000.0,61153846.0,77000000.0,3000000.0,,110300000.0,,-178200000.0,,,,86700000.0,43100000.0,15900000.0,4900000.0,,,62800000.0,0.0,110300000.0,1100000.0,76100000.0,,76100000.0,15900000.0,,,,,,,,,78400000.0,81000000.0,132000000.0,,,,3700000.0,,118200000.0,,,118200000.0,,,,242300000.0,,,,,,,,,,,,,,,,,,
1987-08-31,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82400000.0,,,,,82400000.0,,0.12,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,7300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-11-30,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84100000.0,,,,,84100000.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-29,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70600000.0,,,,,70600000.0,,0.03,,,,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-05-31,,,-33400000.0,,,60500000.0,62900000.0,,62900000.0,3600000.0,,6400000.0,,6400000.0,,0.0,,,1800000.0,44400000.0,,,,53800000.0,,53800000.0,3600000.0,13200000.0,,,52500000.0,147200000.0,,,,60500000.0,,,,,,,,6400000.0,0.33,,260800000.0,,,,42600000.0,,,,,,,93900000.0,,,1000000.0,,,127500000.0,7100000.0,,35400000.0,,,,,,,,-500000.0,,,,,0.0,,,42900000.0,42600000.0,,,,14000000.0,1800000.0,,0.0,,3400000.0,,342000000.0,,,194800000.0,,,-194100000.0,80000000.0,,,69032258.0,0.0,,,,,,,0.31,,124400000.0,,,76000000.0,-33400000.0,,,13200000.0,104300000.0,,21400000.0,,,,,,124400000.0,64848485.0,105000000.0,6400000.0,,133300000.0,,-194100000.0,,,,93900000.0,44400000.0,21400000.0,3400000.0,,,76000000.0,0.0,133300000.0,1000000.0,75400000.0,,75400000.0,21400000.0,,,,,,,,,94700000.0,80000000.0,127500000.0,,,,6300000.0,,136400000.0,,,136400000.0,,,,260800000.0,,,,,,,,,,,,,,,,,,
