date,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualBasicAverageShares,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccountsPayable,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualChangeInWorkingCapital,annualOperatingIncome,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,trailingCostOfRevenue,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualCostOfRevenue,annualPretaxIncome,annualBasicEPS,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualCurrentDebt,quarterlyTotalAssets,annualSellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOtherNonCurrentAssets,annualDilutedAverageShares,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyBasicEPS,annualStockholdersEquity,quarterlyOtherIncomeExpense,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTotalAssets,quarterlyInventory,quarterlyAccountsReceivable,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualNetIncomeCommonStockholders,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyChangeInInventory,annualDilutedEPS,quarterlyChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,quarterlyCapitalStock,annualNetPPE,trailingGrossProfit,annualOperatingCashFlow,annualRepaymentOfDebt,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualChangeInInventory,trailingChangeInCashSupplementalAsReported,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,annualIncomeTaxPayable,quarterlyGrossPPE,trailingOperatingExpense,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualDeferredIncomeTax,trailingSellingGeneralAndAdministration,quarterlyCashFlowFromContinuingFinancingActivities,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyCommonStockIssuance,trailingCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,trailingInterestExpense,quarterlyIncomeTaxPayable,trailingCashDividendsPaid,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyDilutedEPS,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualTotalRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualStockBasedCompensation,annualInterestExpense,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlySaleOfInvestment,annualInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualOtherIntangibleAssets,trailingNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,annualGoodwill,annualPurchaseOfBusiness,trailingBasicEPS,trailingResearchAndDevelopment,annualPurchaseOfInvestment,trailingCommonStockIssuance,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyOtherIntangibleAssets,quarterlyGoodwill,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1986-01-31,,,,,,-123574000.0,,,,,,,,,,3331917000.0,,,,,,3061037000.0,32967000.0,6906000.0,39873000.0,74262000.0,,,,,18959520.0,,,,,,,,,,54021000.0,,,,,,,,2300000,,,,,,,,,,0.12006,,,,,,,,,,,,,32457000.0,,,12158000.0,,,,179592000.0,,,,,,,,,,,,270880000.0,,,,,,,,,,,-70000000.0,18959520.0,,-93292000.0,,,-214022000.0,,,,,,127176000.0,,,,-11298000.0,,,,,,,216859000.0,,,,198958000.0,,-300322000.0,15757000.0,,,-303166000.0,31700000,,31700000,32967000.0,3692000.0,,-28532000.0,,,,,,288284000.0,,,,,,,-24190000.0,0.12006,31700000,,,,,,-6643000.0,695000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959520.0,,,,,,,,,,,,,,,,,,1900000,,,,,,,,,,0.10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32300000,,32300000,,,,,,,,,,,,,,,,,,0.10005,32300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959520.0,,,,,,,,,,,,,,,,,,5100000,,,,,,,,,,0.27347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42300000,,42300000,,,,,,,,,,,,,,,,,,0.27347,42300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-10-31,0.0,,33300000.0,30900000.0,14100000.0,,,19014883.0,,,7900000.0,,,900000.0,,,,29400000.0,0.0,7900000.0,6200000.0,,,,,,,,100000.0,11200000.0,,,15600000.0,,109100000.0,29800000.0,0.82041,15600000.0,,,,20100000.0,200000.0,53400000.0,8200000.0,,300000.0,14100000.0,6300000,,300000.0,19014883.0,,2500000.0,33300000.0,,,900000.0,,39300000.0,,30900000.0,,,53400000.0,12900000.0,,14200000.0,,15600000.0,,,6200000.0,5300000.0,,,2500000.0,,,,,,,,0.82041,,11200000.0,700000.0,,19800000.0,,0.0,,41900000.0,20100000.0,11200000.0,39300000.0,11200000.0,33700000.0,,,,,,,,,,-25900000.0,200000.0,,45700000.0,,,100000.0,0.0,,,-25900000.0,,,12500000.0,,45700000.0,,,0.0,,,,,,,,,-76900000,6000000.0,44700000,,,,,,5300000.0,,,,,12900000.0,,19800000.0,,,6000000.0,,,-76900000,,,,,151000000.0,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,3600000,,,,,,,,,,0.19343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600000,,36600000,,,,,,,,,,,,,,,,,,0.19343,36600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,2900000,,,,,,,,,,0.15341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36700000,,36700000,,,,,,,,,,,,,,,,,,0.15341,36700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,2200000,,,,,,,,,,0.10672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38300000,,38300000,,,,,,,,,,,,,,,,,,0.10672,38300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-10-31,0.0,,45900000.0,40100000.0,11800000.0,,,19633041.0,,,8000000.0,,,2500000.0,,,,17900000.0,0.0,8000000.0,3800000.0,,,,,,,,0.0,23100000.0,,,11000000.0,,118600000.0,19400000.0,0.56028,11000000.0,,,,22500000.0,200000.0,68400000.0,9100000.0,,200000.0,11800000.0,2300000,,200000.0,19633041.0,,2300000.0,45900000.0,,,2500000.0,,56600000.0,,40100000.0,,,68400000.0,13600000.0,,8400000.0,,11000000.0,,,3800000.0,5700000.0,,,2300000.0,,,,,,,,0.56028,,23100000.0,1600000.0,,22300000.0,,0.0,,31400000.0,22500000.0,23100000.0,56600000.0,23100000.0,22300000.0,,,,,,,,,,-29300000.0,200000.0,,51600000.0,,,0.0,0.0,,,-29300000.0,,,13500000.0,,51600000.0,,,0.0,,,,,,,,,-93700000,3600000.0,38400000,,,,,,5700000.0,,,,,13600000.0,,22300000.0,,,3600000.0,,,-93700000,,,,,150000000.0,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,200000,,,,,,,,,,0.00667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33700000,,33700000,,,,,,,,,,,,,,,,,,0.00667,33700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,800000,,,,,,,,,,0.04002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20398801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37600000,,37600000,,,,,,,,,,,,,,,,,,0.04002,37600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
