,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualRepaymentOfDebt,quarterlyPretaxIncome,annualEbitda,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,annualDilutedEPS,trailingGrossProfit,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,annualDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOtherCurrentAssets,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,trailingCapitalExpenditure,quarterlyDilutedEPS,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualSellingGeneralAndAdministration,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,trailingNetIncomeContinuousOperations,trailingOperatingExpense,annualPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyTotalRevenue,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,trailingStockBasedCompensation,quarterlyGrossPPE,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingCashDividendsPaid,trailingBeginningCashPosition,annualInterestExpense,trailingChangesInAccountReceivables,trailingNetIncome,annualGoodwill,annualStockBasedCompensation,quarterlyNetPPE,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,trailingCostOfRevenue,quarterlyTaxProvision,annualCapitalStock,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualInventory,trailingChangeInInventory,quarterlyEbitda,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualNetOtherInvestingChanges,annualTotalRevenue,trailingChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,annualRetainedEarnings,trailingCommonStockIssuance,quarterlyGoodwill,annualNetIncome,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,quarterlyTotalAssets,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualCostOfRevenue,trailingPurchaseOfInvestment,annualAccountsPayable,trailingInvestingCashFlow,annualOtherCurrentAssets,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,trailingRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualBasicEPS,quarterlyDilutedAverageShares,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingSaleOfInvestment,trailingPretaxIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingNetOtherInvestingChanges,annualNetPPE,quarterlyCostOfRevenue,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualCurrentLiabilities,annualNetIncomeCommonStockholders,trailingBasicAverageShares,annualResearchAndDevelopment,trailingPurchaseOfBusiness,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,trailingDilutedAverageShares
662601600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,14400000.0,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,809344000.0,,,7.8e-05,,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809344000.0,,600000.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670377600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,14400000.0,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,809344000.0,,,7.8e-05,,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809344000.0,,600000.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,14400000.0,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,809344000.0,,,7.8e-05,,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809344000.0,,600000.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686188800,14800000.0,,,,,5900000.0,-100000.0,,,,0.0,0.000156,,,,809344000.0,,22100000.0,1100000.0,-200000.0,4400000.0,1300000.0,,4200000.0,-5800000.0,,1300000.0,,28100000.0,,,700000.0,,1100000.0,26400000.0,1100000.0,4900000.0,,,,,809344000.0,,,3100000.0,,,,,7800000.0,,,,,,14400000.0,,,2400000.0,,-10600000.0,,,-4800000.0,,-40300000.0,,28100000.0,,-7000000.0,,,,,,,,22300000.0,,4400000.0,,,14800000.0,,,,,,,0.0,,,10800000.0,,-5800000.0,8100000.0,,-40300000.0,15700000.0,7500000.0,-8000000.0,,-2700000.0,,-100000.0,3000000.0,,500000.0,57700000.0,,,8200000.0,11400000.0,,,-100000.0,,,2400000.0,700000.0,,500000.0,2900000.0,37800000.0,37800000.0,0.0,-900000.0,,26400000.0,7500000.0,,,46900000.0,,3100000.0,,1300000.0,,0.0,,,,,,,15700000.0,,4100000.0,3100000.0,,22100000.0,100000.0,,,,,2900000.0,1100000.0,0.000156,,,600000.0,600000.0,,,,,,11400000.0,900000.0,,7500000.0,,,8100000.0,,7500000.0,,,,22300000.0,,4100000.0,2600000.0,,,900000.0,8200000.0,900000.0,,,,,,,,
694137600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,21400000.0,,,,,,,,,,21400000.0,,,,,,,,,,,,,,,,,,740672000.0,,,7.8e-05,,,,,,,,,,,21400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740672000.0,,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702000000,36100000.0,,,,1700000.0,,,,,3200000.0,,,,,,,,43700000.0,,,,1700000.0,,,-7600000.0,,,,,,7.8e-05,,,12600000.0,,12600000.0,,100000.0,,,,,,,1700000.0,,,,,,,,,,,21400000.0,,,,,,,,,,1800000.0,,34600000.0,,,,,,,,,,27000000.0,,6100000.0,,600000.0,,740672000.0,,,7.8e-05,,,,,,,,,,,2800000.0,,,,,,,600000.0,,,,,,,7800000.0,23600000.0,2200000.0,,,,,,,,,,,51500000.0,,300000.0,,27900000.0,,,,,,,,,,,,,,,,,7800000.0,,900000.0,,,,,,,5000000.0,,,,,740672000.0,,1100000.0,1100000.0,,,,,,,,,,,0.0,8300000.0,,,,,,,16400000.0,,,,,1000000.0,,,,,,,,,,
709862400,36900000.0,,,,1500000.0,,,0.0,,3600000.0,,,,,,,0.0,45300000.0,,,,1500000.0,,,-8700000.0,,,,,,7.8e-05,,,9400000.0,,9400000.0,,,,,,,,,1900000.0,-1400000.0,,,,,,,,,600000.0,23500000.0,,,,,,-4200000.0,,,400000.0,1300000.0,,38900000.0,,,,,,,,,,30200000.0,,5400000.0,,600000.0,,836608000.0,,,7.8e-05,200000.0,,,,-3100000.0,,,,,,2800000.0,,,,,,-3600000.0,500000.0,,,,,,,7300000.0,20800000.0,2100000.0,,,,,,,,,,,52600000.0,,-100000.0,,31800000.0,,,,,,,,,,,,,1000000.0,,,,7300000.0,,1600000.0,,,,,-3700000.0,,4900000.0,,,,,836608000.0,,900000.0,900000.0,,,0.0,-4200000.0,,,,,,-600000.0,100000.0,8800000.0,,,,,,,18600000.0,,,,,1100000.0,,,,,,,,,,
717811200,,,,,1800000.0,10000000.0,200000.0,0.0,,3200000.0,,0.000234,,,,838400000.0,-17000000.0,75300000.0,20800000.0,19700000.0,4000000.0,19100000.0,,40800000.0,-9400000.0,,1100000.0,,43000000.0,,,4600000.0,,20800000.0,34700000.0,20800000.0,8100000.0,,,,,838400000.0,,,4000000.0,1600000.0,,,,11700000.0,,,,,4200000.0,26900000.0,,,4100000.0,,-15900000.0,-4800000.0,-17000000.0,-3600000.0,29000000.0,1600000.0,,43000000.0,,-30000000.0,,,,,,,,33600000.0,,4000000.0,,700000.0,,,,,,29100000.0,200000.0,0.0,,11400000.0,18100000.0,,-9400000.0,11700000.0,,2200000.0,12600000.0,,-7000000.0,48800000.0,-100000.0,-600000.0,1400000.0,6400000.0,,0.0,93100000.0,,,12600000.0,53200000.0,2600000.0,,1400000.0,,,4100000.0,4600000.0,,2500000.0,6600000.0,87900000.0,87900000.0,0.0,1000000.0,,34700000.0,,,,75000000.0,,4000000.0,,19100000.0,,,,,600000.0,,,,12600000.0,,1100000.0,2900000.0,,75300000.0,600000.0,3700000.0,,4800000.0,,3600000.0,20800000.0,0.000234,,,1100000.0,1100000.0,,,0.0,-21800000.0,,53200000.0,1600000.0,,,-2900000.0,200000.0,11700000.0,,,,,,33600000.0,22100000.0,1100000.0,8900000.0,,,1600000.0,12600000.0,1500000.0,,,,,,,,
725760000,,,,,5200000.0,,,20800000.0,,3700000.0,,,,,,,0.0,79400000.0,,,,31000000.0,,,-9400000.0,,,,,,0.000156,5800000.0,,17000000.0,,17000000.0,,,,,,,,,6900000.0,7400000.0,,,,,,,,,11900000.0,38600000.0,,,,,,-4700000.0,,,200000.0,4800000.0,,46300000.0,,,,,,,,,,36900000.0,,6900000.0,,2000000.0,,843136000.0,,,0.000156,200000.0,-100000.0,,,-3800000.0,,,,,,6100000.0,,,,,,7200000.0,4600000.0,,,,,,,19600000.0,60700000.0,2400000.0,,,,,,,,,,,99000000.0,,3200000.0,,38300000.0,,,,,,,,,,,,-11300000.0,1300000.0,,,,19600000.0,,1400000.0,,,,,0.0,,8500000.0,,,,,843136000.0,,3200000.0,3200000.0,,,0.0,-16000000.0,,,,,,600000.0,300000.0,11100000.0,,,,,,,30100000.0,,,,,1600000.0,,,,,,,,,,
733536000,,,,,2000000.0,,,0.0,,4100000.0,,,,,,,0.0,82600000.0,,,,32800000.0,,,-9400000.0,,,,,,7.8e-05,5900000.0,,5200000.0,,5200000.0,,,,,,,,,2100000.0,-9200000.0,,,,,,,,,-6400000.0,34000000.0,,,,,,-8100000.0,,,1900000.0,1700000.0,,52900000.0,,,,,,,,,,43500000.0,,6100000.0,,700000.0,,867136000.0,,,7.8e-05,600000.0,,,,-11800000.0,,,,,,3100000.0,,,,,,-14500000.0,5800000.0,,,,,,,14100000.0,51100000.0,2800000.0,,,,,,,,,,,96700000.0,,1300000.0,,45600000.0,,,,,,,,,,,,-11400000.0,1400000.0,,,,14100000.0,,2100000.0,,,,,1300000.0,,5800000.0,,,,,867136000.0,,1300000.0,1300000.0,,,0.0,-7100000.0,,,,,,0.0,300000.0,11100000.0,,,,,,,28200000.0,,,,,2000000.0,,,,,,,,,,
