,quarterlyLongTermDebt,annualPretaxIncome,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,annualNetIncome,annualAccountsReceivable,annualLongTermDebt,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,annualGoodwill,annualSaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualOtherNonCashItems,annualInvestingCashFlow,quarterlyGoodwill,quarterlyNetIncome,annualRetainedEarnings,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingIncome,trailingTotalRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,trailingOtherIncomeExpense,annualOperatingIncome,annualCurrentLiabilities,quarterlyDilutedEPS,annualNetPPE,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyPurchaseOfInvestment,annualOtherIncomeExpense,quarterlyEndCashPosition,annualOtherShortTermInvestments,annualAccountsPayable,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,annualOperatingCashFlow,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,annualChangeInAccountPayable,annualOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualChangesInAccountReceivables,annualInterestExpense,trailingInterestExpense,annualCurrentAssets,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,annualBeginningCashPosition,trailingOperatingExpense,annualGrossPPE,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,trailingGrossProfit,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,trailingCostOfRevenue,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyTaxProvision,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,quarterlyNetPPE,annualCapitalStock,annualTotalNonCurrentAssets,quarterlyStockBasedCompensation,quarterlyEbitda,annualNetOtherFinancingCharges,annualGrossProfit,annualStockBasedCompensation,annualFreeCashFlow,annualInventory,quarterlyOtherNonCashItems,trailingTaxProvision,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInWorkingCapital,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyBasicEPS,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyPretaxIncome,annualChangeInInventory,quarterlyGrossPPE,annualOperatingExpense,annualDilutedEPS,quarterlyPurchaseOfBusiness,annualDilutedAverageShares,quarterlyCurrentAssets,trailingNetIncome,quarterlyCapitalExpenditure,annualTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingBeginningCashPosition,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyChangesInAccountReceivables,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingFreeCashFlow,trailingRepaymentOfDebt,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingDeferredIncomeTax,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingPurchaseOfInvestment,trailingEndCashPosition,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingOperatingCashFlow,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingInvestingCashFlow,annualInvestmentsAndAdvances
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,33400000.0,,,,,,17500000.0,,234300000.0,,,,,,,,,259300000.0,,0.0,,,236200000.0,711700000.0,,,,,0.0,,,,,,,,,,43900000.0,176300000.0,,203900000.0,,,,8800000.0,,,,,,,0.0,,,276100000.0,,,,,,63400000.0,,,,16900000.0,,109400000.0,109400000.0,,,,19400000.0,,493300000.0,,,0.0,,369700000.0,14500000.0,-165800000.0,323200000.0,164000000.0,,,16400000.0,,,,,,,,0.1,,,,,,,15900000.0,,,171700000.0,,,4600000.0,,,809700000.0,1196300000.0,15900000.0,,,218400000.0,,,,386600000.0,,0.0,242300000.0,,,,,,24900000.0,,17500000.0,,,,,,,,,,,,,342700000.0,0.09,,182222222.0,,,,452400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,48400000.0,,,,,,24900000.0,,212900000.0,,,,,,,,,278300000.0,,0.0,,,254200000.0,768600000.0,,,,,0.0,,,,,,,,,,51400000.0,235700000.0,,210800000.0,,,,15500000.0,,,,,,,0.0,,,254600000.0,,,,,,71400000.0,,,,15300000.0,,148700000.0,148700000.0,,,,18600000.0,,543100000.0,,,0.0,,393800000.0,14700000.0,-183000000.0,343900000.0,148750000.0,,,23800000.0,,,,,,,,0.16,,,,,,,23500000.0,,,227500000.0,,,8200000.0,,,848400000.0,1263700000.0,25700000.0,,,225500000.0,,,,415300000.0,,0.0,237400000.0,,,,,,26400000.0,,24900000.0,,,,,,,,,,,,,363900000.0,0.14,,170000000.0,,,,490300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,52000000.0,,,,,,25700000.0,,230100000.0,,,,,,,,,297500000.0,,0.0,,,247500000.0,864400000.0,,,,,0.0,,,,,,,,,,64100000.0,284500000.0,,240300000.0,,,,6200000.0,,,,,,,0.0,,,282400000.0,,,,,,85800000.0,,,,22500000.0,,77500000.0,77500000.0,,,,18300000.0,,581600000.0,,,0.0,,437000000.0,42500000.0,-196700000.0,402500000.0,154375000.0,,,24700000.0,,,,,,,,0.16,,,,,,,26300000.0,,,,,,,,,1048500000.0,1536800000.0,37000000.0,,,282800000.0,,,,488300000.0,,0.0,334900000.0,,,,,,29800000.0,,25700000.0,,,,,,,,,,,,,424200000.0,0.13,,190000000.0,,,,566900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,76400000.0,,,,,,42900000.0,,196200000.0,,,,,,,,,343300000.0,,0.0,,,279100000.0,888300000.0,,,,,0.0,,,,,,,,,,83900000.0,286400000.0,,228400000.0,,,,11500000.0,,,,,,,0.0,,,258600000.0,,,,,,106300000.0,,,,32600000.0,,139500000.0,139500000.0,,,,19000000.0,,617600000.0,,,0.0,,448700000.0,42300000.0,-220300000.0,507200000.0,161923077.0,,,42100000.0,,,,,,,,0.26,,,,,,,33500000.0,,,276400000.0,,,10000000.0,,,1238300000.0,1851800000.0,45500000.0,,,270700000.0,,,,613500000.0,,0.0,299300000.0,,,,,,29800000.0,,42900000.0,,,,,,,,,,,,,529600000.0,0.23,,183043478.0,,,,545000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,101200000.0,,,,,,55400000.0,,175300000.0,,,,,,,,,370600000.0,,0.0,,,257500000.0,939800000.0,,,,,0.0,,,,,,,,,,109200000.0,336900000.0,,198900000.0,,,,9500000.0,,,,,,,0.0,,,232300000.0,,,,,,133400000.0,,,,30900000.0,,160400000.0,160400000.0,,,,17400000.0,,676500000.0,,,0.0,,408400000.0,64400000.0,-209500000.0,557600000.0,190344828.0,,,55200000.0,,,,,,,,0.29,,,,,,,45800000.0,,,323800000.0,,,13100000.0,,,1282500000.0,1973500000.0,42800000.0,,,263300000.0,,,,691000000.0,,0.0,331900000.0,,,,,,26100000.0,,55400000.0,,,,,,,,,,,,,581800000.0,0.29,,190344828.0,,,,569200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182240000.0,,,,,,,,,,,,,,,,,463900000.0,,,,,,,,,,,,,,,,0.03,,,182240000.0,,,,,,,,,,,,,,,463900000.0,463900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25600000.0,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181856000.0,,,,,,,,,,,,,,,,,557300000.0,,,,,,,,,,,,,,,,0.14,,,181856000.0,,,,,,,,,,,,,,,557300000.0,557300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25300000.0,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181856000.0,,,,,,,,,,,,,,,,,552500000.0,,,,,,,,,,,,,,,,0.14,,,181856000.0,,,,,,,,,,,,,,,552500000.0,552500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,168900000.0,116100000.0,,36600000.0,,1004400000.0,353500000.0,65000000.0,,168900000.0,,,294900000.0,,,,,235000000.0,404100000.0,,0.0,,,305200000.0,1004400000.0,,,,9100000.0,0.0,29500000.0,,166200000.0,166200000.0,,,337800000.0,,,123300000.0,365300000.0,,221100000.0,,,,9400000.0,,,,,,,0.0,11800000.0,,235000000.0,,,,,600300000.0,148200000.0,73800000.0,,,36600000.0,,166200000.0,166200000.0,,,,16500000.0,,709500000.0,48000000.0,,0.0,,438600000.0,73800000.0,-217500000.0,599100000.0,180555556.0,,,65000000.0,,,,,,,,0.36,,,,,,,51100000.0,,404100000.0,353500000.0,-217500000.0,,11800000.0,,,1327900000.0,2075200000.0,48000000.0,221100000.0,,294900000.0,,-1450400000.0,,747300000.0,,0.0,337800000.0,,,,,,29500000.0,,65000000.0,,,,,,,305200000.0,,365300000.0,,,438600000.0,624000000.0,0.35,,185714286.0,709500000.0,,,600300000.0,-1450400000.0,501500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
