date,annualCurrentDeferredRevenue,trailingCostOfRevenue,annualEndCashPosition,annualCurrentDebt,trailingChangeInAccountPayable,annualTotalRevenue,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyEbitda,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyStockBasedCompensation,annualFreeCashFlow,quarterlyEndCashPosition,annualAccountsPayable,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualChangeInAccountPayable,trailingTaxProvision,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,annualOperatingExpense,quarterlyCurrentAssets,annualDilutedEPS,trailingNetIncome,annualDilutedAverageShares,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualNetOtherInvestingChanges,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualAccountsReceivable,annualCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,annualNetIncome,annualBeginningCashPosition,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualSaleOfInvestment,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualBasicAverageShares,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetIncome,quarterlyGoodwill,trailingCommonStockIssuance,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,annualTotalAssets,trailingNetIncomeCommonStockholders,annualTaxProvision,annualDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingOtherIncomeExpense,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualGrossProfit,annualOtherIncomeExpense,annualCurrentLiabilities,annualStockBasedCompensation,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,annualNetPPE,annualOperatingCashFlow,annualInventory,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,trailingChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,annualInterestExpense,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,trailingInterestExpense,annualPretaxIncome,trailingChangesInAccountReceivables,quarterlyTotalAssets,trailingCapitalExpenditure,quarterlyChangesInAccountReceivables,trailingOperatingExpense,quarterlyTotalNonCurrentAssets,annualGrossPPE,trailingInvestingCashFlow,trailingChangeInCashSupplementalAsReported,annualGoodwill,annualAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualBasicEPS,trailingStockBasedCompensation,trailingGrossProfit,quarterlyDilutedAverageShares,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
1979-12-31,,1973100000.0,0.0,5700000.0,11500000.0,373600000.0,,173200000.0,966900000.0,8300000.0,4063800000.0,73600000.0,,,,,,0.0,,,,,,,28800000.0,169200000.0,,212400000.0,715500000.0,,,,,42600000.0,-103100000.0,,,,,,,593600000.0,,,126800000.0,,0.72,697900000.0,59166667.0,2100000.0,112100000.0,,,927000000.0,,,,,214800000.0,,25900000.0,42600000.0,0.0,,,,,0.0,,,119400000.0,42600000.0,59166667.0,164800000.0,,,-266900000.0,,,,,27600000.0,142800000.0,,,276900000.0,697900000.0,33900000.0,,,,,,,,,,,693800000.0,,,8100000.0,,,,62100000.0,,200400000.0,6300000.0,83300000.0,,,,61900000.0,0.0,102200000.0,91400000.0,,,-86600000.0,-405300000.0,200000.0,,-38900000.0,,,81000000.0,3000000.0,,,-100000.0,,,,,2100000.0,,3400000.0,,122200000.0,,-210700000.0,49300000.0,76500000.0,-45500000.0,,-100200000.0,,1123800000.0,,94300000.0,-241500000.0,45300000.0,,-32400000.0,,,,,,,,,,0.0,-237900000.0,,,,0.72,23300000.0,2090700000.0,,31300000.0,,-23000000.0,77600000.0,0.0,,,,,,,,,,,,,,,,,,,
1980-12-31,,,0.0,10500000.0,,401800000.0,,187500000.0,,9700000.0,,67600000.0,,,,,,0.0,,,,,,,33800000.0,,,,,,,,,38300000.0,,,,,,,,,,,146700000.0,,0.64,,59843750.0,5400000.0,121300000.0,,,,,,,,234600000.0,,29900000.0,38300000.0,0.0,,,,,0.0,,,137200000.0,38300000.0,59843750.0,191300000.0,,,,,,,,,164600000.0,,,312600000.0,,30100000.0,,,,,,,,,,,,,,,,,,78000000.0,,214300000.0,5700000.0,87500000.0,,,,77800000.0,0.0,112300000.0,,,,,,200000.0,,,,,77100000.0,3900000.0,,,0.0,,,,,5400000.0,,4900000.0,,,,,,68400000.0,,,,,,,117300000.0,,,,-39500000.0,,,,,,,,,,,,,,,0.64,,,,,,,77000000.0,0.0,,,,,,,,,,,,,,,,,,,
1981-12-31,,,0.0,2400000.0,,441500000.0,,205700000.0,,9800000.0,,71900000.0,,,,,,0.0,,,,,,,32500000.0,,,,,,,,,40000000.0,,,,,,,,,,,163900000.0,,0.66,,60606061.0,5900000.0,126100000.0,,,,,,,,257800000.0,,27500000.0,40000000.0,0.0,,,,,0.0,,,152900000.0,40000000.0,60606061.0,213100000.0,,,,,,,,,187700000.0,,,339200000.0,,31600000.0,,,,,,,,,,,,,,,,,,81400000.0,,235800000.0,5000000.0,93600000.0,,,,81100000.0,0.0,120000000.0,,,,,,300000.0,,,,,82900000.0,5000000.0,,,0.0,,,,,5900000.0,,5300000.0,,,,,,71600000.0,,,,,,,127700000.0,,,,-46600000.0,,,,,,,,,,,,,,,0.66,,,,,,,91200000.0,0.0,,,,,,,,,,,,,,,,,,,
1982-12-31,,,0.0,2400000.0,,430500000.0,,204400000.0,,8200000.0,,62500000.0,,,,,,0.0,,,,,,,30700000.0,,,,,,,,,36800000.0,,,,,,,,,,,163600000.0,,0.61,,60327869.0,19200000.0,105900000.0,,,,,,,,261000000.0,,25100000.0,36800000.0,0.0,,,,,300000.0,,,152600000.0,36800000.0,60327869.0,232600000.0,,,,,,,,,208000000.0,,,338500000.0,,31600000.0,,,,,,,,,,,,,,,,,,77500000.0,,226100000.0,9500000.0,75200000.0,,,,77200000.0,0.0,104800000.0,,,,,,,,,,,73500000.0,5600000.0,,,0.0,,,,,19200000.0,,3700000.0,,,,,,68400000.0,,,,,,,129800000.0,,,,-52600000.0,,,,,,,,,,,,,,,0.61,,,,,,,72800000.0,0.0,,,,,,,,,,,,,,,,,,,
1983-12-31,,,0.0,2400000.0,,454700000.0,,212600000.0,,8400000.0,,71900000.0,,,,,,0.0,,,,,,,29400000.0,,,,,,,,,43000000.0,,,,,,,,,,,170200000.0,,0.71,,60563380.0,52700000.0,113500000.0,,,,,,,,293400000.0,,22800000.0,43000000.0,0.0,,,,,300000.0,,,159600000.0,43000000.0,60563380.0,258900000.0,,,,,,,,,233800000.0,,,372400000.0,,40200000.0,,,,,,,,,,,,,,,,,,79000000.0,,242100000.0,14100000.0,84100000.0,,,,78700000.0,0.0,96200000.0,,,,,,,,,,,82500000.0,6600000.0,,,0.0,,,,,52700000.0,,2800000.0,,,,,,83200000.0,,,,,,,139500000.0,,,,-60800000.0,,,,,,,,,,,,,,,0.71,,,,,,,81700000.0,0.0,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,131500000.0,,,0.23,,,,,,,,,,,,,,131500000.0,,,,,,,,,,,,,,,,,,,,,,131500000.0,,,,,,,,,,,,,,60891000.0,,,,,,,,,,,,,,,,,,,,,,,,,,14100000.0,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60891000.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,134300000.0,,,0.25,,,,,,,,,,,,,,134300000.0,,,,,,,,,,,,,,,,,,,,,,134300000.0,,,,,,,,,,,,,,60918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,15400000.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60918000.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,135500000.0,,,0.25,,,,,,,,,,,,,,135500000.0,,,,,,,,,,,,,,,,,,,,,,135500000.0,,,,,,,,,,,,,,61076000.0,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61076000.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,0.0,2500000.0,,539900000.0,,245500000.0,,10100000.0,,99500000.0,-301700000.0,,,,,0.0,,,,,,,30800000.0,,,,,-301700000.0,120300000.0,,,59600000.0,,,,,274500000.0,154500000.0,89500000.0,,,,194900000.0,331300000.0,0.98,,60816327.0,43600000.0,120300000.0,138700000.0,,,20200000.0,0.0,,,331300000.0,10100000.0,20200000.0,59600000.0,0.0,,,,,1100000.0,,,183700000.0,59600000.0,60816327.0,298600000.0,30800000.0,,,,,,,,274500000.0,,,418900000.0,,55100000.0,,,298600000.0,15100000.0,-68000000.0,,10600000.0,43600000.0,43600000.0,,,,86500000.0,,,112700000.0,,87600000.0,,294400000.0,18000000.0,89500000.0,,,,86500000.0,0.0,112700000.0,,2500000.0,,,,,,,,1100000.0,110700000.0,10600000.0,,,0.0,,,,,43600000.0,,2700000.0,,,87000000.0,,,114700000.0,,418900000.0,,,,87600000.0,154500000.0,,,,-68000000.0,,,,,,,,,,,,,,,0.98,,,,,,,87000000.0,0.0,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,144400000.0,,,0.23,,,,,,,,,,,,,,144400000.0,,,,,,,,,,,,,,,,,,,,,,144400000.0,,,,,,,,,,,,,,61103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61103000.0,,,,,,,,,,,,,,,,,,,,,,,,
