,annualGrossProfit,quarterlyPretaxIncome,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualNetPPE,trailingGrossProfit,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInInventory,quarterlyCurrentDebt,annualGrossPPE,quarterlyInterestExpense,quarterlyBasicAverageShares,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyGrossPPE,trailingOperatingExpense,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualAccumulatedDepreciation,annualInvestingCashFlow,annualDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,trailingInterestExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyEbitda,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualInventory,annualRepaymentOfDebt,annualInterestExpense,trailingResearchAndDevelopment,quarterlyDilutedEPS,annualPurchaseOfInvestment,annualBasicAverageShares,annualTotalRevenue,annualCapitalStock,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,quarterlySellingGeneralAndAdministration,annualChangeInAccountPayable,trailingCostOfRevenue,annualEndCashPosition,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingPretaxIncome,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingTaxProvision,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncomeContinuousOperations,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualCostOfRevenue,annualCurrentDebt,quarterlyTotalAssets,annualNetIncome,annualOtherNonCurrentAssets,annualSaleOfInvestment,quarterlyBasicEPS,annualSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCurrentAssets,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualLongTermDebt,quarterlyOtherCurrentAssets,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualTotalAssets,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,annualTaxProvision,annualDilutedEPS,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyGrossProfit,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,trailingPurchaseOfBusiness,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyEndCashPosition,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,trailingChangeInInventory,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCapitalExpenditure,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,trailingFreeCashFlow
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,3858000000.0,,258000000.0,1934000000.0,,2356000000.0,,1143000000.0,,828000000.0,,,,1207000000.0,,,-56000000.0,,1234000000.0,,,791000000.0,,,,,846000000.0,,,-414000000.0,,2887000000.0,-91000000.0,962000000.0,,,,,,,,,,,,-7000000.0,1565000000.0,,3000000.0,-238000000.0,1251000000.0,764000000.0,-31000000.0,,,,,1470588235.0,5350000000.0,1462000000.0,414000000.0,6000000.0,2154000000.0,,,-15000000.0,,,983000000.0,642000000.0,3200000000.0,0.425,,,,2356000000.0,424000000.0,,-44000000.0,971000000.0,,,,,,,,202000000.0,1376000000.0,,-178000000.0,,,625000000.0,,,371000000.0,1492000000.0,324000000.0,,625000000.0,159000000.0,,,1892000000.0,,,4877000000.0,1470588235.0,,3578000000.0,11000000.0,,137000000.0,,,,,2217000000.0,,6811000000.0,,,,0.425,236000000.0,625000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,4521000000.0,,319000000.0,2442000000.0,-35000000.0,2879000000.0,,1217000000.0,,1199000000.0,,,,1818000000.0,,,31000000.0,,1417000000.0,,,2240000000.0,,,,,1130000000.0,,,-372000000.0,,2944000000.0,-200000000.0,-389000000.0,,,,,,,,4000000.0,,,,-183000000.0,340000000.0,,82000000.0,-471000000.0,1300000000.0,737000000.0,-29000000.0,,,,-93000000.0,1462465050.0,5963000000.0,1463000000.0,827000000.0,3000000.0,2672000000.0,,,-30000000.0,,945000000.0,1255000000.0,667000000.0,3513000000.0,0.675,,,,2580000000.0,553000000.0,,-84000000.0,1577000000.0,,,,,,,,207000000.0,-5000000.0,,-241000000.0,,1560000000.0,999000000.0,,,427000000.0,1442000000.0,291000000.0,,985000000.0,397000000.0,,,2016000000.0,,,5403000000.0,1462465050.0,,4304000000.0,57000000.0,,121000000.0,,,,,2258000000.0,,7845000000.0,,,611000000.0,0.675,241000000.0,985000000.0,,,,,1234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,5235000000.0,,668000000.0,2296000000.0,-68000000.0,4289000000.0,,1229000000.0,,1818000000.0,,,,2407000000.0,,,-105000000.0,,1630000000.0,,,2580000000.0,,,,,1053000000.0,,,-565000000.0,,3129000000.0,-401000000.0,-113000000.0,75000000.0,,,,,,,,,,,-163000000.0,1225000000.0,,141000000.0,-483000000.0,1994000000.0,805000000.0,-12000000.0,,,,,1463422450.0,6488000000.0,1464000000.0,1253000000.0,7000000.0,4166000000.0,,,-17000000.0,,1031000000.0,1172000000.0,717000000.0,4178000000.0,1.085,,,,3805000000.0,540000000.0,,-270000000.0,2106000000.0,,,,,,,,123000000.0,-40000000.0,,-323000000.0,,2140000000.0,1586000000.0,,,258000000.0,1253000000.0,285000000.0,,1585000000.0,0.0,,,2306000000.0,,,7671000000.0,1463422450.0,,5768000000.0,127000000.0,,119000000.0,,,,,3006000000.0,,9967000000.0,,,842000000.0,1.085,301000000.0,1585000000.0,,,,,1566000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,601946800.0,,,,,1406220200.0,,,,3039932000.0,1461583200.0,192260600.0,,156023000.0,1313613000.0,,383514600.0,,,1463525994.0,,-475115200.0,155016400.0,,,,1788728200.0,,,,,,,,,615032600.0,1611566600.0,,292920600.0,,,-118778800.0,636171200.0,644224000.0,,,,,,,,,,,0.282049,,,,,,,,1463525994.0,6542900000.0,,2645344800.0,,,,,,618052400.0,,,,,2847671400.0,,,866682600.0,828431800.0,,2874849600.0,,,1837045000.0,,,,,3512027400.0,,,,414719200.0,,,,9417749600.0,,,,0.282049,,414719200.0,414719200.0,,,798233800.0,,,,,701600200.0,,1495807600.0,,,,,352310000.0,,,,,,5895656200.0,,68448800.0,,,,51336600.0,869702400.0,819372400.0,1484735000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,,,,,,,,,,,,,,,,,,,1440760570.0,,,,,,,,,,,,,,,,1871395680.0,,,,,,,,1871395680.0,,,,,,,,,,,0.320506,,,,,,,,1440760570.0,,,,,,,,,,,,,,,,,,,,,,,1871395680.0,,,,,,,,,461772960.0,,,,,,,,0.320506,,461772960.0,461772960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,6076136720.0,,1296039200.0,2901793650.0,221089040.0,3090481710.0,1296039200.0,1396101050.0,,1677227200.0,3090481710.0,1466620830.0,143898470.0,2996137680.0,,1396101050.0,-78143540.0,351645930.0,1990754330.0,,,3808068120.0,-594653280.0,209653400.0,,,786200250.0,1990754330.0,,-1404677780.0,,3459281100.0,-594653280.0,-1410395600.0,63848990.0,,-2950749060.0,1600036630.0,,,,10482670.0,-160098960.0,596559220.0,-2950749060.0,4764850.0,-1340828790.0,,,-1592412870.0,1600036630.0,823366080.0,,,,,-32400980.0,1455372744.0,7455084310.0,1466620830.0,272549420.0,3811880.0,2946583240.0,,6565963300.0,-160098960.0,2548241780.0,1218848630.0,861484880.0,596559220.0,3409726660.0,1.210051,,,,2467239330.0,336398410.0,2946583240.0,-595606250.0,2616855620.0,861484880.0,1760135590.0,,2901793650.0,,,1887479630.0,143898470.0,4764850.0,,-476485000.0,3409726660.0,2507264070.0,1760135590.0,,464943450.0,,1378947590.0,351645930.0,9467756950.0,1760135590.0,209653400.0,,,2430073500.0,464943450.0,464943450.0,6565963300.0,1458546323.0,786200250.0,6040876830.0,,-1171200130.0,64801960.0,336398410.0,,1312239690.0,,2548241780.0,,9467756950.0,,,747128480.0,1.210051,379282060.0,1760135590.0,6040876830.0,1760135590.0,64801960.0,,1312239690.0,10482670.0,,,823366080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049068800,,,,,,,,,,,,,,,,,,,,,1408221107.0,,,,,,,,,,,,,,,,1945821500.0,,,,,,,,1945821500.0,,,,,,,,,,,0.334066,,,,,,,,1408221107.0,,,,,,,,,,,,,,,,,,,,,,,1945821500.0,,,,,,,,,470438500.0,,,,,,,,0.334066,,470438500.0,470438500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056931200,,699633550.0,,,,,1145486980.0,,,,2269246210.0,1461843020.0,107769640.0,,228575930.0,1418387520.0,,247696350.0,,,1413028140.0,,-674429360.0,249434570.0,,,,2092816880.0,,,,,,,,,694418890.0,1506167630.0,,310272270.0,,,-283329860.0,630973860.0,729183290.0,,,,,,,,,,,0.334347,,,,,,,,1413028140.0,6006419210.0,,2384837840.0,,,,,,600555010.0,,,,,2161476570.0,,,836083820.0,942115240.0,,2813309070.0,,,1947675510.0,,,,,3220921660.0,,,,471057620.0,,,,8819728280.0,,,,0.334347,,471057620.0,471057620.0,,,768293240.0,,,,,891706860.0,,1546146690.0,,,,,374586410.0,,,,,,5580555310.0,,59099480.0,,,8691100.0,41717280.0,878670210.0,829130940.0,1573089100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064880000,,,,,,,,,,,,,,,,,,,,,1412177113.0,,,,,,,,,,,,,,,,2417421300.0,,,,,,,,2417421300.0,,,,,,,,,,,0.463497,,,,,,,,1412177113.0,,,,,,,,,,,,,,,,,,,,,,,2417421300.0,,,,,,,,,654539550.0,,,,,,,,0.463497,,654539550.0,654539550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
