,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,trailingNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyGrossPPE,annualCurrentAccruedExpenses,trailingSellingGeneralAndAdministration,trailingNetOtherFinancingCharges,annualOperatingExpense,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingDeferredIncomeTax,annualCashAndCashEquivalents,annualCapitalExpenditure,annualInterestExpense,annualChangesInAccountReceivables,annualDilutedAverageShares,quarterlyChangeInInventory,annualCurrentAssets,quarterlyInvestingCashFlow,trailingChangesInAccountReceivables,trailingCostOfRevenue,quarterlyEndCashPosition,trailingBeginningCashPosition,trailingOperatingExpense,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,quarterlyCashDividendsPaid,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccumulatedDepreciation,annualChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,quarterlyPretaxIncome,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,trailingChangeInAccountPayable,quarterlyStockholdersEquity,annualRetainedEarnings,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualBeginningCashPosition,annualTaxProvision,annualBasicAverageShares,annualCostOfRevenue,annualNetIncome,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyRepaymentOfDebt,annualCurrentDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,trailingDepreciationAndAmortization,trailingTaxProvision,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualPurchaseOfBusiness,annualOtherNonCashItems,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingPurchaseOfBusiness,annualStockholdersEquity,annualInvestingCashFlow,trailingStockBasedCompensation,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,trailingSaleOfInvestment,annualChangeInInventory,quarterlyDilutedAverageShares,annualDepreciationAndAmortization,annualBasicEPS,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingCashDividendsPaid,trailingOperatingCashFlow,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,quarterlyTaxProvision,annualGoodwill,annualCapitalStock,quarterlyNetPPE,annualStockBasedCompensation,trailingNetIncome,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCostOfRevenue,trailingChangeInInventory,annualNetPPE,quarterlyCurrentAccruedExpenses,annualOtherIntangibleAssets,quarterlyCommonStockIssuance,annualInventory,annualOperatingCashFlow,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyBasicEPS,annualEbitda,annualRepaymentOfDebt,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualDilutedEPS,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,trailingPurchaseOfInvestment,annualPretaxIncome,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOtherIncomeExpense,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingInvestingCashFlow,annualAccountsPayable,quarterlyCurrentDebt,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingDilutedEPS,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,100000.0,,,-0.0375,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,130666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4900000.0,-4900000.0,,,,,130666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0375,,,,,,,,,,,,,,,,,,,,,,,-4900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,100000.0,,,-0.0375,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,133333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,-5000000.0,,,,,133333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0375,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,100000.0,,,-0.04,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,125000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,-5000000.0,,,,,125000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,-16800000.0,,257700000.0,,,,27900000.0,,,,,,,,,14500000.0,,0.0,-19900000.0,,6900000.0,-224400000.0,600000.0,,128387097.0,,22200000.0,,,,,,,24300000.0,-1100000.0,,,-19900000.0,-16800000.0,,,221000000.0,,,,,,-3300000.0,257700000.0,-29900000.0,15300000.0,,221000000.0,-243400000.0,,36700000.0,,,22200000.0,,,,,63000000.0,-29900000.0,,,221000000.0,28100000.0,,128387097.0,2300000.0,-19900000.0,1600000.0,320700000.0,,2100000.0,298500000.0,1600000.0,,,13600000.0,0.0,,,,,,,,,63000000.0,-204900000.0,,-5000000.0,-5000000.0,,13600000.0,,-13600000.0,,900000.0,-0.155,,,24300000.0,,,,221000000.0,,,,,6700000.0,,,,,274200000.0,,,,36700000.0,,,274200000.0,,,,13600000.0,-19000000.0,,,,-2200000.0,,-15800000.0,,,,,,,0.0,,,6700000.0,,6900000.0,100000.0,-0.155,19500000.0,-21200000.0,,,,202600000.0,,-5000000.0,,0.0,,298500000.0,320700000.0,-2600000.0,,,,-16700000.0,,,,,6900000.0,,,,,6900000.0,,27900000.0,2100000.0,,,,,,,,,,,,,,
828230400,58200000.0,,,-0.0875,,,,,,,,,,,,,,58200000.0,,,,,,,,,,,,,,,,,,,,,58200000.0,,,,,,,10285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,-900000.0,,,,,10285714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0875,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,58200000.0,,,-0.02,,,,,,,,,,,,,,58200000.0,,,,,,,,,,,,,,,,,,,,,58200000.0,,,,,,,45000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,-900000.0,,,,,45000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,58200000.0,,,0.0275,,,,,,,,,,,,,,58200000.0,,,,,,,,,,,,,,,,,,,,,58200000.0,,,,,,,15813953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,-900000.0,,,,,15813953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0275,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,-156400000.0,,257700000.0,,,,41200000.0,,,,,,,,,33200000.0,,78000000.0,-2600000.0,,57500000.0,-83700000.0,22700000.0,,138284000.0,,157400000.0,,,,,,,25600000.0,-3500000.0,,,-9900000.0,-156400000.0,,,196100000.0,,,,,,-68100000.0,257700000.0,-39800000.0,211400000.0,,196100000.0,-135300000.0,,61600000.0,,,157400000.0,,,,,264600000.0,-39800000.0,,,196200000.0,6900000.0,,138284000.0,201200000.0,-9900000.0,1500000.0,522300000.0,,11200000.0,364900000.0,1500000.0,,,13800000.0,-100000.0,,,,,,,8600000.0,,264600000.0,-83100000.0,,-100000.0,7200000.0,,65900000.0,,-52300000.0,,19400000.0,-0.07,,-7000000.0,25600000.0,,,,196200000.0,,,,,9200000.0,,,,,339300000.0,,,,61600000.0,,,339300000.0,,,,65900000.0,-51600000.0,,,,51400000.0,,37600000.0,,,,,,,-100000.0,,,9200000.0,,57500000.0,252600000.0,-0.07,-1000000.0,50600000.0,,,,185400000.0,,-100000.0,,0.0,,364900000.0,522300000.0,1900000.0,,,,18200000.0,,,,,57500000.0,,,,,57500000.0,,41200000.0,11200000.0,,,,,,,,,,,,,,
859766400,18900000.0,,263500000.0,0.075,,29900000.0,44300000.0,15300000.0,,2500000.0,,402400000.0,,,,,,98100000.0,,,,,,,,19400000.0,,-46300000.0,,,0.0,,,,,,,,24600000.0,,,,,,,194666667.0,,,,-25200000.0,,,179900000.0,,17300000.0,83600000.0,,,137000000.0,11000000.0,0.0,,,279300000.0,,,5300000.0,,,,,,,1000000.0,,,,,,,,,0.0,,-100000.0,,,,,,,,,,14600000.0,14600000.0,800000.0,46500000.0,,,194666667.0,,,38000000.0,,25400000.0,-22000000.0,-1000000.0,-46300000.0,177400000.0,2500000.0,,,,10300000.0,,2700000.0,,,380400000.0,,,,,68200000.0,,,,,200000.0,,,,,-9300000.0,,0.075,,,,,-8300000.0,,57500000.0,,,,,,,,,,,,,,,,14600000.0,,,,405800000.0,542800000.0,,,,,,,,,5700000.0,48200000.0,,,,2400000.0,48200000.0,,,29000000.0,,,,,,,,,,,,,,
