,timestamp,annualOtherNonCashItems,quarterlyInterestExpense,annualPurchaseOfBusiness,annualStockholdersEquity,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,trailingDepreciationAndAmortization,annualIncomeTaxPayable,annualDepreciationAndAmortization,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,quarterlyInventory,annualDilutedAverageShares,quarterlyOtherIncomeExpense,annualChangeInInventory,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,annualDilutedEPS,trailingPretaxIncome,annualGoodwill,trailingNetIncome,quarterlyNetPPE,quarterlyPretaxIncome,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualGrossProfit,annualCurrentLiabilities,annualInventory,quarterlyTaxProvision,trailingChangeInInventory,annualBasicAverageShares,quarterlyDilutedEPS,annualEbitda,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualNetPPE,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalNonCurrentAssets,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,trailingGrossProfit,trailingTotalRevenue,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualPretaxIncome,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,annualInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyEndCashPosition,annualOperatingExpense,annualCurrentAccruedExpenses,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,annualCapitalExpenditure,annualCashAndCashEquivalents,trailingSellingGeneralAndAdministration,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualCurrentAssets,trailingResearchAndDevelopment,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualInterestExpense,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,trailingOperatingExpense,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualDeferredIncomeTax,quarterlyRetainedEarnings,annualNetIncomeCommonStockholders,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualCommonStockIssuance,annualRetainedEarnings,annualFreeCashFlow,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyGoodwill,annualNetIncome,trailingNetIncomeCommonStockholders,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualCashDividendsPaid,annualCostOfRevenue,annualLongTermDebt,quarterlyRepaymentOfDebt,annualTaxProvision,annualCurrentDebt,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,trailingTaxProvision,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingDeferredIncomeTax,trailingStockBasedCompensation,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,796608000,,,,,,,,,,,,,,,,,,,,,106900000.0,106900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,763571429.0,106900000.0,,,,,,,,,,,,,,,,,778600000.0,,778600000.0,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,778600000.0,,,,,,,,,,,,,763571429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,804470400,,,,,,,,,,,,,,,,,,,,,122600000.0,122600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,766250000.0,122600000.0,,,,,,,,,,,,,,,,,878500000.0,,878500000.0,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,878500000.0,,,,,,,,,,,,,766250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,812419200,,,,,,,,,,,,,,,,,,,,,129000000.0,129000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,758823529.0,129000000.0,,,,,,,,,,,,,,,,,922600000.0,,922600000.0,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,922600000.0,,,,,,,,,,,,,758823529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,820368000,23200000.0,,,2661700000.0,,,492800000.0,,,,,392400000.0,,,,450600000.0,783882474.0,,-91400000.0,-999100000.0,168000000.0,168000000.0,,8400000.0,,-1881000000.0,,,481000000.0,,,,,0.671667,,,,2299500000.0,,13400000.0,,1850800000.0,1481700000.0,450600000.0,,,783882474.0,,997400000.0,825100000.0,,2299500000.0,,,132500000.0,,13400000.0,296800000.0,754000000.0,2321300000.0,481000000.0,2800000.0,3554400000.0,,,,,,,0.0,472200000.0,4486000000.0,,168000000.0,,634800000.0,,,,605000000.0,4180500000.0,507900000.0,,,,754000000.0,46100000.0,,,754000000.0,-1974700000.0,,974700000.0,,507900000.0,,,,,,1245800000.0,,,1814800000.0,-1001900000.0,754000000.0,,,526500000.0,2164700000.0,,,,,,4180500000.0,1481700000.0,16900000.0,,,,100000.0,-1881000000.0,,,-1974700000.0,,584000000.0,526500000.0,,,333100000.0,,,,-117000000.0,8400000.0,2661700000.0,,0.671667,,333100000.0,1814800000.0,,,,584000000.0,-176800000.0,2164700000.0,,,,,526500000.0,,200600000.0,,132500000.0,,457200000.0,,1703600000.0,200600000.0,,108300000.0,492800000.0,4486000000.0,853400000.0,364700000.0,,2321300000.0,364700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,828230400,,,,,,,,,,,,,,,,,,,,,175000000.0,175000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,833333333.0,175000000.0,,,,,,,,,,,,,,,,,1027700000.0,,1027700000.0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,1027700000.0,,,,,,,,,,,,,833333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,836092800,,1600000.0,,,,,319600000.0,136000000.0,,,,,,,,548800000.0,,-1900000.0,,,176100000.0,176100000.0,,7000000.0,,-2100200000.0,,,373800000.0,,,,,,,,,2801000000.0,223000000.0,,,,,,46900000.0,,,0.2115,,,,,5000000.0,,,,19100000.0,,,2827100000.0,,,,,,,,,,,,4903700000.0,833033033.0,176100000.0,,,,,69500000.0,,,,,1071000000.0,,461500000.0,,,,466500000.0,224000000.0,,1047400000.0,,690200000.0,,,,0.2115,,,,465300000.0,1889400000.0,,,,,,,,,,,,4901200000.0,1559300000.0,,,,,,,,,224000000.0,,935200000.0,,,,,,,,,,3004500000.0,833033033.0,,175700000.0,330100000.0,,682700000.0,582100000.0,,,,2076600000.0,,,241300000.0,,,,198100000.0,,132000000.0,103100000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,844041600,,3200000.0,,,,,423500000.0,134500000.0,,,,,,,,573600000.0,,6700000.0,,,132400000.0,132400000.0,0.0,6500000.0,,-2231900000.0,,,383800000.0,,,,,,,,,2900700000.0,164500000.0,,,,,,32100000.0,,,0.1582,,,,,6200000.0,0.0,,,16500000.0,,,2923700000.0,,,,,,,,,,,,5059100000.0,833633634.0,132400000.0,,,,,75600000.0,,,,,1071800000.0,0.0,463400000.0,,,,469600000.0,167100000.0,,988400000.0,,586600000.0,,,,0.1582,0.0,,,399200000.0,1904000000.0,,,,,,,,,,,,5132600000.0,1594200000.0,,,0.0,,,,,,167100000.0,,1067800000.0,,,,,,,,,,3144400000.0,833633634.0,,200300000.0,309800000.0,,692400000.0,589200000.0,,,,2135400000.0,,,232100000.0,,,,172100000.0,,137700000.0,104000000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,851990400,,40008000.0,,3260020000.0,,,428245000.0,140394000.0,,,,535908000.0,,,,521402000.0,834058667.0,33237000.0,-80517000.0,-1122278000.0,142044000.0,142044000.0,980667000.0,6450000.0,,-2291150000.0,-196000.0,,318556000.0,,,645923000.0,1072933000.0,0.75,,,,2839932000.0,181882000.0,17350000.0,,1707654000.0,1401772000.0,521402000.0,39838000.0,,834058667.0,,1335330000.0,980667000.0,,2839932000.0,4508000.0,-144538000.0,138909000.0,,17350000.0,-202150000.0,556404000.0,2863732000.0,318556000.0,-5297000.0,4122360000.0,47019000.0,,,,,,551896000.0,-59030000.0,5005512000.0,,142044000.0,,797182000.0,,,47019000.0,799422000.0,5131082000.0,444166000.0,,1072933000.0,0.0,551896000.0,52337000.0,,,556404000.0,185822000.0,,1058960000.0,,444166000.0,,,,,551896000.0,908232000.0,210805000.0,401954000.0,1735591000.0,-1125205000.0,551896000.0,,,625544000.0,2141780000.0,,,,,,5131082000.0,1401772000.0,45308000.0,,-1122278000.0,4508000.0,0.0,-2291150000.0,,,185822000.0,,1209738000.0,625544000.0,,,333819000.0,,,532294000.0,-179154000.0,6450000.0,3260020000.0,,0.75,210805000.0,333819000.0,1735591000.0,645923000.0,657006000.0,16671000.0,1209738000.0,-144538000.0,2141780000.0,,,216132000.0,,625544000.0,,194910000.0,,138909000.0,107812000.0,754046000.0,,2414706000.0,194910000.0,,171638000.0,428245000.0,5005512000.0,421012000.0,0.0,,2863732000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,859766400,,700000.0,,,,,327500000.0,142200000.0,,,,,,,,517900000.0,,-2400000.0,,,90500000.0,90500000.0,0.0,5500000.0,,-2291150000.0,,,336400000.0,,,,,,,,,2753300000.0,114000000.0,,,,,,23500000.0,,,0.1082,,,,,4200000.0,0.0,,,17400000.0,,,2776200000.0,,,,,,,,,,,,4918600000.0,834835000.0,90500000.0,,,,,-73800000.0,,,,,1073500000.0,0.0,538700000.0,,,,542900000.0,113500000.0,,944900000.0,,470500000.0,,,,0.1082,0.0,,,361100000.0,1679400000.0,,,,,,,,,,,,5044450000.0,1362200000.0,,,0.0,,,,,,113500000.0,,1300200000.0,,,,,,,,,,3230500000.0,834835000.0,,227800000.0,317200000.0,,674700000.0,583800000.0,,,,2142400000.0,,,247600000.0,,,,186100000.0,,131100000.0,103000000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
