date,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,trailingNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyTotalRevenue,annualNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualOperatingExpense,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingResearchAndDevelopment,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangesInAccountReceivables,annualChangeInAccountPayable,annualDeferredIncomeTax,trailingBeginningCashPosition,trailingFreeCashFlow,annualInterestExpense,quarterlyCurrentAssets,trailingChangesInAccountReceivables,annualOtherShortTermInvestments,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,annualAccumulatedDepreciation,quarterlyStockBasedCompensation,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualCommonStockIssuance,annualFreeCashFlow,annualNetIncome,quarterlyDilutedAverageShares,annualRetainedEarnings,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,annualBasicEPS,quarterlyLongTermDebt,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualCostOfRevenue,annualBeginningCashPosition,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCashDividendsPaid,quarterlyNetIncomeContinuousOperations,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalAssets,trailingTaxProvision,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualOtherNonCashItems,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,annualStockholdersEquity,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,trailingStockBasedCompensation,trailingPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualSaleOfInvestment,quarterlyOtherIncomeExpense,annualStockBasedCompensation,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,annualDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,trailingOperatingCashFlow,annualOperatingCashFlow,annualAccountsReceivable,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,trailingNetIncome,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualGrossProfit,quarterlyNetPPE,annualCurrentLiabilities,quarterlyResearchAndDevelopment,annualNetPPE,annualEbitda,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,annualGoodwill,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,trailingGrossProfit,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,annualDilutedAverageShares,trailingOperatingIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingDeferredIncomeTax,trailingOtherIncomeExpense,trailingInvestingCashFlow,trailingTotalRevenue,annualInvestingCashFlow,annualPretaxIncome,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyBeginningCashPosition,annualOperatingIncome,annualGrossPPE,trailingPurchaseOfInvestment,quarterlyCapitalStock,trailingCapitalExpenditure,quarterlyBasicAverageShares,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyInventory,annualInventory,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingOtherNonCashItems,trailingDilutedEPS,trailingBasicEPS,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualChangeInInventory,quarterlyCashDividendsPaid,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingDilutedAverageShares
2000-12-31,-23977000.0,88908000.0,,815000000.0,,,,,,-753000000.0,,,,,,,,36243000.0,,12768000000.0,,6453000.0,10395000000.0,6817000.0,,7098000000.0,94154000.0,,,,24503000000.0,7922000000.0,,,-1696000000.0,,,,,,,,,,,23163000000.0,,,,1839000000.0,-705000000.0,1881000000.0,,,,-26173000.0,,103890000.0,,,,,,-23977000.0,,,,,-0.37875,,,1847000000.0,1950000.0,,,,,,,,,-7088000.0,117890000.0,1305000000.0,,29055000.0,,,,,,,,14000000.0,,,1045000000.0,1729000000.0,-81000000.0,,,,,,5405000000.0,,,,,-0.37875,,,,8649000000.0,,,,,69103630.0,88908000.0,,1881000000.0,,,,4503000.0,,9736000.0,,,-31740000.0,,,,94154000.0,,,,,,,3447000000.0,,,26672000000.0,2922000000.0,,,,,69103630.0,3509000000.0,,,-109000000.0,-524000000.0,-10518000000.0,33770000000.0,,-31065000.0,,,1682000000.0,3416000000.0,26050000000.0,,,,675000.0,2400000000.0,,,-31740000.0,,-14203000000.0,,-727000000.0,,,,,,,,,,,,,,,,,,,,
2001-12-31,-15261000.0,,,,,,,,,,,,,,,,,55696000.0,,,,43984000.0,,7759000.0,,,108470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29577000.0,,121432000.0,,,,,,-15261000.0,,,,,-0.4075,,,,7940000.0,,,,,,,,,-2342000.0,108925000.0,,,46980000.0,,,,,,,,-12507000.0,,,,,,,,,,,,,,,,-0.4075,,,,,,,,,72581595.0,,,,,,,36044000.0,,12962000.0,,,-19652000.0,,,,108470000.0,,,,,,,,,,,,,,,,72581595.0,,,,,,,,,-17603000.0,,,,,,,,,2049000.0,,,,-19652000.0,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,14195210.1936,38935725.77184,,,,,,,899065.71264,,,,,,,,-13204473.02304,63112975.95264,,,,100060497.30432,,13366499.88288,,,124977302.87424,,,,,,41266.2288,,,,,,,,,,,,,,4858280.9808,8535644.18112,59518103.81952,,,,,,,-19063573.87584,,138072381.07008,,,,,10225125.8064,14195210.1936,,-41803815.59328,,,-0.124171,,0.0,,13674634.85472,42468561.97344,,,,-27327233.46048,,,,10043811.02016,97266380.40576,,,48478025.87136,,37748276.58624,,,,,,-41634057.00672,,,,,,,3587049.34752,,,,,,,,,-0.124171,,,1146141.5664,,23429598.82944,13971056.34336,,,152331168.0,38935725.77184,,,10503227.904,,,86385862.4496,,13095078.19584,,18709404.50112,26859935.84448,,,,0.0,-5600659.1952,12093604.35552,,,,,,-3532836.2016,,,,,,-976382.97984,,152331168.0,,,1001473.84032,,,,,3427298.95968,24239021.21376,38935725.77184,-30428640.96672,,,,,,,-298043.99232,,,,23272886.49696,18709404.50112,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,,,,,,43294219.53285,43294219.53285,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43294219.53285,,,,,,,,,,,,0.007761,,,,,,,,,,,114844368.0,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,,,,,84847664.0,,,,,,,,,,,,,,,,,,,
2003-06-30,,,,,,,43294219.53285,43294219.53285,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43294219.53285,,,,,,,,,,,,0.007761,,,,,,,,,,,114844368.0,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,,,,,84847664.0,,,,,,,,,,,,,,,,,,,
2003-09-30,,,,,,,43294219.53285,43294219.53285,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43294219.53285,,,,,,,,,,,,0.007761,,,,,,,,,,,114844368.0,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,,,,,84847664.0,,,,,,,,,,,,,,,,,,,
2003-12-31,53822941.8952,472051536.8574,,,,,-71797255.8776,43294202.97655,0.0,,,,-37083868.62135,,,,-9379822.7583,89432910.7435,,,63928443.8388,173176861.5751,,20687444.5323,,,0.0,,,51846.05345,,,,509281638.9985,,,33507658.15245,63928443.8388,-10454152.78715,,,-71797255.8776,-10224326.5087,,-82814504.98405,,13628285.2324,13504642.784,509281638.9985,,,,492810488.0494,,,3283337.80005,,63928443.8388,,28944766.7069,,452488248.5388,64775811.8291,53822941.8952,,-10454152.78715,,,0.038757,,0.0,,25658548.11065,38937942.43315,,0.0,,,13455735.4738,,,10251197.3836,557302682.18135,,0.0,68357237.5325,0.0,48021043.18285,,,,,,492810488.0494,,,,,,,5521385.32145,,,,,13455735.4738,,,-10224326.5087,0.028755,13504642.784,,2498925.1405,,74155634.5874,28944766.7069,,,84847656.0,472051536.8574,,,11233068.7551,,,147518313.46445,23283331.64375,63928443.8388,,23283331.64375,63606788.0424,49231813.68,,,0.0,-2810763.051,49231813.68,,,557302682.18135,11233068.7551,,433113594.42425,48021043.18285,,,,,2112004.4095,472051536.8574,114844360.0,,472051536.8574,14696630.1588,,,,,-12190585.8093,63580124.12125,472051536.8574,369673743.55475,,,,,14696630.1588,2112004.4095,5667618.8412,,,,58085402.72095,33507658.15245,,2498925.1405,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,,,,,,29202788.36425,67994513.83395,,,0.0,58273954.1435,21729680.1736,0.0,,,,,,,59771198.29955,,,,,,,,,,,,,518442339.1263,,,39287412.81355,59771198.29955,11275899.9032,,,29326033.46145,,,,,,,,,,,515788620.85895,0.082782,9720559.69045,,,,,37401327.3957,,,,,257281552.0,,29071165.77925,,,,,,,,21858355.7372,0.0,,,21729680.1736,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,-199503.415,,,21729680.1736,,,-10224326.5087,,17529322.02915,,,,,,0.0,,,,4345854.90885,,,,26096155.9541,,29063086.30485,,7089573.223,,,39674937.8495,0.0,,,,,,,576144173.767,11109426.3067,,,57701834.6407,,,,,,472623002.38635,,,472623002.38635,,,,,,,,,,,,,,20096260.45005,1248047.0066,,,0.087955,0.0,,,,2527120.5194,,243694432.0,,,,,,,,,,,,,,,,,,,
2004-06-30,,,,,,,40872140.4588,85193579.06885,,,0.0,74168606.44845,31442748.1383,0.0,,,,,,,61704585.0665,,,,,,,,,,,,,550039963.17295,,,38895740.42445,61704585.0665,42719210.9557,,,40995385.556,,,,,,,,,,,549331585.32115,0.118998,11024972.6204,,,,,40952206.7256,,,,,257967920.0,,33296465.98965,,,,,,,,24878357.3076,0.0,,,31442748.1383,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,392607.82005,,,31442748.1383,,,-10224326.5087,,21914820.99835,,,,,,0.0,,,,6236286.35545,,,,37671393.7613,,28671413.91575,,8294863.58485,,,38885905.98225,0.0,,,,,,,611612909.09815,10986711.0111,,,61572945.9252,,,,,,500895583.31325,,,500895583.31325,,,,,,,,,,,,,,22818679.08425,1600000.832,,,0.129346,0.0,,,,2538759.5983,,244755184.0,,,,,,,,,,,,,,,,,,,
2004-09-30,,,,,,,46663517.6425,96197500.3538,,,-10007248.58125,83928628.07995,38354059.6792,558292003.88785,,,,,,,87317893.0874,,,,,,,,,,,,,612027412.62495,,,40084457.93,87317893.0874,81072202.75355,,,46910007.8369,,,,,,,,,,,590565240.8686,0.155215,12268872.27385,,,,,37591608.9516,,,,,255379248.0,,37265110.43745,,,,,,,,27937473.13675,0.0,,,38354059.6792,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,3089554.5867,,,38354059.6792,,,-10224326.5087,,25721809.73295,,,,,,103989905.0681,,,,7201932.55295,,,,45568930.9806,,29860131.4213,,9574119.21695,,,62330959.5644,92172316.1415,,,,,,,678472811.41495,10863457.63575,,,66445398.79,,,,,,558292003.88785,,,558292003.88785,,,,,,,,,,,,,,24986933.523,2225166.72,,,0.155215,0.0,,,,2563933.45245,,244623632.0,,,,,,,,,,,,,,,,,,,
