,annualOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,quarterlyChangeInInventory,annualRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,annualDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyCapitalStock,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,annualGrossPPE,trailingRepaymentOfDebt,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualStockBasedCompensation,annualInvestingCashFlow,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyAccumulatedDepreciation,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,annualBasicAverageShares,annualTotalRevenue,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,annualDeferredIncomeTax,trailingFreeCashFlow,annualInterestExpense,quarterlyGrossPPE,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyCurrentLiabilities,trailingNetIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyTaxProvision,annualGrossProfit,annualInventory,quarterlyPretaxIncome,annualAccumulatedDepreciation,quarterlyNetPPE,trailingChangeInInventory,quarterlyStockBasedCompensation,trailingOperatingExpense,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualFreeCashFlow,annualCommonStockIssuance,annualGoodwill,quarterlyTotalAssets,quarterlyDilutedAverageShares,trailingPretaxIncome,annualBasicEPS,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,annualNetIncome,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingOperatingIncome,annualCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualTaxProvision,annualPretaxIncome,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,quarterlyInterestExpense,quarterlyCurrentDebt,annualStockholdersEquity,annualCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualDepreciationAndAmortization,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualNonCurrentDeferredRevenue,trailingInterestExpense,annualSaleOfInvestment,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,-11464357.824852,,,-71438349.132473,-153399952.089251,,,,-29174224.016974,,,,,,,,0.0,,,9893960.0,,,,,,,,,,-6416618.185551,-392098148.591766,,-763919783.71719,,,,,,-71780568.769036,,,,,,,,,,-94538174.600459,,,0.0,,,,-35163067.656822,,,,,,9893960.0,-1096471715.547038,,,,,,,,12319906.916259,,,,,,,,,,,,-163409876.458711,-138598952.807912,,-387905958.043873,,,,,,,,,,,,-383970432.223401,,,0.0,,,,,,8.450823,,-198915163.752096,-71780568.769036,,,,,-2309982.546799,,,933061839.088327,-122429074.980322,,,,,0.0,-2138872.728517,,-50220731.665583,-122001300.434619,-716351254.234968,,,,,,-128246808.801889,,,,,,-332380822.011567,-29174224.016974,,,,,,,,,,,,,,,,,,8.450823,-324253105.643202,,,-228431607.405633,,,-3935525.820472,,-155538824.817768,0.0,-12148797.097977,-376013825.673317,-93083741.145067,,,,,,,,,,,,,,,,,,,,,,,,
347068800,-19180294.770846,,,-67888148.59681,-160845278.955515,,,,-109529578.033515,,,,,,,,0.0,,,11628620.0,,,92704758.059089,,,,,,,-11188505.282993,-428444040.648765,,-814321286.762232,,,,,,-68224644.996299,,,,,,,,,,-104734504.340804,,,0.0,,,,-127532135.406151,,,,,,11628620.0,-1166296520.627229,,,,,,,,10767884.783633,,,,,,,,,,,,-241436166.633017,-151423379.769836,,-401860825.089172,,,,,,,,,,,,-438707180.833165,,,0.0,,,,,,7.350322,,-231677771.04785,-68224644.996299,,,,,-3701460.394374,,,924860353.994212,-151423379.769836,,,,,0.0,-2523722.996164,,-45763510.330439,-113988155.326738,-849316912.309038,,,,,,-113904031.226866,,,,,,-410609731.475873,-109529578.033515,,,,,,,,,,,,,,,,,,7.350322,-420872871.660273,,,-275338178.881486,,,-3196715.795141,,-163369001.951679,0.0,-12786863.180564,-412460461.67306,-79076653.879803,,,,,,,,,,,,,,,,,,,,,,,,
378604800,-17126754.859611,,,-41931020.518359,-144016603.671706,,,,-58973407.12743,,,,,,,,0.0,,,11905952.0,,,112547246.220302,,,,,,,-9280507.559395,-512705858.531317,,-920795086.393089,,,,,,-42268493.520518,,,,,,,,,,-125455588.552916,,,0.0,,,,-153634584.233261,,,,,,11905952.0,-1255821409.287257,,,,,,,,12739605.831533,,,,,,,,,,,,-215054670.62635,-174811015.11879,,-428084503.239741,,,,,,,,,,,,-484358126.349892,,,0.0,,,,,,4.270957,,-253526592.87257,-42268493.520518,,,,,-11389713.822894,,,1040766738.660907,-186875674.946004,,,,,0.0,-10883504.319654,,-15101916.846652,-57370410.367171,-926532127.429806,,,,,,-61420086.393089,,,,,,-442174001.079914,-58973407.12743,,,,,,,,,,,,,,,,,,4.270957,-413826268.898488,,,-329458018.358531,,,-6580723.542117,,-154900107.991361,0.0,-13414551.835853,-492710583.153348,-20332748.38013,,,,,,,,,,,,,,,,,,,,,,,,
410140800,-13625967.20035,,,-5677486.333479,-122471490.907911,,,,-45014355.929729,,,,,,,,0.0,,,12112618.0,,,107547812.545623,,,,,,,-5596379.385858,-533278180.608951,,-943922656.414748,,,,,,-6001914.123964,,,,,,,,,,-116631790.67919,,,0.0,,,,-150210066.994339,,,,,,12112618.0,-1107758690.609438,,,,,,,,15410320.048015,,,,,,,,,,,,-164079355.037553,-139017308.222622,,-432381137.768261,,,,,,,,,,,,-472772397.683586,,,0.0,,,,,,0.657942,,-214852304.248382,-6001914.123964,,,,,-12328256.038412,,,943679335.571885,-217691047.415122,,,,,0.0,-2352101.481013,,2595422.323876,-3406491.800088,-865167810.274628,,,,,,-13869288.043214,,,,,,-392395412.591043,-45014355.929729,,,,,,,,,,,,,,,,,,0.657942,-331889629.665677,,,-347948805.294662,,,-6083021.071585,,-124823592.388924,0.0,-15653640.890879,-511541518.646487,28792966.405502,,,,,,,,,,,,,,,,,,,,,,,,
441676800,-11808367.071525,,,-26106934.001671,-128526444.315918,,,,-56953280.637491,,,,,,,,0.0,,,12189951.0,,,101857207.120365,,,,,,,-883619.304672,-527119079.750659,,-946436604.331341,,,,,,-26428250.112461,,,,,,,,,,-119609922.241501,,,0.0,,,,-145877514.298567,,,,,,12189951.0,-1175133346.185978,,,,,,,,19278966.647388,,,,,,,,,,,,-199617633.82816,-132221579.590001,,-437471884.840306,,,,,,,,,,,,-472174024.805604,,,0.0,,,,,,2.697861,,-225081935.608251,-26428250.112461,,,,,-4659083.606452,,,975515712.357818,-206365272.154746,,,,,0.0,-5864019.021914,,-8273889.852837,-34702139.965298,-871810937.600411,,,,,,-53740119.529593,,,,,,-399636912.794808,-56953280.637491,,,,,,,,,,,,,,,,,,2.697861,-344691857.849753,,,-337783561.467772,,,-5783689.994216,,-134390463.337832,0.0,-12370670.265407,-508964719.491035,-9719812.351391,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,1.557731,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,-311932920.342907,,,,,,-311932920.342907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-311932920.342907,,,,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,,,,,,,-14626744.258807,,,,,,,,,,1.557731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,1.379617,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,-300337415.172309,,,,,,-300337415.172309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-300337415.172309,,,,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,,,,,,,-13193312.355461,,,,,,,,,,1.379617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,1.380739,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,-293474132.03677,,,,,,-293474132.03677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-293474132.03677,,,,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,,,,,,,-13446782.648332,,,,,,,,,,1.380739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,-46465090.542497,,-394081575.416708,-51088859.748194,-129844535.235395,,,-3865774.253943,-78983073.972727,,,,,,,-78983073.972727,0.0,,,12279284.0,,,101950321.010862,,,-4699568.700872,,,,-10839327.810077,-509827404.549486,,-902165591.57716,,,-78983073.972727,,,-51392057.728896,806307763.683221,,,,,,-285887162.298572,,,-121127593.290229,,,0.0,,,-411363860.31669,-142351451.93933,,,,,-129844535.235395,12279284.0,-1173982581.276009,,,,,,,,18874074.298665,-902165591.57716,-363837576.841738,,-132042720.595481,,-236342825.956779,,,,806307763.683221,,-224139107.233546,-136969687.781879,,-411363860.31669,-490801731.26047,,,,,,,,-347540685.379035,,,-479583405.974516,,,0.0,,,-873664981.391224,,,5.287491,-509827404.549486,-236342825.956779,-51392057.728896,,,-179948001.54631,,-4699568.700872,-46465090.542497,,949843474.042463,-179948001.54631,,,,-10899768.737024,0.0,-2198185.360086,,-21981853.600855,-73373911.329751,-873664981.391224,,,,,,-81787655.294216,,,,,-2198185.360086,-394081575.416708,-78983073.972727,,,,,,,,,,,-136969687.781879,,,-15159899.035072,,-479583405.974516,-121127593.290229,5.287491,-363837576.841738,,,-347540685.379035,,,-3865774.253943,,-132042720.595481,0.0,-15159899.035072,-490801731.26047,-41386524.365748,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,1.614949,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,385445117.333138,,,,,,385445117.333138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385445117.333138,,,,,,,,,,,,,,,,,,,,,,,,12189951.0,,,,,,,,,,,,,,,,,,21069668.104394,,,,,,,,,,1.614949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
