,trailingOtherIncomeExpense,quarterlyBasicAverageShares,annualNetPPE,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualEbitda,annualOtherIncomeExpense,quarterlyPretaxIncome,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualOtherNonCashItems,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingInvestingCashFlow,quarterlyOperatingCashFlow,trailingCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyDilutedEPS,annualCapitalExpenditure,annualPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingCashDividendsPaid,trailingInterestExpense,trailingPurchaseOfBusiness,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingNetIncome,trailingNetIncomeContinuousOperations,annualBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyEbitda,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualStockBasedCompensation,trailingChangesInAccountReceivables,annualGoodwill,annualRepaymentOfDebt,annualInterestExpense,annualCapitalStock,trailingChangeInWorkingCapital,annualAccountsPayable,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,quarterlyCashDividendsPaid,trailingOperatingIncome,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualDilutedEPS,annualChangeInWorkingCapital,trailingTotalRevenue,trailingCostOfRevenue,quarterlyRetainedEarnings,annualOperatingIncome,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualBasicAverageShares,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,trailingEndCashPosition,trailingTaxProvision,quarterlyNetIncomeCommonStockholders,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualCurrentDebt,quarterlyTotalAssets,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualCostOfRevenue,quarterlyNetIncome,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,trailingPretaxIncome,annualTotalAssets,annualLongTermDebt,annualOtherNonCurrentAssets,annualCurrentAssets,annualStockholdersEquity,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualDilutedAverageShares,quarterlyGoodwill,trailingRepurchaseOfCapitalStock,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,quarterlyInventory,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualChangeInInventory,annualSaleOfInvestment,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,0.0,,-11200000.0,25100000.0,,,,,,,,25100000.0,,,,,,,,,,,,,,,,,,,,,,-59600000.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0075,,,,,,,,,,,,,,,,,,,,,25100000.0,-10600000.0,,,,,,,,,,,-1200000.0,,,0.0,0.0075,,,,,25100000.0,,,,300000.0,20096000.0,,,,,,300000.0,,,,,0.0,,,,,,,,,,,,,,0.0,49000000.0,,11200000.0,1200000.0,,,,,,,,,,,9400000.0,,300000.0,20096000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,0.0,,-16700000.0,65700000.0,,,,,,,,65700000.0,,,,,,,,,,,,,,,,,,,,,,-67200000.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,65700000.0,-19800000.0,,,,,,,,,,,-8500000.0,,,0.0,0.0425,,,,,65700000.0,,,,2500000.0,29712000.0,,,,,,2500000.0,,,,,0.0,,,,,,,,,,,,,,0.0,47400000.0,,16700000.0,8500000.0,,,,,,,,,,,11300000.0,,2500000.0,29712000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,0.0,,-24300000.0,92200000.0,,,,,,,,92200000.0,,,,,,,,,,,,,,,,,,,,,,-87400000.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0675,,,,,,,,,,,,,,,,,,,,,92200000.0,-55100000.0,,,,,,,,,,,-32600000.0,,,0.0,0.0625,,,,,92200000.0,,,,4700000.0,69629630.0,,,,,,4700000.0,,,,,0.0,,,,,,,,,,,,,,0.0,32300000.0,,24300000.0,32600000.0,,,,,,,,,,,22500000.0,,4700000.0,75200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,121200000.0,,,0.0,,137800000.0,98400000.0,13200000.0,5400000.0,,3800000.0,,,,32100000.0,100000.0,,,,,,,,,,139100000.0,,,,,,,,,,,1900000.0,,,0.0,,,,,,,,,,,-17900000.0,,0.0,4100000.0,,,,,,,,,,,0.1075,,,,,,,,,,,,27900000.0,,,,,7800000.0,,,,170900000.0,60700000.0,500000.0,,,,,,,,,,90700000.0,6500000.0,,0.0,0.1,,,,,23300000.0,13200000.0,,,9100000.0,84651163.0,,,,,,9100000.0,,15600000.0,2100000.0,,0.0,,75100000.0,,,,,72500000.0,,66300000.0,,,,,179900000.0,54700000.0,11200000.0,42100000.0,89200000.0,,,,,,,,,,,30000000.0,14500000.0,9100000.0,84651163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,245300000.0,,,0.0,,377700000.0,161000000.0,6400000.0,71100000.0,,6700000.0,,,,58700000.0,-100000.0,,,,,,,,,,278600000.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,-33300000.0,,0.0,5800000.0,,,,,,,,,,,0.0875,,,,,,,,,,,,50300000.0,,,,,20900000.0,,,,275700000.0,288100000.0,4500000.0,,,,,,,,,,347700000.0,8300000.0,,0.0,0.0875,,,,,38800000.0,6400000.0,,,9800000.0,74720000.0,,,,,,9800000.0,,18100000.0,9300000.0,,0.0,,122200000.0,,,,,114700000.0,,102300000.0,,,,,447300000.0,282300000.0,61300000.0,69600000.0,99600000.0,,,,,,,,,,,59600000.0,24000000.0,9800000.0,74720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,110352000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,110352000.0,,,,,,,,,,,,84900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84900000.0,,,,84900000.0,,,,,,,,,,,,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,110408000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,110408000.0,,,,,,,,,,,,88800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88800000.0,,,,88800000.0,,,,,,,,,,,,,,,,,,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,110480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,110480000.0,,,,,,,,,,,,86100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86100000.0,,,,86100000.0,,,,,,,,,,,,,,,,,,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,269500000.0,,7300000.0,0.0,7300000.0,390800000.0,85900000.0,7300000.0,73700000.0,,7200000.0,,,,85900000.0,-400000.0,,,,269500000.0,,12600000.0,,,,319000000.0,,,,,,,73700000.0,47600000.0,-49500000.0,,0.0,,,0.0,,,,,,,,,319000000.0,,-49500000.0,,0.0,14700000.0,,,,,,,,,,,0.1325,,,64200000.0,,,,,,-200200000.0,,,64200000.0,,,,,29200000.0,,,,349400000.0,298100000.0,1000000.0,,,,98900000.0,,,76800000.0,,,374900000.0,15100000.0,298100000.0,0.0,0.1325,,,,39100000.0,59600000.0,7300000.0,89600000.0,,14900000.0,112452830.0,-200200000.0,,,,,14900000.0,374900000.0,30000000.0,12600000.0,489700000.0,0.0,390800000.0,26300000.0,,,,,263500000.0,,,0.0,3800000.0,1000000.0,,489700000.0,283400000.0,47600000.0,98900000.0,114800000.0,,,,,,,,,114800000.0,,76800000.0,39100000.0,14900000.0,112452830.0,,,,,,14700000.0,283400000.0,,,,,7200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
