date,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingCostOfRevenue,annualCurrentDebt,trailingTotalRevenue,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualDilutedAverageShares,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,trailingOperatingIncome,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,quarterlyStockBasedCompensation,annualCommonStockIssuance,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingTaxProvision,quarterlyEbitda,quarterlyDepreciationAndAmortization,annualNetOtherFinancingCharges,trailingEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyRetainedEarnings,annualOtherNonCurrentAssets,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyOperatingIncome,annualDilutedEPS,trailingNetIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,trailingFreeCashFlow,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualBasicAverageShares,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,quarterlyLongTermDebt,annualCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,annualStockholdersEquity,annualOtherNonCashItems,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,quarterlyNetIncome,quarterlyStockholdersEquity,annualRetainedEarnings,annualTotalAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyRepaymentOfDebt,annualInventory,quarterlyAccumulatedDepreciation,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,trailingOtherIncomeExpense,quarterlyOperatingExpense,annualNetPPE,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyCurrentDebt,annualCurrentLiabilities,annualStockBasedCompensation,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyBasicEPS,quarterlyNetOtherFinancingCharges,quarterlyBasicAverageShares,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyPretaxIncome,annualEbitda,quarterlyCommonStockIssuance,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualChangeInInventory,trailingCashDividendsPaid,annualPretaxIncome,annualInterestExpense,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,trailingBeginningCashPosition,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,trailingCapitalExpenditure,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualGoodwill,quarterlyRepurchaseOfCapitalStock,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyCapitalStock,quarterlyAccountsPayable,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualOperatingIncome,trailingGrossProfit,annualOtherCurrentLiabilities,trailingDeferredIncomeTax,annualChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,annualCapitalExpenditure,annualBasicEPS,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,trailingInterestExpense,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
1979-12-31,0.0,,3592894000.0,4800000.0,4830998000.0,747700000.0,562300000.0,2000000.0,138695652.0,,,,852819000.0,,151600000.0,,,,,0.0,,,141408000.0,,,,91102000.0,,,,,,,-11976000.0,,,9000000.0,63800000.0,82600000.0,,,359129000.0,,385285000.0,604187000.0,,,31000000.0,,0.46,600591000.0,,,,745595000.0,237500000.0,,478532000.0,63800000.0,,,,138695652.0,,0.0,96500000.0,,211300000.0,,,63800000.0,44200000.0,,,,-74709000.0,305400000.0,,,,,,600591000.0,,,288300000.0,542900000.0,,,36800000.0,,,,71300000.0,,906275000.0,,,,,,,,23798000.0,,322600000.0,0.0,,331600000.0,185400000.0,,85900000.0,,,,,-434592000.0,,,,50500000.0,,,,,141200000.0,,4600000.0,45391000.0,,,31000000.0,,,-159860000.0,100600000.0,9600000.0,,,,43069000.0,,,-427743000.0,580800000.0,,,48033000.0,,-423650000.0,,-258200000.0,,,-791923000.0,-160139000.0,,,,,7400000.0,,102800000.0,1238104000.0,81100000.0,50092000.0,,,,0.46,0.0,,28380000.0,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,0.0,,,3200000.0,,754000000.0,546400000.0,1900000.0,139800000.0,,,,,,155500000.0,,,,,0.0,,,,,,,,,,,,,,,,,9300000.0,69900000.0,97100000.0,,,,,,,,,41700000.0,,0.5,,,,,,242200000.0,,,69900000.0,,,,139800000.0,,0.0,94300000.0,,232400000.0,,,69900000.0,50200000.0,,,,,350500000.0,,,,,,,,,335200000.0,592700000.0,,,42700000.0,,,,81000000.0,,,,,,,,,,,,351000000.0,0.0,,360300000.0,207600000.0,,86700000.0,,,,,,,,,54800000.0,,,,,157400000.0,,6400000.0,,,,41700000.0,,,,112600000.0,9400000.0,,,,,,,,643100000.0,,,,,,,-292100000.0,,,,,,,,,11500000.0,,110500000.0,,83500000.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,0.0,,,3900000.0,,783300000.0,550700000.0,2200000.0,139642857.0,,,,,,174200000.0,,,,,0.0,,,,,,,,,,,,,,,,,18800000.0,78200000.0,114000000.0,,,,,,,,,24800000.0,,0.56,,,,,,270500000.0,,,78200000.0,,,,139642857.0,,0.0,99400000.0,,251900000.0,,,78200000.0,60500000.0,,,,,405000000.0,,,,,,,,,388200000.0,675500000.0,,,53800000.0,,,,116500000.0,,,,,,,,,,,,404800000.0,0.0,,423600000.0,232600000.0,,96300000.0,,,,,,,,,67500000.0,,,,,172100000.0,,7300000.0,,,,24800000.0,,,,132000000.0,9800000.0,,,,,,,,731400000.0,,,,,,,-326600000.0,,,,,,,,,23400000.0,,118600000.0,,92400000.0,,,,,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,0.0,,,26200000.0,,719400000.0,521500000.0,3600000.0,140256410.0,,,,,,177700000.0,,,,,0.0,,,,,,,,,,,,,,,,,19600000.0,54700000.0,120100000.0,,,,,,,,,6500000.0,,0.39,,,,,,280400000.0,,,54700000.0,,,,140256410.0,,0.0,95100000.0,,229200000.0,,,54700000.0,61100000.0,,,,,429900000.0,,,,,,,,,414900000.0,710300000.0,,,28000000.0,,,,124800000.0,,,,,,,,,,,,461500000.0,0.0,,481100000.0,197900000.0,,102700000.0,,,,,,,,,76300000.0,,,,,136800000.0,,6300000.0,,,,6500000.0,,,,82700000.0,8500000.0,,,,,,,,833400000.0,,,,,,,-371900000.0,,,,,,,,,13300000.0,,77800000.0,,76500000.0,,,,,0.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,0.0,,,3600000.0,,820500000.0,611700000.0,3100000.0,138974359.0,,,,,,177700000.0,,,,,0.0,,,,,,,,,,,,,,,,,22900000.0,54200000.0,132600000.0,,,,,,,,,22600000.0,,0.39,,,,,,274600000.0,,,54200000.0,,,,138974359.0,,0.0,85000000.0,,255600000.0,,,54200000.0,65900000.0,,,,,460100000.0,,,,,,,,,441000000.0,734700000.0,,,27900000.0,,,,97800000.0,,,,,,,,,,,,456200000.0,0.0,,479100000.0,208800000.0,,96900000.0,,,,,,,,,86300000.0,,,,,142900000.0,,6400000.0,,,,22600000.0,,,,82100000.0,8900000.0,,,,,,,,878800000.0,,,,,,,-422600000.0,,,,,,,,,14700000.0,,76200000.0,,93300000.0,,,,,0.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,202400000.0,,,,,,,,,,,,,,,,0.05,,,,,,,,,202400000.0,,,,,,,,202400000.0,,,,,,,,,,,,,,,,,,,,,,,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,138571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,259200000.0,,,,,,,,,,,,,,,,0.18,,,,,,,,,259200000.0,,,,,,,,259200000.0,,,,,,,,,,,,,,,,,,,,,,,,25600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,138571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,266900000.0,,,,,,,,,,,,,,,,0.21,,,,,,,,,266900000.0,,,,,,,,266900000.0,,,,,,,,,,,,,,,,,,,,,,,,28700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,138823000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138823000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,0.0,,,5000000.0,,982900000.0,701800000.0,4700000.0,140000000.0,,,,,,174600000.0,,,,,0.0,,,,-596900000.0,,,,,,,299900000.0,,,,,491200000.0,19600000.0,78400000.0,149600000.0,,,,,,,,,93400000.0,-596900000.0,0.56,,346300000.0,125300000.0,925800000.0,,299900000.0,254500000.0,,78400000.0,4700000.0,,8100000.0,140000000.0,,0.0,78500000.0,78500000.0,346300000.0,,,78400000.0,73300000.0,,174600000.0,,,511500000.0,,,,17400000.0,,,,511500000.0,491200000.0,811400000.0,,,49200000.0,,,,114700000.0,-480300000.0,,,445500000.0,93400000.0,,114700000.0,88000000.0,,,,445500000.0,0.0,93400000.0,465100000.0,281100000.0,5000000.0,125300000.0,,,,,,,,,88000000.0,19600000.0,,,,207800000.0,,8100000.0,,,,93400000.0,,,,127600000.0,8100000.0,,,811400000.0,,120300000.0,,,925800000.0,,,,465100000.0,,,-480300000.0,,,,,,,,,4200000.0,,131500000.0,,120300000.0,,,,,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,203500000.0,,,,,,,,,,,,,,,,0.04,,,,,,,,,203500000.0,,,,,,,,203500000.0,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,138955000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138955000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
