,annualEndCashPosition,annualTaxProvision,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyEndCashPosition,trailingTaxProvision,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,trailingEndCashPosition,trailingNetOtherFinancingCharges,quarterlyCashDividendsPaid,annualCurrentAccruedExpenses,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,trailingOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualCurrentDeferredRevenue,annualDilutedEPS,annualCostOfRevenue,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,annualOperatingIncome,quarterlyPurchaseOfInvestment,annualBasicAverageShares,annualAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingTotalRevenue,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,quarterlyTotalAssets,annualPretaxIncome,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,annualTotalAssets,quarterlyGoodwill,quarterlyChangesInAccountReceivables,quarterlyAccountsReceivable,quarterlyDilutedEPS,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyFreeCashFlow,annualAccountsReceivable,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualBasicEPS,quarterlyOtherNonCurrentAssets,trailingRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualNetPPE,trailingNetOtherInvestingChanges,annualOperatingCashFlow,annualCurrentAssets,annualOtherNonCurrentAssets,annualEbitda,annualCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,annualStockBasedCompensation,quarterlyAccumulatedDepreciation,trailingCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingGrossProfit,quarterlyCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,quarterlyOperatingExpense,annualCapitalStock,trailingOtherNonCashItems,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,annualStockholdersEquity,trailingSaleOfInvestment,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyStockholdersEquity,quarterlyNetIncome,annualInvestingCashFlow,annualIncomeTaxPayable,annualDepreciationAndAmortization,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCurrentDebt,trailingInvestingCashFlow,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualLongTermDebt,annualOtherNonCashItems,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingRepaymentOfDebt,trailingInterestExpense,trailingChangesInAccountReceivables,annualNetIncome,annualGoodwill,trailingNetIncome,trailingBeginningCashPosition,annualInterestExpense,quarterlyOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOperatingCashFlow,annualCapitalExpenditure,trailingDeferredIncomeTax,annualOperatingExpense,annualBeginningCashPosition,annualRepaymentOfDebt,annualPurchaseOfInvestment,trailingSellingGeneralAndAdministration,trailingChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,annualDilutedAverageShares,annualAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualDeferredIncomeTax,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyBasicEPS,annualChangesInAccountReceivables,quarterlyNetPPE,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyTaxProvision,trailingNetIncomeContinuousOperations,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualChangeInInventory,trailingCashDividendsPaid,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualCashDividendsPaid,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,quarterlyInvestmentsAndAdvances,annualInventory,quarterlyInventory,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,24049000.0,103184000.0,,,35171000.0,,,,12798000.0,,,,,,154963000.0,24049000.0,,-8699000.0,802195000.0,,0.834868,357191000.0,,,215580000.0,107576000.0,,,,271767000.0,,173216650.0,78234000.0,,,8525000.0,,,258147000.0,-515756000.0,,830041000.0,,,,,,-6003000.0,,,,,,62085000.0,,,,,86488000.0,-204770000.0,,22872000.0,0.868127,,,141160000.0,,52399000.0,28350000.0,150374000.0,1677963000.0,355426000.0,85436000.0,,248521000.0,182583000.0,12936000.0,346834000.0,-212591000.0,,,8244000.0,,,,,,,,,-50658000.0,,100000.0,,,,,,,-1203348000.0,,,,,,-110831000.0,,65759000.0,,,647458000.0,,,244550000.0,,403159000.0,5468000.0,,9308000.0,,,,150374000.0,339891000.0,,,22928000.0,,-75103000.0,,232843000.0,,-32941000.0,,173237000.0,99152000.0,-136008000.0,-44101000.0,,,,,,,,,,445004000.0,,180117150.0,-159114000.0,,,,-5698000.0,,2033389000.0,,,,,,,,,,10798000.0,,3908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,,10415000.0,41026000.0,,25898000.0,,93176000.0,,28674000.0,,,,,,,,,,,,,,,,,21194000.0,15948000.0,,,-29000.0,,,,,,,,,,-984000.0,,,-20351000.0,,0.228111,,,,41026000.0,93310000.0,,,,,179850850.0,122308000.0,80098000.0,,,,,,,,,,,,,,,,,,,,,,172796400.0,-1250000.0,,,,,,,,-9766000.0,,,44622000.0,,,-458000.0,,,13684000.0,,,,6326000.0,,,41026000.0,,,,,,,,,,,,,24049000.0,,,,,,,,,,,,1849000.0,,89864000.0,,,,,,,,,,,567000.0,35778000.0,-98434000.0,0.0,77686000.0,,-191023000.0,,,,,,,,,215618000.0,,2052000.0,1331000.0,,,70902000.0,,,,0.237424,,,,,29876000.0,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,,-108817000.0,39923000.0,,50835000.0,,95125000.0,,30354000.0,,,,,,,,,,,,,,,,,263000.0,15413000.0,,,-49000.0,,,,,,,,,,-100946000.0,,,15414000.0,,,,,,39923000.0,97368000.0,,,,,,124704000.0,44021000.0,,,,,,,,,,,,,,,,,,,,,,,-16337000.0,,,,,,,,-8044000.0,,,45767000.0,,,775000.0,,,3348000.0,,,,7847000.0,,,39923000.0,,,,,,,,,,,,,25898000.0,,,,,,,,,,,,24937000.0,,52065000.0,,,,,,,,,,,-567000.0,-9618000.0,81675000.0,-41000.0,78937000.0,,-46122000.0,,,,,,,,,222072000.0,,2569000.0,2089000.0,,,71865000.0,,,,,,,,,31942000.0,,,,,,,,,,,,,,,,,,,,,,,,
1222732800,,,-2268000.0,40840000.0,,51024000.0,,93821000.0,,32265000.0,,,,,,,,,,,,,,,,,152000.0,16095000.0,,,-78000.0,,,,,,,,,,2171000.0,,,9082000.0,,0.22,,,,40840000.0,98307000.0,,,,,189667514.0,126084000.0,47604000.0,,,,,,,,,,,,,,,,,,,,,,182267667.0,-17632000.0,,,,,,,,-4513000.0,,,48360000.0,,,2000.0,,,29551000.0,,,,8393000.0,,,40840000.0,,,,,,,,,,,,,50835000.0,,,,,,,,,,,,189000.0,,52117000.0,,,,,,,,,,,0.0,-13403000.0,-49730000.0,0.0,77724000.0,,-31600000.0,,,,,,,,,224391000.0,,2901000.0,1129000.0,,,69333000.0,,,,0.22,,,,,28493000.0,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,33185000.0,120671000.0,-29796000.0,36439000.0,219398000.0,33185000.0,,92965000.0,55581000.0,39946000.0,,,,,158228000.0,33185000.0,,-82434000.0,893550000.0,,0.821991,386897000.0,83381000.0,1433801000.0,217254000.0,131239000.0,115000.0,17416000.0,,310542000.0,-205000.0,184925950.0,83381000.0,-82434000.0,,16187000.0,16187000.0,928877000.0,278899000.0,-243495000.0,-2467000.0,928877000.0,447372000.0,-536000.0,83941000.0,,,-102226000.0,,36439000.0,97912000.0,,759950000.0,76194000.0,450356000.0,,133557000.0,45531000.0,83941000.0,-392562000.0,1938700000.0,21724000.0,0.855629,8910000.0,,112713000.0,,38299000.0,5114000.0,158228000.0,1433801000.0,504899000.0,82587000.0,,247906000.0,168927000.0,8910000.0,375087000.0,-107376000.0,,-68000.0,9881000.0,-179958000.0,,,,,,-8329000.0,,-18951000.0,57362000.0,100000.0,,-646000.0,,100000.0,8998000.0,112713000.0,-1009823000.0,,8750000.0,,-1009823000.0,36439000.0,-130466000.0,,64872000.0,,33185000.0,759950000.0,219398000.0,,262545000.0,38299000.0,450356000.0,1445000.0,51024000.0,-327000.0,,,,158228000.0,447372000.0,,,31316000.0,76194000.0,9136000.0,-17839000.0,202120000.0,53860000.0,-30652000.0,,196111000.0,24049000.0,-35287000.0,-361000.0,,,,,19895000.0,-20792000.0,-40887000.0,-18910000.0,76195000.0,506653000.0,-123817000.0,192493650.0,-179958000.0,168927000.0,504899000.0,,19895000.0,262545000.0,1938700000.0,231469000.0,,2359000.0,-3104000.0,,202120000.0,66799000.0,,5114000.0,-8035000.0,,3609000.0,82587000.0,,-243495000.0,30360000.0,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,-66921000.0,44915000.0,,45006000.0,,104553000.0,,33320000.0,,,,,,,,,,,,,66388000.0,1452947000.0,,,421000.0,17705000.0,,,-365000.0,,,-81340000.0,,,15109000.0,1020386000.0,,,-7000000.0,,487003000.0,-28219000.0,115288000.0,0.249735,,,,44915000.0,107523000.0,,816156000.0,,449121000.0,179850850.0,138228000.0,127034000.0,,,2011495000.0,,,15895000.0,,,,,,,,,,,,,,,,172796400.0,-30682000.0,,,,,,,,-8359000.0,,,51025000.0,,,-355000.0,,100000.0,171000.0,128011000.0,,,8154000.0,,-991109000.0,44915000.0,,,,,45006000.0,,189966000.0,,,49785000.0,,,33185000.0,,,,,,,,,,87058000.0,,11821000.0,,135393000.0,,,,,,,,,,,766000.0,63446000.0,-56213000.0,-51618000.0,87203000.0,,-25881000.0,,,204230000.0,558548000.0,,,,,245751000.0,15004000.0,2005000.0,959000.0,,287190000.0,78694000.0,,4779000.0,,0.25993,,87071000.0,,-225875000.0,33779000.0,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,-85762000.0,45939000.0,,45962000.0,,106115000.0,,38905000.0,,,,,,,,,,,,,,1611934000.0,,,207000.0,18182000.0,,,-33000.0,,,-79130000.0,,,24024000.0,1009335000.0,,,-78100000.0,,487219000.0,7963000.0,107151000.0,0.26,,,,45939000.0,112978000.0,,796840000.0,,528694000.0,179824479.0,144938000.0,41300000.0,,,2037824000.0,,,7872000.0,,,,,,,,,,,,,,,,172887331.0,-71977000.0,,,,,,,,-7836000.0,,,57087000.0,,,82000.0,,100000.0,487000.0,119547000.0,,,8523000.0,,-1028489000.0,45939000.0,,,,,45962000.0,,160372000.0,,,50985000.0,,,45006000.0,,,,,,,,,,81965000.0,,956000.0,,49136000.0,,,,,,,,,,,-965000.0,-23847000.0,37056000.0,0.0,87851000.0,,-12401000.0,,,212495000.0,425890000.0,,,,,257916000.0,,3510000.0,1131000.0,,180850000.0,79410000.0,,5023000.0,,0.27,,84278000.0,,-265465000.0,33471000.0,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,-15621000.0,42205000.0,,60560000.0,,102481000.0,,38500000.0,,,,,,,,,,,,,,1826574000.0,,,144000.0,17633000.0,,,-52000.0,,,-75561000.0,,,22630000.0,1019376000.0,,,-376000.0,,489245000.0,3310000.0,104083000.0,0.23,,,,42205000.0,117383000.0,,798613000.0,,527894000.0,179850850.0,140928000.0,62923000.0,,,2217893000.0,,,12379000.0,,,,,,,,,,,,,,,,172796400.0,2659000.0,,,,,,,,-8124000.0,,,56133000.0,,,53000.0,,100000.0,-3445000.0,118338000.0,,,9449000.0,,-1198517000.0,42205000.0,,,,,60560000.0,,131528000.0,,,65912000.0,,,45962000.0,,,,,,,,,,77258000.0,,14598000.0,,71047000.0,,,,,,,,,,,5189000.0,-4442000.0,-40950000.0,-7213000.0,84795000.0,,-8458000.0,,,220763000.0,391319000.0,,,,,258311000.0,,3011000.0,1788000.0,,158812000.0,75399000.0,,5352000.0,,0.24,,87229000.0,,-439062000.0,33194000.0,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,71527000.0,137991000.0,-17036000.0,-6445000.0,66660000.0,71527000.0,,57920000.0,19976000.0,51879000.0,,,,5284000.0,126614000.0,71527000.0,,-53628000.0,1027104000.0,,0.7,491294000.0,101401000.0,731623000.0,287707000.0,162604000.0,114000.0,17679000.0,,302007000.0,-125000.0,174767795.0,101401000.0,-53628000.0,,21656000.0,21656000.0,996953000.0,264605000.0,51275000.0,-131000.0,996953000.0,490829000.0,14956000.0,89436000.0,,,-85607000.0,5284000.0,-6445000.0,153410000.0,,771608000.0,76960000.0,527509000.0,,111716000.0,56450000.0,89436000.0,-46740000.0,1031902000.0,886000.0,0.72,16831000.0,,108526000.0,,76972000.0,5445000.0,126614000.0,731623000.0,300279000.0,89165000.0,,326401000.0,225345000.0,16831000.0,371069000.0,-102809000.0,,-63754000.0,12744000.0,-189875000.0,,,,,,-14375000.0,,-61350000.0,69558000.0,130000.0,,-2044000.0,,130000.0,22763000.0,108526000.0,-34949000.0,,9139000.0,,-34949000.0,-6445000.0,-185340000.0,,71199000.0,,71527000.0,771608000.0,66660000.0,,279040000.0,76972000.0,527509000.0,5151000.0,60560000.0,-2264000.0,,,,126614000.0,490829000.0,,,35265000.0,76960000.0,38342000.0,10967000.0,125520000.0,70825000.0,-38694000.0,,233803000.0,33185000.0,-163754000.0,-575000.0,,,,,7200000.0,3108000.0,-42702000.0,-2519000.0,42158000.0,535810000.0,0.0,182165661.0,-189875000.0,225345000.0,300279000.0,,12190000.0,279040000.0,1031902000.0,265126000.0,,4218000.0,1273000.0,,125520000.0,31102000.0,,5445000.0,38265000.0,,-1990000.0,89165000.0,,51275000.0,37547000.0,,,,,,,,,,,,,,,,,,,,,,,,
