date,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,annualPretaxIncome,trailingPurchaseOfInvestment,annualLongTermDebt,annualNetIncome,annualCashDividendsPaid,quarterlyBasicAverageShares,annualGoodwill,quarterlyTotalAssets,annualIncomeTaxPayable,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyBasicEPS,annualDepreciationAndAmortization,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyInventory,trailingSaleOfInvestment,quarterlyOtherIncomeExpense,annualCashFlowFromContinuingFinancingActivities,annualTotalAssets,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyGoodwill,quarterlyNetIncome,annualRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingCashFlow,trailingOperatingIncome,annualOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualOperatingIncome,annualOtherIncomeExpense,annualEndCashPosition,trailingOtherIncomeExpense,quarterlyOperatingExpense,trailingTotalRevenue,quarterlyInvestingCashFlow,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyEndCashPosition,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyCapitalStock,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyPurchaseOfInvestment,annualNetPPE,annualCurrentLiabilities,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,annualBasicEPS,trailingNetOtherInvestingChanges,annualEbitda,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,trailingPretaxIncome,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentAssets,trailingCapitalExpenditure,annualDilutedEPS,trailingBeginningCashPosition,quarterlyChangeInInventory,annualInterestExpense,trailingOperatingExpense,quarterlyOtherCurrentAssets,annualBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,annualTaxProvision,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualCapitalExpenditure,trailingGrossProfit,annualOtherCurrentLiabilities,annualDilutedAverageShares,trailingNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyOtherNonCashItems,quarterlyDilutedEPS,annualTotalRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,quarterlyRepaymentOfDebt,trailingCostOfRevenue,quarterlyPretaxIncome,trailingTaxProvision,quarterlyRetainedEarnings,quarterlyTaxProvision,annualStockBasedCompensation,annualFreeCashFlow,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyEbitda,annualInventory,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyOperatingIncome,trailingPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNetPPE,trailingNetIncome,quarterlyPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualOperatingExpense,trailingCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,trailingFreeCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualCommonStockIssuance,trailingBasicAverageShares,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyCommonStockIssuance,trailingChangeInInventory,trailingChangeInAccountPayable,trailingResearchAndDevelopment,trailingDilutedAverageShares
2014-12-31,-331000000.0,,,,-8549000000.0,-417000000.0,,-6229000000.0,0.0,,,,,,314000000.0,,-1213000000.0,,,,1857000000.0,,,1440000000.0,260000000.0,,,-201000000.0,,,,395000000.0,,1111000000.0,,,49000000.0,-458000000.0,,,,,,2431000000.0,1665000000.0,444000000.0,,,244000000.0,-6979000000.0,1843000000.0,-368000000.0,,11512000000.0,,-1335000000.0,753000000.0,,,,,,,,,,,,,,94000000.0,,,-14.57076,-82000000.0,-5383000000.0,,,,,,,,,700000000.0,,-28000000.0,,-767000000.0,-14.57076,870000000.0,,1726000000.0,2492000000.0,,746000000.0,,72000000.0,-981000000.0,427500000.0,708000000.0,,,,-117000000.0,-2353000000.0,-6229000000.0,,,,,508000000.0,-223000000.0,,-4841000000.0,,,,-2320000000.0,,591000000.0,-413000000.0,4157000000.0,,427500000.0,68000000.0,1097000000.0,203000000.0,,,,,,3756000000.0,,,5978000000.0,,,,7355000000.0,,194000000.0,,,,31000000.0,-91000000.0,,,2222000000.0,,,,,-6229000000.0,0.0,506000000.0,328000000.0,,-374000000.0,66000000.0,,,,508000000.0,,,,-67000000.0,852000000.0,,1978000000.0,-181000000.0,,,,,1664000000.0,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,427500000.0,,,,,,,,,,325000000.0,,,-3.548538,,,,1020000000.0,,,,,,-1952000000.0,,,-1517000000.0,,,,-1517000000.0,,,,,,,,,,,,,373000000.0,,,,,,,,,-1517000000.0,,,,,,,,,,,,,,,,,,,,,,427500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717000000.0,,,,,,,,,,,,173000000.0,,,,,,-3.548538,,,,,,-1933000000.0,,,-416000000.0,,,,,,,-1408000000.0,,,,,,,,344000000.0,,,,,,,,,,,,,,,,,,1737000000.0,,,,,,,,,,,,,,,,,,,
2015-12-31,-418000000.0,533000000.0,628000000.0,3000000.0,-5556000000.0,,3000000.0,-4677000000.0,0.0,,152000000.0,15658000000.0,11000000.0,533000000.0,401000000.0,120000000.0,,34340000000.0,-302000000.0,322000000.0,,1441000000.0,,995000000.0,-30000000.0,962000000.0,838000000.0,,35730000000.0,-22884000000.0,428000000.0,,-1216000000.0,-30000000.0,15658000000.0,-1610000000.0,,-650000000.0,152000000.0,-1610000000.0,0.0,1400000000.0,1400000000.0,,,237000000.0,213000000.0,,316000000.0,-4584000000.0,1400000000.0,,399000000.0,,-320000000.0,,,247000000.0,1400000000.0,1174000000.0,1174000000.0,-1610000000.0,0.0,,0.0,-90000000.0,9354000000.0,2812000000.0,514000000.0,35730000000.0,40000000.0,-80000000.0,34340000000.0,-10.940351,,-3276000000.0,,12208000000.0,-9000000.0,1400000000.0,38542000000.0,0.0,536000000.0,,,1400000000.0,-173000000.0,3450000000.0,,-10.940351,,,1285000000.0,,65000000.0,1843000000.0,0.0,17000000.0,,427500000.0,676000000.0,536000000.0,962000000.0,,,-883000000.0,-4677000000.0,13391000000.0,86000000.0,,-4037000000.0,,-21000000.0,1702000000.0,,,514000000.0,267000000.0,-879000000.0,-208000000.0,,-460000000.0,,628000000.0,427500000.0,,-443000000.0,,120000000.0,181000000.0,-22884000000.0,0.0,65000000.0,3526000000.0,-107000000.0,,5370000000.0,,1441000000.0,-1000000.0,,-1673000000.0,,0.0,-63000000.0,,-223000000.0,-9000000.0,,12208000000.0,1844000000.0,-1104000000.0,428000000.0,0.0,-108000000.0,-4677000000.0,0.0,,126000000.0,-132000000.0,,,194000000.0,-55000000.0,9354000000.0,,0.0,38542000000.0,213000000.0,34000000.0,,13391000000.0,1528000000.0,,2812000000.0,3450000000.0,11000000.0,1105000000.0,,-4037000000.0,-10000000.0,28000000.0,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,427500000.0,,,,,,,,,-432000000.0,335000000.0,,,-0.802339,,,,773000000.0,,,,,,22000000.0,,,-343000000.0,,,,-343000000.0,,,,,,,,,,,,,301000000.0,,-237000000.0,,,167000000.0,968000000.0,,,-343000000.0,,,,-71000000.0,,,,,,-284000000.0,,,,,,,,,,,,427500000.0,,,,,,,,,,,,,,,,,,,,,,,,,67000000.0,,,,,1400000000.0,,,,276000000.0,,-140000000.0,,,,,,,,,,162000000.0,,,,,16000000.0,-0.802339,,,,-4000000.0,,-337000000.0,,,6000000.0,,,,,,,165000000.0,,,-93000000.0,,,,,-25000000.0,,,-94000000.0,2000000.0,,,,,,,,,,,,,,1049000000.0,,,-4000000.0,-191000000.0,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,427500000.0,,,,,,,,,-403000000.0,343000000.0,,,-1.167251,,,,909000000.0,,,,,,-164000000.0,,,-499000000.0,,,,-499000000.0,,,,,,,,,,,,,318000000.0,,-1297000000.0,,,182000000.0,565000000.0,,,-499000000.0,,,,-92000000.0,,,,,,-307000000.0,,,,,,,,,,,,427500000.0,,,,,,,,,,,,,,,,,,,,,,,,,88000000.0,,,,,968000000.0,,,,324000000.0,,136000000.0,,,,,,,,,,154000000.0,,,,,19000000.0,-1.167251,,,,0.0,,-500000000.0,,,-1000000.0,,,,,,,25000000.0,,,-86000000.0,,,,,6000000.0,,,-154000000.0,-2000000.0,,,,,,,,,,,,,,1233000000.0,,,1115000000.0,-221000000.0,,,,,,,,,,,,,,,
2016-09-30,,,432000000.0,3387000000.0,,,,,,427500000.0,,16875000000.0,,750000000.0,,110000000.0,,34302000000.0,-6000000.0,367000000.0,,4000000.0,0.437427,,,1038000000.0,1064000000.0,,39185000000.0,,374000000.0,,249000000.0,,,187000000.0,,,152000000.0,187000000.0,,1829000000.0,1829000000.0,,,,217000000.0,,,,,,322000000.0,,-93000000.0,,,285000000.0,1588000000.0,,1143000000.0,187000000.0,,-992000000.0,,-30000000.0,,,,,,-8000000.0,,,,,,13488000000.0,-2000000.0,,40414000000.0,,702000000.0,427500000.0,,,,,,,,3000000.0,,,46000000.0,,-32000000.0,,,,,,,135000000.0,,,,,25000000.0,0.0,,,,1594000000.0,,-79000000.0,554000000.0,626000000.0,,1000000.0,,,,,,,,,,165000000.0,-23539000000.0,,,,7000000.0,0.437427,,,,0.0,,184000000.0,,,-3000000.0,,,,0.0,,,836000000.0,,0.0,-89000000.0,,,,,304000000.0,,,-170000000.0,-54000000.0,10364000000.0,,0.0,,,,,14861000000.0,,,1229000000.0,3387000000.0,10000000.0,1690000000.0,,-4497000000.0,6000000.0,81000000.0,,,,,,,,,,,,,,,
2016-12-31,-245000000.0,612000000.0,,,21351000000.0,,4577000000.0,22688000000.0,-992000000.0,427560620.0,1907000000.0,,31000000.0,,226000000.0,,,,42000000.0,48000000.0,,,-0.38,817000000.0,2096000000.0,,928000000.0,,,6597000000.0,,,-26000000.0,1065000000.0,15167000000.0,-163000000.0,,-1465000000.0,,-163000000.0,-1155000000.0,,,,,-157000000.0,,,125000000.0,22318000000.0,843000000.0,,424000000.0,,-45000000.0,,,285000000.0,843000000.0,3201000000.0,,-163000000.0,,-992000000.0,0.0,-30000000.0,4447000000.0,1504000000.0,479000000.0,7066000000.0,-53000000.0,-8000000.0,816000000.0,53.061387,,23261000000.0,,,-2000000.0,843000000.0,,6000000.0,,427560620.0,,843000000.0,249000000.0,2473000000.0,,53.061387,,3000000.0,1093000000.0,,,1400000000.0,,-81000000.0,,427580232.0,690000000.0,889000000.0,1064000000.0,135000000.0,,-1324000000.0,22688000000.0,4532000000.0,25000000.0,,-85000000.0,,-3570000000.0,801000000.0,,-79000000.0,,263000000.0,-1337000000.0,49000000.0,,-352000000.0,,787000000.0,427580232.0,,-557000000.0,,33000000.0,208000000.0,,4000000.0,75000000.0,3674000000.0,7000000.0,-0.38,5164000000.0,,46000000.0,0.0,,-233000000.0,,,-70000000.0,,-509000000.0,-122000000.0,,12694000000.0,1490000000.0,100000000.0,285000000.0,,-89000000.0,22688000000.0,-1343000000.0,,-347000000.0,-161000000.0,,,-170000000.0,-54000000.0,,,0.0,8570000000.0,0.0,74000000.0,,,1365000000.0,,,,,1191000000.0,,,6000000.0,81000000.0,,,,,,,,,,,,,,,
2017-03-31,,,450000000.0,4541000000.0,,,,,,427583339.0,,14715000000.0,,482000000.0,,3000000.0,,835000000.0,73000000.0,51000000.0,,45000000.0,0.18,,,1113000000.0,897000000.0,,7054000000.0,,315000000.0,,15000000.0,,,78000000.0,,,1907000000.0,78000000.0,,916000000.0,916000000.0,,,,,,,,,,305000000.0,,-50000000.0,,,226000000.0,916000000.0,,3065000000.0,78000000.0,4000000.0,,,-84000000.0,,,,,,98000000.0,,,,,,12530000000.0,-5000000.0,,8035000000.0,,856000000.0,427800350.0,,,,,,,,,,,72000000.0,,6000000.0,,,,,,,,,,,,79000000.0,,,,,843000000.0,,,402000000.0,460000000.0,,-2000000.0,,,,,,,,,,135000000.0,6680000000.0,,,,22000000.0,0.18,,,,-13000000.0,,119000000.0,,-1076000000.0,41000000.0,,,,4000000.0,,,396000000.0,,,-43000000.0,,,,,155000000.0,,,-102000000.0,42000000.0,4419000000.0,,,,,,,4586000000.0,,,981000000.0,2185000000.0,29000000.0,1357000000.0,,-167000000.0,-18000000.0,141000000.0,,,,,,,,,,,,,,,
2017-06-30,,,402000000.0,4531000000.0,,,,,,427587401.0,,14784000000.0,,651000000.0,,5000000.0,,857000000.0,70000000.0,51000000.0,,44000000.0,-0.06,,,1143000000.0,924000000.0,,7118000000.0,,310000000.0,,-37000000.0,,,-26000000.0,,,1907000000.0,-26000000.0,,986000000.0,986000000.0,,,,,,,,,,319000000.0,,-113000000.0,,,211000000.0,986000000.0,,2932000000.0,-26000000.0,4000000.0,,,-23000000.0,,,,,,137000000.0,,,,,,12387000000.0,2000000.0,,8126000000.0,,875000000.0,427587401.0,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,19000000.0,,,,,916000000.0,,,474000000.0,372000000.0,,-54000000.0,,,,,,,,,,147000000.0,6658000000.0,,,,0.0,-0.06,,,,-11000000.0,,-34000000.0,,-1102000000.0,-8000000.0,,,,4000000.0,,,228000000.0,,,-55000000.0,,,,,53000000.0,,,-107000000.0,29000000.0,4396000000.0,,,,,,,4635000000.0,,,1008000000.0,2397000000.0,4000000.0,1296000000.0,,-239000000.0,-9000000.0,192000000.0,,,,,,,,,,,,,,,
2017-09-30,,,422000000.0,4540000000.0,,,,,,427591426.0,,15000000000.0,,717000000.0,,6000000.0,,708000000.0,68000000.0,51000000.0,,44000000.0,0.64,,,1183000000.0,1056000000.0,,6946000000.0,,295000000.0,,126000000.0,,,273000000.0,,,1907000000.0,273000000.0,,1054000000.0,1054000000.0,,,,,,,,,,325000000.0,,-434000000.0,,,184000000.0,1054000000.0,,2845000000.0,273000000.0,4000000.0,,,-62000000.0,,,,,,113000000.0,,,,,,12560000000.0,-2000000.0,,8065000000.0,,833000000.0,428312438.0,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,56000000.0,,,,,986000000.0,,,487000000.0,777000000.0,,-29000000.0,,,,,,,,,,147000000.0,6935000000.0,,,,62000000.0,0.64,,,,-8000000.0,,524000000.0,,-830000000.0,251000000.0,,,,5000000.0,,,759000000.0,,,-399000000.0,,,,,452000000.0,,,97000000.0,42000000.0,4750000000.0,,0.0,,,,,5068000000.0,,,1119000000.0,2440000000.0,55000000.0,1833000000.0,,-318000000.0,-10000000.0,512000000.0,,,,,,,,,,,,,,,
