date,quarterlyOperatingExpense,annualNetPPE,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,annualOtherIntangibleAssets,trailingOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,annualInventory,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEbitda,quarterlyChangesInAccountReceivables,annualChangeInInventory,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyGrossPPE,trailingOperatingExpense,quarterlyIncomeTaxPayable,annualCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,annualAccumulatedDepreciation,trailingInvestingCashFlow,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualChangeInCashSupplementalAsReported,trailingNetOtherFinancingCharges,trailingChangeInInventory,quarterlyEbitda,annualOtherCurrentLiabilities,annualGoodwill,trailingChangesInAccountReceivables,trailingInterestExpense,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,annualInterestExpense,annualCapitalStock,trailingDeferredIncomeTax,annualTotalRevenue,trailingGrossProfit,annualRepaymentOfDebt,trailingCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,trailingOperatingIncome,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,annualFreeCashFlow,quarterlyCurrentLiabilities,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualOtherCurrentAssets,quarterlyOtherNonCashItems,annualAccountsPayable,annualBasicEPS,annualChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,annualNetOtherInvestingChanges,annualBasicAverageShares,trailingTaxProvision,trailingEndCashPosition,trailingNetIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOperatingIncome,annualPretaxIncome,annualCurrentDeferredRevenue,annualCurrentDebt,trailingPretaxIncome,annualNetIncome,annualNetIncomeContinuousOperations,annualCostOfRevenue,quarterlyFreeCashFlow,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualLongTermDebt,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,annualDilutedEPS,annualOtherNonCurrentAssets,annualOtherNonCashItems,quarterlyGoodwill,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyInventory,quarterlyOtherIncomeExpense,annualNetIncomeCommonStockholders,annualTotalAssets,quarterlyInvestingCashFlow,annualDepreciationAndAmortization,annualDilutedAverageShares,quarterlyNetOtherInvestingChanges,annualTaxProvision,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyBasicEPS,trailingNetIncomeCommonStockholders,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,trailingCashDividendsPaid,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualInvestmentsAndAdvances,annualSaleOfInvestment,trailingResearchAndDevelopment,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlySaleOfInvestment,annualCashDividendsPaid,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,quarterlyCashDividendsPaid,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,trailingBasicEPS
1970-01-01 00:00:01.388448000,,108566000.0,-124000.0,114429000.0,12015000.0,,766000.0,-711000.0,14277000.0,,,,,,-24499000.0,362000.0,,,5460000.0,14534000.0,,,7365000.0,,-126000.0,134260000.0,200273000.0,,,,1264000.0,,,10117000.0,,753000.0,,-40754000.0,206000.0,,93212000.0,,-41754000.0,,,,,,151000.0,-1683000.0,-19805000.0,,99254000.0,,,,,-25694000.0,-210778000.0,,-35335000.0,,,4795000.0,4160000.0,-3164000.0,-4725000.0,,0.0,424000.0,-3850000.0,24328000.0,225000.0,39454000.0,14277000.0,-3591000.0,-12773000.0,961000.0,0.0,-665000.0,27780000.0,99964000.0,-1072000.0,75438000.0,,-10290000.0,132967000.0,251000.0,,,6752000.0,,146279000.0,,-36294000.0,,,,192721000.0,92757000.0,-179002000.0,0.0,,2110000.0,-0.047574,-1182000.0,,,1000000.0,25413016.0,1518000.0,113794000.0,-19805000.0,,,,-822000.0,0.0,7886000.0,-18287000.0,-1209000.0,-1209000.0,15765000.0,,14277000.0,,11764000.0,93212000.0,,,-10357000.0,,21493000.0,,,45666000.0,49226000.0,11764000.0,-0.047574,4673000.0,136000.0,,,13312000.0,,3316000.0,-16659000.0,,,-1209000.0,135922000.0,,7226000.0,25413016.0,,387000.0,,,,,,,,,,,-19805000.0,5082000.0,25045000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.412035200,10932000.0,,,,,-965000.0,,,,,0.0,32575000.0,,-2053000.0,,,149000.0,,,,,,,-889000.0,,,,,,-177000.0,,,7803000.0,,,,-4656000.0,,,,,,,,3987000.0,,0.0,,,,,-1123000.0,,,7125000.0,1747000.0,,,,,,10026000.0,580000.0,,,,,5447000.0,,,,,,,,,,,,,,,,,,,,,,,,4665000.0,,,,,,,,,,,228000.0,,,,,22936000.0,,,,,,-1114000.0,,873000.0,,,,,,,,-669000.0,,,,,-1114000.0,-1114000.0,,,,,,,,,,,,,,,,,,,-91000.0,,,-4665000.0,,,-9000.0,,39700000.0,11131000.0,,,,10932000.0,,-990000.0,11805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,12247000.0,116515000.0,-325000.0,321432000.0,33015000.0,-3569000.0,60903000.0,,37499000.0,60903000.0,0.0,39700000.0,,-2097000.0,,4405000.0,-2371000.0,37499000.0,16350000.0,,195988000.0,37499000.0,15875000.0,206000.0,-871000.0,146051000.0,,116515000.0,-29536000.0,-142000.0,,4809000.0,-2244000.0,14277000.0,-13267000.0,1837000.0,-5926000.0,-33115000.0,-2325000.0,146051000.0,,,-20133000.0,,5681000.0,,-2325000.0,,806000.0,682000.0,,2245000.0,,4276000.0,-2201000.0,1739000.0,8265000.0,-29536000.0,,0.0,,-5000.0,731000.0,,23222000.0,,,3267000.0,0.0,123325000.0,,,1757000.0,39987000.0,37499000.0,2066000.0,,5155000.0,195988000.0,,67127000.0,,-8113000.0,,,,80409000.0,1362000.0,,-128374000.0,,5097000.0,104361000.0,54898000.0,-3783000.0,23952000.0,36021000.0,80409000.0,,,,0.0,232000.0,4276000.0,-0.083697,1722000.0,321432000.0,22780000.0,-13000.0,25413016.0,,,,-1198000.0,376330000.0,-1779000.0,-4111000.0,3348000.0,8265000.0,,-2127000.0,-2127000.0,34112000.0,-245000.0,37499000.0,104361000.0,31653000.0,,-1198000.0,-1198000.0,271969000.0,1837000.0,54898000.0,,0.0,77766000.0,,31653000.0,-0.083697,4809000.0,798000.0,123325000.0,10850000.0,23952000.0,8063000.0,8063000.0,-128374000.0,4405000.0,-58000.0,-2127000.0,376330000.0,-5638000.0,14831000.0,25413016.0,-10000.0,-1984000.0,37499000.0,12312000.0,77766000.0,,,12247000.0,271969000.0,562000.0,10468000.0,,,10850000.0,,806000.0,3348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.427760000,10851000.0,,,,,-2215000.0,,,,,0.0,37499000.0,-0.112777,-2071000.0,,,651000.0,,,,,,,-193000.0,,,,,,-37000.0,,,-2078000.0,,,,-4948000.0,,,,,,,,2469000.0,,417000.0,,,,,-1588000.0,,,-4761000.0,1628000.0,,,,,,,821000.0,,,,,4597000.0,,,,,,,,,,,,,,,,,,,,,25413016.0,,,5184000.0,,,,,,,,,,,220000.0,,,,,22684000.0,,,,,,-2866000.0,,-535000.0,,,,,,,,-2479000.0,,,,,-2866000.0,-2866000.0,,,,,,,,,,,,,,,,,,,-52000.0,,,-5152000.0,,,-204000.0,,32738000.0,12368000.0,,25413016.0,,10851000.0,,227000.0,10316000.0,-0.112777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.435622400,12912000.0,,,,,-1894000.0,,,,58815000.0,-43108000.0,32738000.0,,-2084000.0,,,813000.0,34277000.0,,,195988000.0,34277000.0,,-2451000.0,,,,121102000.0,,-1119000.0,,9914000.0,48148000.0,,,,-6301000.0,,,121102000.0,,,,,3805000.0,,683000.0,,,,,-667000.0,,6018000.0,1539000.0,1782000.0,17836000.0,,,0.0,,,829000.0,,,,,4909000.0,,,,,,,,,,,,,,,,,,,,,,-133947000.0,,5021000.0,,57684000.0,,38477000.0,,131657000.0,,,,,233000.0,,,,411878000.0,24114000.0,,,,,,-2707000.0,469562000.0,-37000.0,,,,,,,,-2496000.0,,170134000.0,,,-2707000.0,-2707000.0,,1623000.0,,,0.0,,,,,,,123325000.0,14399000.0,,11386000.0,,,5267000.0,-75000.0,,,-50414000.0,,,-1005000.0,,34277000.0,11239000.0,128663000.0,,,12912000.0,299428000.0,-1005000.0,12875000.0,,,,,1371000.0,3237000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.443571200,13214000.0,,,,,-3191000.0,,,,57292000.0,-634000.0,34277000.0,-0.160115,-4886000.0,,,878000.0,25610000.0,,,195988000.0,25610000.0,,60000.0,,,,124097000.0,,-529000.0,,8914000.0,-5127000.0,,,,-6524000.0,,,124097000.0,,,,,3567000.0,,647000.0,,,,,-1058000.0,,5970000.0,-8667000.0,2569000.0,19824000.0,,,0.0,,288000.0,832000.0,,,,,6551000.0,,,,,,,,,,,,,,,,,,,,,25413016.0,-138846000.0,,7173000.0,,51458000.0,,41011000.0,,125755000.0,,,,,305000.0,,,,410956000.0,27127000.0,,,,,,-4069000.0,462414000.0,-521000.0,,,,,,,,-2957000.0,,166766000.0,,,-4069000.0,-4069000.0,,1601000.0,,,0.0,,,,,,,123627000.0,14189000.0,,11794000.0,,,4920000.0,-101000.0,,,-7107000.0,,,51000.0,,25610000.0,14434000.0,122370000.0,25413016.0,,13214000.0,295648000.0,142000.0,12693000.0,-0.160115,,,,1784000.0,3423000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.451520000,11535000.0,125493000.0,-27717000.0,380643000.0,46845000.0,-30686000.0,56127000.0,,17802000.0,56127000.0,46000.0,25610000.0,,-3576000.0,,4814000.0,631000.0,17802000.0,9606000.0,,195988000.0,17802000.0,-6162000.0,-1056000.0,-568000.0,170284000.0,,125493000.0,-44791000.0,-22000.0,,8315000.0,-3598000.0,37499000.0,-43696000.0,1575000.0,-3577000.0,-66648000.0,2703000.0,170284000.0,,,-21350000.0,,-235000.0,,956000.0,,1514000.0,-3640000.0,,-5289000.0,,5608000.0,-7808000.0,2533000.0,19347000.0,-44791000.0,,0.0,,0.0,829000.0,,-19697000.0,,,-21389000.0,0.0,98023000.0,,,3311000.0,37345000.0,17802000.0,-1707000.0,,8512000.0,195988000.0,,100335000.0,,-12617000.0,,,,121102000.0,-2592000.0,,-170163000.0,,6764000.0,160496000.0,45013000.0,-11744000.0,39394000.0,31626000.0,121102000.0,,,,0.0,180000.0,5608000.0,-1.64,-8602000.0,380643000.0,26410000.0,-1602000.0,25413016.0,,,,-31317000.0,425656000.0,-669000.0,-38816000.0,2718000.0,19347000.0,,-41789000.0,-41789000.0,53490000.0,-3812000.0,17802000.0,160496000.0,49437000.0,,-31317000.0,-31317000.0,265160000.0,1575000.0,45013000.0,,0.0,118013000.0,,49437000.0,-1.64,8315000.0,938000.0,98023000.0,15320000.0,39394000.0,11721000.0,11721000.0,-170163000.0,4814000.0,-27489000.0,-41789000.0,425656000.0,-3975000.0,24142000.0,25413016.0,-444000.0,2973000.0,17802000.0,15544000.0,118013000.0,,,11535000.0,265160000.0,68000.0,10866000.0,,,15320000.0,,1514000.0,2718000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.459382400,13697000.0,,,,,-3360000.0,,,,54986000.0,-100000.0,17802000.0,-0.156927,-3821000.0,,,628000.0,27987000.0,,,195988000.0,27987000.0,,2286000.0,,,,125837000.0,,-98000.0,,8563000.0,11081000.0,,,,-5447000.0,,,125837000.0,,,,,5450000.0,,497000.0,,,,,135000.0,,4986000.0,10185000.0,2580000.0,21730000.0,,,0.0,,,683000.0,,,,,6484000.0,,,,,,,,,,,,,,,,,,,,,25413016.0,-174151000.0,,7264000.0,,53420000.0,,39604000.0,,130665000.0,,,,,300000.0,,,,378704000.0,27129000.0,,,,,,-3988000.0,432124000.0,-734000.0,,,,,,,,3000.0,,170269000.0,,,-3988000.0,-3988000.0,,1865000.0,,,0.0,,,,,,,98023000.0,12722000.0,,10681000.0,,,4864000.0,-46000.0,,,-6346000.0,,,-799000.0,,27987000.0,14166000.0,127053000.0,25413016.0,,13697000.0,261855000.0,195000.0,12963000.0,-0.156927,,,,1747000.0,2207000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.467244800,14455000.0,,,,,-3496000.0,,,,53766000.0,0.0,27987000.0,-0.166293,-4258000.0,,,730000.0,31186000.0,,,195988000.0,31186000.0,,-902000.0,,,,126419000.0,,420000.0,,7594000.0,3118000.0,,,,-5062000.0,,,126419000.0,,,,,5482000.0,,599000.0,,,,,298000.0,,5145000.0,3199000.0,2849000.0,21926000.0,,,0.0,,,384000.0,,,,,6850000.0,,,,,,,,,,,,,,,,,,,,,25413016.0,-178377000.0,,7497000.0,,57658000.0,,40382000.0,,134367000.0,,,,,376000.0,,,,375106000.0,28264000.0,,,,,,-4226000.0,432764000.0,-558000.0,,,,,,,,420000.0,,174749000.0,,,-4226000.0,-4226000.0,,2368000.0,,,0.0,,,,,,,98023000.0,13431000.0,,10736000.0,,,5342000.0,-89000.0,,,-5401000.0,,,-339000.0,,31186000.0,14367000.0,130018000.0,25413016.0,,14455000.0,258015000.0,-410000.0,13897000.0,-0.166293,,,,1981000.0,2575000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.475193600,15112000.0,,,,,-3437000.0,,,,52548000.0,0.0,31186000.0,-0.185417,-3812000.0,,,1275000.0,25000000.0,,,195988000.0,25000000.0,,-2713000.0,,,,126286000.0,,-329000.0,,8601000.0,-2420000.0,,,,-4528000.0,,,126286000.0,,,,,959000.0,,1120000.0,,,,,-4492000.0,,3895000.0,-6186000.0,2802000.0,25060000.0,,,0.0,,,388000.0,,,,,-635000.0,,,,,,,,,,,,,,,,,,,,,25413016.0,-183089000.0,,7702000.0,,54867000.0,,43479000.0,,130518000.0,,,,,273000.0,,,,372821000.0,28858000.0,,,,,,-4712000.0,427688000.0,-549000.0,,,,,,,,-3569000.0,,173997000.0,,,-4712000.0,-4712000.0,,2614000.0,,,0.0,,,,,,,98023000.0,15936000.0,,12103000.0,,,6030000.0,-86000.0,,,-4725000.0,,,-197000.0,,25000000.0,14295000.0,125158000.0,25413016.0,,15112000.0,253691000.0,-743000.0,14563000.0,-0.185417,,,,2746000.0,2421000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
