date,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOperatingIncome,quarterlyRetainedEarnings,trailingOperatingIncome,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,quarterlyOtherNonCashItems,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualAccountsPayable,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,annualNetOtherInvestingChanges,trailingTaxProvision,quarterlyTotalAssets,quarterlyOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingNetIncome,annualBasicAverageShares,annualCurrentDeferredRevenue,annualNetIncome,trailingPretaxIncome,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCashAndCashEquivalents,quarterlyFreeCashFlow,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualSaleOfInvestment,annualStockholdersEquity,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualLongTermDebt,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherNonCurrentAssets,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,annualRetainedEarnings,quarterlyOtherIncomeExpense,annualNetIncomeCommonStockholders,annualTotalAssets,quarterlyInvestingCashFlow,annualTaxProvision,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualAccountsReceivable,quarterlyStockholdersEquity,quarterlyGrossProfit,trailingNetIncomeCommonStockholders,annualBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualNetPPE,annualOtherIncomeExpense,quarterlyOperatingExpense,annualTotalNonCurrentAssets,quarterlyDilutedEPS,annualGrossProfit,quarterlyPretaxIncome,annualOtherIntangibleAssets,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,annualEbitda,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,annualDilutedAverageShares,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingExpense,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,annualDilutedEPS,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,annualInvestmentsAndAdvances,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualPretaxIncome,quarterlyResearchAndDevelopment,annualChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredRevenue,quarterlyBasicEPS,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyEbitda,annualOtherCurrentLiabilities,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualEndCashPosition,annualNetOtherFinancingCharges,annualInterestExpense,annualCapitalStock,trailingResearchAndDevelopment,annualTotalRevenue,annualPurchaseOfInvestment,trailingGrossProfit,annualRepaymentOfDebt,quarterlyRepaymentOfDebt,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingBasicAverageShares,annualChangeInInventory,trailingOperatingCashFlow,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualInventory,quarterlyInterestExpense,trailingDeferredIncomeTax,trailingSaleOfInvestment,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyInventory,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingBasicEPS
2011-12-31,,,,-115477000.0,,629877000.0,,,,,-142106000.0,,,321200000.0,1780641000.0,,,,9361000.0,,36921000.0,,,,,0.0,93403000.0,,,,566114000.0,200161184.0,,-117650000.0,657911000.0,-117650000.0,29527000.0,,,85950000.0,,557792000.0,,,0.0,,,0.0,,,49029000.0,,1002000.0,,,,,,,,,7323000.0,,,-117650000.0,,,0.0,,,,,,,,,,566114000.0,-0.587776,,,,-423000.0,,,,-29527000.0,,,-16392000.0,,,,,,-108154000.0,,,-99541000.0,,,200161184.0,,,,18595000.0,,,,,829564000.0,0.0,,,,-42565000.0,,,-0.587776,-42565000.0,,,,,,,-117650000.0,,0.0,,,564508000.0,,,,,,,-4907000.0,,,,,136291000.0,1002000.0,13688000.0,134103000.0,1567000.0,,271772000.0,0.0,0.0,1459441000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,1011000.0,,-97844000.0,,,,419466000.0,,119848000.0,-122604000.0,0.0,,,,,733000.0,0.0,-20065000.0,5413000.0,71186000.0,,,,,0.0,,,,,,200161184.0,2393000.0,-102486000.0,,-102486000.0,46429000.0,2906000.0,,117344000.0,,,,,0.0,-213908000.0,151765000.0,-4335000.0,,,46158000.0,,1837000.0,776000.0,,,,,13122000.0,419466000.0,,16386000.0,-236736000.0,,-102486000.0,205558000.0,,-1551000.0,,,,,,,25929000.0,,,,-0.512017,,,49452000.0,-1340000.0,,53793000.0,,19500000.0,,,,,122754000.0,,,,-81458000.0,73515000.0,,-103642000.0,,,200161184.0,,,,13688000.0,0.0,,,,,-1551000.0,,,,-18962000.0,,,-0.512017,-136526000.0,,,,3565000.0,,0.0,-104037000.0,,-26825000.0,,,,,,-24063000.0,,,,-10782000.0,,,0.0,0.0,229368000.0,1837000.0,2906000.0,233703000.0,4923000.0,36000.0,,65929000.0,-117564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,25884000.0,,,,,-16415000.0,-19241000.0,,,,,,,,,,,,,-19241000.0,-19241000.0,,,,,,,,,,,,11687000.0,,,,,,,,-654000.0,,,,,,200161184.0,,,,10189000.0,,,14197000.0,,,,,,,30612000.0,,-0.096128,,-19002000.0,,,,,,,239000.0,,,,,,,,,,,,,,,,,,,,,,200161184.0,,,,,,,,,,,20423000.0,,,,,,-0.096128,,,,,,,-16415000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,37639000.0,,,,,-36917000.0,-35129000.0,,,,,,,,,,,,,-35129000.0,-35129000.0,,,,,,,,,,,,17438000.0,,,,,,,,3398000.0,,,,,,200161184.0,,,,27561000.0,,,20201000.0,,,,,,,57118000.0,,-0.175504,,-34692000.0,,,,,,,437000.0,,,,,,,,,,,,,,,,,,,,,,200161184.0,,,,,,,,,,,29557000.0,,,,,,-0.175504,,,,,,,-36917000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,53366000.0,,,,,-5765000.0,-5305000.0,,,,,,,,,,,,,-5305000.0,-5305000.0,,,,,,,,,,,,14524000.0,,,,,,,,665000.0,,,,,,200161184.0,,,,19978000.0,,,38842000.0,,,,,,,44607000.0,,-0.026504,,-5239000.0,,,,,,,66000.0,,,,,,,,,,,,,,,,,,,,,,200161184.0,,,,,,,,,,,24629000.0,,,,,,-0.026504,,,,,,,-5765000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,369495000.0,521000.0,,-57904000.0,-274851000.0,,,370263000.0,551775000.0,252342000.0,-21413000.0,,768000.0,,,,1210000.0,768000.0,23440000.0,824000.0,100740000.0,252342000.0,,71424000.0,55159000.0,0.0,,606934000.0,1193000.0,21560000.0,,200161184.0,15031000.0,-38115000.0,,-38115000.0,59891000.0,246436000.0,,186326000.0,370263000.0,,21560000.0,21560000.0,117564000.0,236671000.0,551775000.0,-45876000.0,1210000.0,,85586000.0,0.0,-3116000.0,3369000.0,7517000.0,16242000.0,41168000.0,47304000.0,41168000.0,369495000.0,,21529000.0,-274851000.0,19535000.0,-38115000.0,606934000.0,,271000.0,,,5500000.0,,,27858000.0,47304000.0,236671000.0,55182000.0,,-0.190422,768000.0,15031000.0,35702000.0,22944000.0,53989000.0,55159000.0,,128422000.0,21089000.0,3071000.0,,3071000.0,498778000.0,45000.0,,-471000.0,-36375000.0,81065000.0,498778000.0,-9369000.0,246436000.0,,200161184.0,35702000.0,-45363000.0,3369000.0,2906000.0,,0.0,,,,271000.0,,,81065000.0,-12044000.0,,,-0.190422,-153365000.0,521000.0,,,5500000.0,,768000.0,-37844000.0,26131000.0,-23722000.0,,824000.0,,,,-45363000.0,,41577000.0,,243530000.0,,1193000.0,41577000.0,7517000.0,406753000.0,4105000.0,246436000.0,-134161000.0,6708000.0,45000.0,,188313000.0,-258885000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,400413000.0,,,,,,,,533930000.0,,,,480291000.0,,,,,,,,,260011000.0,,67510000.0,58872000.0,,,592802000.0,-8062000.0,-47377000.0,,,,,,,,,,,880704000.0,,-47377000.0,-47377000.0,,,,,0.0,,,679000.0,,,,17443000.0,52087000.0,60071000.0,,,,,,-40188000.0,,,,,,200161184.0,13538000.0,,,29321000.0,,-287902000.0,50067000.0,,,,14571000.0,,,58129000.0,,-0.236694,,-47953000.0,,,10308000.0,,,,-576000.0,,,466212000.0,,206201000.0,,,34547000.0,,479000.0,,,,,,,,,,,,200161184.0,,,,,,,,,,,28808000.0,,,740000.0,,,-0.236694,,,69692000.0,,,,-8062000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,109143000.0,,,,,,,,605623000.0,,,,612000.0,,,,,,,,,255077000.0,,77320000.0,62378000.0,,,668001000.0,-10472000.0,-15372000.0,,,,,,,,,,,109755000.0,,-15372000.0,-15023000.0,,,,,0.0,,,612000.0,,,,19700000.0,70663000.0,95880000.0,,,,,,-6784000.0,,,,,,192190000.0,13561000.0,,,35937000.0,,557874000.0,57620000.0,,,,15659000.0,,,68092000.0,,-0.08,,-15755000.0,,,10323000.0,,,,-732000.0,,,498657000.0,,243580000.0,,,34953000.0,,3541000.0,,,,,,,,,,,,192190000.0,,,,,,,,,,,32155000.0,,,2925000.0,,,-0.08,,,0.0,,,,-10472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,134865000.0,,,,,,,,613916000.0,,,,550000.0,,,,,,,,,165292000.0,,84130000.0,78880000.0,,,692796000.0,-7630000.0,-5220000.0,,,,,,,,,,,135415000.0,,-5220000.0,-5246000.0,,,,,0.0,,,550000.0,,,,20670000.0,87368000.0,69825000.0,,,,,,0.0,,,,,,201302000.0,21784000.0,,,39333000.0,,557031000.0,63460000.0,,,,19832000.0,,,71090000.0,,-0.03,,-5687000.0,,,10043000.0,,,,-441000.0,,,524036000.0,,358744000.0,,,32741000.0,,14312000.0,,,,,,,,,,,,201302000.0,,,,,,,,,,,31757000.0,,,2233000.0,,,-0.03,,,0.0,,,,-7630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,112572000.0,-2943000.0,,-21292000.0,-338229000.0,,,113445000.0,586190000.0,166414000.0,-39422000.0,306491000.0,873000.0,,,,1761000.0,873000.0,-45920000.0,2420000.0,125832000.0,166414000.0,,105212000.0,91591000.0,0.0,,677781000.0,4872000.0,4591000.0,,186878000.0,20957000.0,-63378000.0,,-62634000.0,83599000.0,283462000.0,,271865000.0,113445000.0,,4591000.0,5012000.0,321208000.0,563281000.0,586190000.0,-6873000.0,1761000.0,,146033000.0,873000.0,60751000.0,327000.0,11652000.0,25786000.0,87478000.0,120210000.0,87478000.0,112572000.0,,23060000.0,-338229000.0,0.0,-63378000.0,677781000.0,,1128000.0,,216845000.0,45199000.0,,,41442000.0,120210000.0,563281000.0,79426000.0,,-0.34,873000.0,20957000.0,30874000.0,-46972000.0,74554000.0,91591000.0,0.02,250573000.0,7889000.0,3539000.0,,3539000.0,449876000.0,51000.0,,2877000.0,-21292000.0,96795000.0,449876000.0,-24679000.0,283462000.0,,186878000.0,30874000.0,-65921000.0,327000.0,246436000.0,-9648000.0,873000.0,,,,866000.0,,,96795000.0,-14743000.0,202844000.0,,-0.34,21045000.0,-2943000.0,,,45199000.0,,873000.0,-61506000.0,33112000.0,-72013000.0,,2420000.0,,,0.02,-65921000.0,,1203000.0,,37026000.0,,4872000.0,1203000.0,11652000.0,42695000.0,13779000.0,283462000.0,-258431000.0,2838000.0,51000.0,,334172000.0,-275772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
