,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,annualNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,annualOperatingExpense,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,trailingSellingGeneralAndAdministration,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,annualTaxProvision,quarterlyTotalRevenue,annualChangesInAccountReceivables,trailingCostOfRevenue,trailingBeginningCashPosition,annualInterestExpense,annualTotalRevenue,annualCurrentAssets,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualDeferredIncomeTax,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,annualChangeInWorkingCapital,quarterlyCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,trailingNetIncome,quarterlyPurchaseOfBusiness,annualRetainedEarnings,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualTotalAssets,quarterlyGoodwill,trailingCommonStockIssuance,quarterlyNetOtherInvestingChanges,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualCashDividendsPaid,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualLongTermDebt,annualBeginningCashPosition,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualFreeCashFlow,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualChangeInInventory,trailingCashDividendsPaid,annualPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,annualBasicAverageShares,quarterlyLongTermDebt,quarterlyTaxProvision,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyCurrentAccruedExpenses,annualNetPPE,quarterlyCostOfRevenue,quarterlyOperatingExpense,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,annualStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,annualGoodwill,quarterlyAccountsReceivable,annualOtherIntangibleAssets,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualEbitda,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualOtherCurrentLiabilities,annualOperatingIncome,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,trailingCapitalExpenditure,annualDilutedAverageShares,quarterlyPurchaseOfInvestment,trailingOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualAccountsPayable,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,annualGrossPPE,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyBasicEPS,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualSaleOfInvestment,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,trailingPurchaseOfInvestment,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,,,,,-5100000.0,,,1800000.0,,,,,800000.0,,,-11800000.0,,,-300000.0,,,,,1000000.0,6200000.0,5100000.0,-5100000.0,,-400000.0,,7700000.0,200000.0,,,7000000.0,,,-300000.0,,,-100000.0,,,,,2400000.0,,,,,,,-5600000.0,,,18900000.0,,,,,12000000.0,-0.591208,,,,-5100000.0,,,,400000.0,6800000.0,0.0,,3800000.0,13800000.0,-9200000.0,600000.0,,,,200000.0,-0.591208,,,,6900000.0,100000.0,,,,,,,,-11900000.0,10100000.0,1200000.0,,,,,,,7500000.0,,,,8626406.0,,,,,,4200000.0,,,2600000.0,2400000.0,4300000.0,,,,,9400000.0,,,,,700000.0,,,1800000.0,-4900000.0,,1700000.0,600000.0,-100000.0,,,800000.0,800000.0,,0.0,,-5400000.0,,,,,,8626406.0,,,,,,2600000.0,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,24200000.0,,3700000.0,,,-300000.0,,,2200000.0,,,,,,,,,,800000.0,8100000.0,,7600000.0,,,,,,,,,,,,,100000.0,,,0.0,-9200000.0,,,1400000.0,,17500000.0,-0.045477,,-6100000.0,,6700000.0,,43104573.0,16800000.0,,,,7600000.0,800000.0,,,,0.0,,,,,,1000000.0,,,-800000.0,1000000.0,,,,,,,,,,,-200000.0,,,10000000.0,,1200000.0,,,,100000.0,,700000.0,,,-9200000.0,,,,,,,,-300000.0,3000000.0,,200000.0,,7300000.0,,16300000.0,200000.0,,,,,5400000.0,1400000.0,,,,,1600000.0,,,,,8100000.0,,,,-8500000.0,,,,800000.0,,,,,,,,,,,,,41000000.0,2400000.0,,,,,,,,2400000.0,,,33400000.0,,,24900000.0,300000.0,-0.045477,,,600000.0,43104573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,34000000.0,,5100000.0,,,-600000.0,,,3500000.0,,,,,,,,,,1500000.0,16000000.0,,10900000.0,,,,,,,,,,,,,-800000.0,,,0.0,-21900000.0,,,2400000.0,,24600000.0,-0.023727,1000000.0,-6800000.0,,9400000.0,,43104573.0,45400000.0,,,,10300000.0,1100000.0,,,,0.0,,,,,,700000.0,,,-1400000.0,1000000.0,,,,,,,,,,,0.0,,,21600000.0,,3500000.0,,,,24000000.0,,1200000.0,500000.0,-300000.0,-22000000.0,,,,,,,,-100000.0,3500000.0,,400000.0,,14600000.0,,23200000.0,500000.0,,,,,7400000.0,2000000.0,,,,,800000.0,,,,,,,,,-20800000.0,,,,0.0,,,,,,,,,,,,-600000.0,79400000.0,3200000.0,,,,,,,,3200000.0,,,69100000.0,800000.0,,51000000.0,400000.0,-0.023727,,,900000.0,43104573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,54700000.0,,6100000.0,,,100000.0,,,5700000.0,,,,,,,,,,2700000.0,20600000.0,,16800000.0,,,,,,,,,,0.0,,,,,,0.0,-15000000.0,,,4100000.0,,42300000.0,0.019773,1800000.0,-5700000.0,,12400000.0,,50574299.0,59800000.0,,,,10900000.0,1600000.0,,,,100000.0,,,,,,800000.0,,,-2200000.0,1500000.0,,,,,,,,,,,-500000.0,,,10400000.0,,3900000.0,,,,0.0,,2500000.0,1000000.0,1000000.0,-15100000.0,,,,,,,,-100000.0,5000000.0,,400000.0,,18400000.0,,40400000.0,800000.0,,,,,11100000.0,3000000.0,,,,,-2100000.0,,,,,,,,,-12600000.0,,,,0.0,,,,,,,,,,,,1000000.0,114500000.0,1100000.0,,,,,,,,1100000.0,,,103600000.0,1300000.0,,81300000.0,700000.0,0.023728,,,1400000.0,42145092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,88200000.0,,6600000.0,,,-2600000.0,2800000.0,,6100000.0,9600000.0,,,,,2700000.0,,,-62500000.0,2900000.0,35900000.0,2400000.0,18700000.0,,,,2300000.0,54000000.0,15700000.0,900000.0,,1400000.0,0.0,63800000.0,1800000.0,,,24400000.0,0.0,-16400000.0,-2900000.0,,4300000.0,-800000.0,63800000.0,,2100000.0,-4800000.0,-3400000.0,24400000.0,,,61100000.0,,,-4800000.0,15700000.0,1800000.0,149300000.0,,,-200000.0,,88200000.0,0.025679,9500000.0,,2200000.0,1800000.0,-200000.0,-2900000.0,2100000.0,2200000.0,60100000.0,800000.0,,36400000.0,133600000.0,-56400000.0,5300000.0,,,-300000.0,1600000.0,0.019753,16300000.0,,1800000.0,61100000.0,200000.0,,300000.0,,1700000.0,1200000.0,1000000.0,-16200000.0,-62500000.0,58300000.0,4300000.0,,,,,0.0,8300000.0,,1600000.0,,33000000.0,32705233.0,60100000.0,900000.0,,,,33000000.0,12600000.0,3200000.0,6100000.0,17600000.0,24400000.0,,1600000.0,,,98800000.0,,,,,2100000.0,-14500000.0,,12300000.0,-600000.0,0.0,8300000.0,8000000.0,-100000.0,,,1900000.0,2700000.0,,0.0,,5200000.0,1000000.0,149300000.0,2700000.0,,,42380288.0,,,,,2700000.0,6600000.0,,133600000.0,9500000.0,35900000.0,98800000.0,900000.0,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922838400,134000000.0,,13100000.0,,,2400000.0,,,10800000.0,,,,,,,,,,5700000.0,137200000.0,,30900000.0,,,,,,,,,,,,,,,,0.0,-74900000.0,,,8000000.0,,108400000.0,-0.055364,-3100000.0,1200000.0,,25600000.0,,79474026.0,131600000.0,,,,20500000.0,2800000.0,,,,0.0,,,,,,1600000.0,,,-5600000.0,2600000.0,,,,,,,,,,,-500000.0,,,74100000.0,,2800000.0,,,,65100000.0,,1000000.0,-4400000.0,-4400000.0,-75000000.0,,,,,,,,-7800000.0,10600000.0,,2300000.0,,131600000.0,,103500000.0,1300000.0,,,,,20100000.0,5100000.0,,,,,200000.0,,,,,,,,,-74000000.0,,,,3200000.0,,,,,,,,,,,,-4400000.0,265600000.0,3400000.0,,,,,,,,3400000.0,,,245100000.0,1900000.0,,110700000.0,900000.0,-0.055364,,,2300000.0,79474026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,187100000.0,,17500000.0,,,1900000.0,,,15600000.0,,,,,,,,,,8900000.0,149800000.0,,40200000.0,,,,,,,,,,,,,,,,0.0,-34000000.0,,,12200000.0,,153100000.0,0.031636,5900000.0,-1200000.0,,34000000.0,,101149167.0,137100000.0,,,,32000000.0,3400000.0,,,,0.0,,,,,,1900000.0,,,-2900000.0,5200000.0,,,,,,,,,,,-100000.0,,,32400000.0,,4800000.0,,,,1500000.0,,8500000.0,3200000.0,3200000.0,-34100000.0,,,,,,,,-1000000.0,14500000.0,,2300000.0,,146900000.0,,145600000.0,2700000.0,,,,,24600000.0,6700000.0,,,,,6900000.0,,,,,,,,,-25600000.0,,,,0.0,,,,,,,,,,,,3200000.0,324200000.0,10400000.0,,,,,,,,10400000.0,,,292200000.0,2000000.0,,140500000.0,2200000.0,0.035591,,,3300000.0,89910090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,291100000.0,,18400000.0,,,-2000000.0,,-200000.0,19400000.0,,,,,,,,,,11300000.0,262800000.0,,48600000.0,,,,,,,,,,0.0,,,,,,8800000.0,-43300000.0,,,15300000.0,,245600000.0,0.047455,8100000.0,3700000.0,,45500000.0,,103256441.0,210800000.0,,,,37600000.0,4100000.0,,,,100000.0,,,,,,3200000.0,,,-9700000.0,5200000.0,,,,,,,,,,,-1300000.0,,,34700000.0,,6600000.0,,,,0.0,,7000000.0,4900000.0,4900000.0,-43400000.0,,,,,,,,0.0,18700000.0,,14000000.0,,253100000.0,,226400000.0,3200000.0,,,,,29200000.0,8100000.0,,,,,-1600000.0,,,,,200000.0,,,,-36400000.0,,,,0.0,,,,,,,,,,,,4900000.0,501900000.0,8800000.0,,,,,,,,8800000.0,,,464300000.0,8400000.0,,204600000.0,3200000.0,0.051409,,,4000000.0,95313432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,398800000.0,,20100000.0,,,-8400000.0,9200000.0,-200000.0,25200000.0,30700000.0,,,,,2400000.0,,,-252300000.0,14500000.0,366200000.0,10900000.0,61200000.0,,,,11500000.0,182600000.0,34400000.0,9200000.0,,2200000.0,0.0,354700000.0,10700000.0,,,66600000.0,2400000.0,-104000000.0,-31400000.0,,19900000.0,-2800000.0,354700000.0,,9000000.0,9300000.0,-6100000.0,44100000.0,,,218500000.0,,,9300000.0,34400000.0,5300000.0,617300000.0,,,-5000000.0,,398800000.0,0.098765,2700000.0,,3600000.0,9200000.0,-500000.0,-31400000.0,5300000.0,3600000.0,275000000.0,3400000.0,,111300000.0,582900000.0,-230400000.0,15700000.0,,,-900000.0,74400000.0,0.090864,92100000.0,,10700000.0,218500000.0,,,0.0,,5400000.0,5400000.0,5400000.0,-99800000.0,-256200000.0,233300000.0,15000000.0,,,,,-300000.0,21300000.0,200000.0,74400000.0,,334800000.0,93921960.0,275000000.0,3600000.0,,,,334800000.0,36000000.0,10700000.0,21900000.0,71300000.0,44100000.0,,-6500000.0,,,237400000.0,,200000.0,,,5300000.0,-94400000.0,,55600000.0,-9100000.0,8800000.0,21300000.0,40600000.0,-4900000.0,-200000.0,,-1000000.0,2400000.0,,2400000.0,,20100000.0,5400000.0,617300000.0,2400000.0,,,100370259.0,,,,,2400000.0,20100000.0,,582900000.0,2700000.0,366200000.0,237400000.0,5100000.0,,,,5400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
