date,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,trailingCapitalExpenditure,trailingOperatingExpense,annualChangesInAccountReceivables,quarterlyChangeInInventory,annualBeginningCashPosition,annualBasicEPS,annualSellingGeneralAndAdministration,quarterlyChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,annualOtherNonCurrentAssets,trailingChangesInAccountReceivables,annualGrossPPE,quarterlyDilutedAverageShares,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualDilutedEPS,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,annualBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,trailingGrossProfit,trailingDeferredIncomeTax,annualCapitalExpenditure,annualTaxProvision,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyBasicEPS,annualCurrentDeferredRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualTotalRevenue,annualCostOfRevenue,quarterlyTaxProvision,annualCapitalStock,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,annualFreeCashFlow,annualDilutedAverageShares,annualInventory,trailingChangeInInventory,trailingTaxProvision,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyOperatingIncome,trailingPurchaseOfBusiness,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyRetainedEarnings,trailingOtherNonCashItems,annualOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyCurrentAssets,annualChangeInInventory,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,annualCashDividendsPaid,quarterlyOtherCurrentLiabilities,annualPretaxIncome,annualPurchaseOfInvestment,annualNetIncome,annualNonCurrentDeferredRevenue,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,annualSaleOfInvestment,quarterlyCostOfRevenue,annualGoodwill,trailingInvestingCashFlow,annualIncomeTaxPayable,quarterlyCurrentAccruedExpenses,annualOtherNonCashItems,annualStockholdersEquity,trailingDepreciationAndAmortization,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualRetainedEarnings,trailingSaleOfInvestment,quarterlyOtherIncomeExpense,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingTotalRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,trailingOperatingIncome,trailingChangeInAccountPayable,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,trailingOtherIncomeExpense,annualOtherIncomeExpense,quarterlyOperatingExpense,annualOperatingIncome,quarterlyInventory,quarterlyEndCashPosition,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCurrentLiabilities,annualNetPPE,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,annualEbitda,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,trailingPretaxIncome,annualResearchAndDevelopment,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCurrentDebt,annualLongTermDebt,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyLongTermDebt,trailingBasicEPS,annualInterestExpense,quarterlyInterestExpense,trailingDilutedEPS,annualCurrentDebt,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,trailingCommonStockIssuance
1970-01-01 00:00:01.388448000,,,1334000000.0,-421000000.0,494000000.0,-12000000.0,,223000000.0,0.323077,356000000.0,,-353000000.0,30000000.0,,,-17000000.0,,,,,126000000.0,,-49000000.0,0.323077,,697000000.0,-57000000.0,,,,,,390000000.0,,,,77000000.0,1368000000.0,-1000000.0,-568000000.0,135000000.0,,-43000000.0,,,,7293000000.0,,,,6905000000.0,6025000000.0,,,12000000.0,-135000000.0,880000000.0,,,214000000.0,390000000.0,,-59000000.0,213000000.0,,,,-13000000.0,727000000.0,,,0.0,,99000000.0,,,,,,-42000000.0,351000000.0,,,,,22000000.0,,462000000.0,,697000000.0,,,,-182000000.0,,,784000000.0,,,,,,234000000.0,,126000000.0,,-710000000.0,,,,,,,-578000000.0,,,325000000.0,,675000000.0,,,,-162000000.0,,533000000.0,,,394000000.0,-136000000.0,27000000.0,-575000000.0,,,,8661000000.0,,1205000000.0,,,874000000.0,188000000.0,,782000000.0,,300000000.0,29000000.0,-300000000.0,,529000000.0,,,,,,,,,,,,-24000000.0,,,1393000000.0,,,-568000000.0,923000000.0,,,20000000.0,,,,,,,-7000000.0,,940000000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,648000000.0,,,,,-5000000.0,,300000000.0,-0.017949,389000000.0,,,,52000000.0,199000000.0,,3528000000.0,,-1527000000.0,,-7000000.0,,-104000000.0,-0.017949,,,-3000000.0,,,,,,390000000.0,,,187000000.0,-62000000.0,,,-525000000.0,54000000.0,88000000.0,,,,0.0,,,,,6934000000.0,6093000000.0,,1671000000.0,13000000.0,-318000000.0,841000000.0,,2609000000.0,250000000.0,390000000.0,260000000.0,,,,,,-10000000.0,,,,,,-37000000.0,,,,,,,372000000.0,,,,,-21000000.0,,,,,,,,,,1312000000.0,,,60000000.0,,,,17000000.0,-427000000.0,-7000000.0,,,,,,427000000.0,,89000000.0,,36000000.0,,506000000.0,1888000000.0,,,,,,,,,3257000000.0,411000000.0,-319000000.0,,-512000000.0,,,,,,,,,,,,775000000.0,,238000000.0,,-466000000.0,,469000000.0,,,127000000.0,,1040000000.0,2001000000.0,,,,,0.0,39000000.0,501000000.0,272000000.0,,,,,880000000.0,,,,,,,66000000.0,238000000.0,217000000.0,13000000.0,238000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.440979200,,,,,,,,,,,,,,,,,,390000000.0,,,,,,,,,,,,,,332000000.0,,,,,,,,,,,,0.479487,,,,,,,,,65000000.0,,,,,,,,,,,,245000000.0,,,,,,245000000.0,,,,,,,390000000.0,,,,257000000.0,,,,,,,,,,1969000000.0,,,,,,,,,,,,,,,,,,,,1637000000.0,,,,,,,,0.479487,,,,,,10000000.0,,,,,,,187000000.0,192000000.0,,,,90000000.0,,,,,,,,,,87000000.0,,,,,,,,,187000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.451520000,799000000.0,,,,,-12000000.0,,238000000.0,0.828205,395000000.0,,,,61000000.0,192000000.0,,3437000000.0,,-1596000000.0,,323000000.0,,29000000.0,0.828205,,,-2000000.0,,,,,,390000000.0,,,128000000.0,187000000.0,,,-512000000.0,168000000.0,122000000.0,,,,0.0,,,,,6909000000.0,6001000000.0,,1791000000.0,14000000.0,-211000000.0,908000000.0,,2402000000.0,398000000.0,390000000.0,189000000.0,,,,,,65000000.0,,,,,,328000000.0,,,,,,,382000000.0,,,,,61000000.0,,,,,,,,,,1222000000.0,,,76000000.0,,,,496000000.0,,323000000.0,,,,,,,,85000000.0,,22000000.0,,72000000.0,1921000000.0,,,,,,,,,3201000000.0,425000000.0,-213000000.0,,-493000000.0,,,,,,,,,,,,910000000.0,,425000000.0,,-38000000.0,,526000000.0,,,107000000.0,,948000000.0,1841000000.0,,,,,,31000000.0,454000000.0,274000000.0,,,,,951000000.0,,,,,,,72000000.0,425000000.0,130000000.0,19000000.0,425000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.456704000,,0.0,,,,,,,,,,,,,,,,,,,,,,,2052000000.0,,,515000000.0,,1944000000.0,,,,108000000.0,,,,,,,,,,,,,,,-1603000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787000000.0,1120000000.0,,3390000000.0,,1069000000.0,,,,,,78000000.0,,,74000000.0,,,,164000000.0,,,,,,2329000000.0,117000000.0,3449000000.0,,,,,,82000000.0,,,,,274000000.0,36000000.0,,,,,,,,,,84000000.0,,,,,,,,,,672000000.0,,672000000.0,,,,,,170000000.0,,,,,,,,103000000.0,,,,,,,,,,,,187000000.0,,,1343000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.464652800,,17000000.0,,,,,,,,,,,,,,,,390000000.0,,,,,,,2460000000.0,,,495000000.0,,4000000.0,,209000000.0,,100000000.0,,,,,,,,,,0.197436,,,,,-1583000000.0,,,,16000000.0,,,,,,,,,,,,106000000.0,,,,,,106000000.0,,53000000.0,,,,,390000000.0,,,,89000000.0,,1742000000.0,1452000000.0,,3325000000.0,,968000000.0,,,1588000000.0,,,47000000.0,,,75000000.0,,,,158000000.0,,,,,,2301000000.0,117000000.0,3753000000.0,,1379000000.0,,,,93000000.0,,,,0.197436,267000000.0,46000000.0,,,,-19000000.0,,,,,,83000000.0,77000000.0,73000000.0,,,,104000000.0,,,,968000000.0,,1021000000.0,,,,103000000.0,,216000000.0,,,,,,,77000000.0,101000000.0,,,,,,,,,,,,187000000.0,,,1235000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.472601600,,0.0,,,,,,,,,,,,,,,,390000000.0,,,,,,,2044000000.0,,,521000000.0,,1971000000.0,,371000000.0,,73000000.0,,,,,,,,,,0.492308,,,,,-1595000000.0,,,,87000000.0,,,,,,,,,,,,274000000.0,,,,,,274000000.0,,,,,,,390000000.0,,,,289000000.0,,1707000000.0,1158000000.0,,3302000000.0,,1092000000.0,,,1883000000.0,,,73000000.0,,,72000000.0,,,,182000000.0,,,,,,2305000000.0,110000000.0,3463000000.0,,1512000000.0,,,,123000000.0,,,,0.492308,261000000.0,64000000.0,,,,12000000.0,,,,,,82000000.0,192000000.0,202000000.0,,,,101000000.0,,,,750000000.0,,750000000.0,,,,97000000.0,,218000000.0,,,,,,,192000000.0,96000000.0,,,,,,,,,,,,217000000.0,,,1353000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.483142400,1426000000.0,0.0,,,,-54000000.0,,425000000.0,1.36,424000000.0,,,,71000000.0,254000000.0,,3139000000.0,379915075.0,-1492000000.0,,502000000.0,,-40000000.0,1.36,2377000000.0,,-3000000.0,971000000.0,,4000000.0,,234000000.0,367744992.0,1000000.0,,132000000.0,460000000.0,,,-436000000.0,158000000.0,154000000.0,,0.23,,81000000.0,,,,,6752000000.0,5681000000.0,-7000000.0,4000000.0,16000000.0,-362000000.0,1071000000.0,,2301000000.0,428000000.0,369143838.0,268000000.0,,,88000000.0,,,-14000000.0,,,88000000.0,,79000000.0,514000000.0,,,,375718539.0,40000000.0,,409000000.0,83000000.0,,1647000000.0,1426000000.0,-96000000.0,,,1004000000.0,,,1978000000.0,,,33000000.0,1284000000.0,,252000000.0,74000000.0,,,0.0,672000000.0,-83000000.0,502000000.0,,,2301000000.0,74000000.0,3727000000.0,53000000.0,1744000000.0,79000000.0,,33000000.0,,28000000.0,2377000000.0,,0.23,280000000.0,71000000.0,,40000000.0,,-9000000.0,3727000000.0,402000000.0,95000000.0,,-471000000.0,79000000.0,88000000.0,90000000.0,,,,153000000.0,,,,885000000.0,864000000.0,964000000.0,885000000.0,,-1000000.0,146000000.0,662000000.0,268000000.0,,88000000.0,79000000.0,1004000000.0,1647000000.0,,88000000.0,88000000.0,,460000000.0,123000000.0,971000000.0,280000000.0,,,,,1064000000.0,,254000000.0,,,1284000000.0,,252000000.0,964000000.0,1000000.0,29000000.0,885000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.488240000,,0.0,,,,,,,,,,,,,,,,,,,,,,,2580000000.0,,,984000000.0,,4000000.0,,,,22000000.0,,,,,,,,,,0.0,,,,,-1550000000.0,,,,,,,,,,,,,,,,,,,,,,,,180000000.0,,,,,,215000000.0,,,,,1627000000.0,1722000000.0,,3177000000.0,,1068000000.0,,,,,,84000000.0,,,251000000.0,,,,174000000.0,,,,,,2255000000.0,68000000.0,3977000000.0,,,,,,99000000.0,,,,0.0,279000000.0,37000000.0,,,,,,,,,,80000000.0,,,,,,,,,,1074000000.0,,1254000000.0,,,,,,231000000.0,,,,,,,,87000000.0,,,,,,,,,,,,261000000.0,,,1347000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.490918400,,,,,,,26000000.0,,,,14000000.0,,,,,,,395000000.0,,,,0.0,,,,,,,-63000000.0,,885000000.0,377000000.0,,,1000000.0,,,,,,,,,0.53,,,,-19000000.0,,-1000000.0,,,90000000.0,,,,,5000000.0,,,,,,,372000000.0,-11000000.0,,,,-112000000.0,276000000.0,,,,39000000.0,-1000000.0,,388000000.0,,,,300000000.0,0.0,,,,,,,,,1926000000.0,336000000.0,,,,,,,118000000.0,,,,,,,,,,,,1549000000.0,,,,,,,,0.52,,,,,,20000000.0,,,,,,,204000000.0,210000000.0,,,,98000000.0,,,,,,,,,,101000000.0,,,1003000000.0,,,,,0.0,204000000.0,,-211000000.0,,,,,,96000000.0,-100000000.0,,,224000000.0,,,,,-10000000.0,,,,,,,,,,,,,,,,,,,,,,,
